rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 33.7459 	 1269.49 	 65.192 	 433.361 	 1590 	 68.6584 	 29.9468 	 0.899864 	 0.950389 	 172.267 	 1170.98 	 461.215 	 0.39387 	 278.928 	 1017.73 	 2686 	 0.932639 	 224.184 	 195.515 	 193.704 	 6.94397 	 0.201878 	 199.372 	 192.426 	 21.5593 	 0.1113 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 29.9949 	 -17.4481 	 11.826 	 0.140385 	 84.2396 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
2 	 59.4143 	 1477.3 	 70.0071 	 245.595 	 4057 	 110.196 	 47.767 	 0.901167 	 0.963429 	 274.108 	 1445.21 	 484.268 	 0.335086 	 580.631 	 1291.96 	 5934 	 0.950657 	 336.569 	 235.549 	 221.116 	 34.3554 	 0.0875 	 321.714 	 217.003 	 109.34 	 0.494494 	 150 	 689 	 240.953 	 19.239 	 2 	 400.255 	 0.0986578 	 55.5241 	 55.5241 	 55.5241 	 0 	 80 	 70 	 75 	 7.07107 	 38.1031 	 -1.92978 	 20.9878 	 0.227269 	 92.3478 	 134 	 637 	 397.522 	 155.432 	 2 	 423.704 	 0.104438 	 58.0347 	 58.0347 	 58.0347 	 0 	 89 	 45 	 67 	 31.1127 	  Lymph 
3 	 57.7665 	 1406.5 	 140.071 	 301.48 	 3521 	 93.3567 	 48.5983 	 0.853822 	 0.968638 	 247.522 	 1543.18 	 764.244 	 0.495241 	 528.372 	 1389.92 	 5312 	 0.967225 	 302.912 	 196.872 	 139.594 	 -47.1665 	 0 	 0 	 0 	 40.4129 	 0.289504 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 46.4116 	 7.58552 	 18.6686 	 0.185469 	 100.656 	 45 	 45 	 419.667 	 177.576 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Lymph 
4 	 48.4241 	 446.834 	 822.119 	 1223.87 	 2655 	 67.8082 	 53.593 	 0.61264 	 0.914571 	 214.208 	 1033.93 	 211.438 	 0.204499 	 79.2391 	 880.679 	 4221 	 0.968564 	 267.397 	 251.491 	 283.396 	 96.6357 	 0 	 0 	 0 	 78.0072 	 0.275258 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 44.1911 	 -5.69335 	 12.681 	 0.128825 	 98.4358 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
5 	 37.3658 	 1132.29 	 137.033 	 558.588 	 1241 	 50.2482 	 32.0537 	 0.770113 	 0.957562 	 142.468 	 977.146 	 241.166 	 0.246806 	 -93.0453 	 823.894 	 2286 	 0.969466 	 189.941 	 252.772 	 224.028 	 37.2675 	 0 	 0 	 0 	 68.4805 	 0.305679 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 60.8608 	 2.64968 	 12.7476 	 0.110747 	 115.106 	 75 	 76 	 335.44 	 93.3496 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 75 	 75 	 75 	 0 	  Lymph 
6 	 70.826 	 1757.1 	 489.401 	 183.076 	 3798 	 94.4917 	 52.9555 	 0.828205 	 0.964204 	 262.936 	 1475.27 	 560.89 	 0.380196 	 432.846 	 1322.01 	 6525 	 0.887997 	 406.066 	 611.749 	 832.251 	 645.49 	 0.141333 	 484.491 	 867.241 	 519.35 	 0.624031 	 158 	 265 	 291.304 	 69.5895 	 3 	 447.407 	 0.117801 	 15.7042 	 8.92622 	 11.812 	 3.1298 	 73 	 30 	 52.6667 	 21.5948 	 74.2476 	 9.91589 	 26.0528 	 0.202758 	 128.492 	 45 	 45 	 452.333 	 210.243 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  DCIS 
7 	 56.8803 	 1678.77 	 410.645 	 169.307 	 2657 	 70.3143 	 48.6732 	 0.721683 	 0.949946 	 207.338 	 1737.98 	 697.952 	 0.401588 	 775.189 	 1584.73 	 3592 	 0.910751 	 257.054 	 476.774 	 450.609 	 263.849 	 0.210084 	 409.72 	 459.831 	 84.2355 	 0.186937 	 62 	 63 	 298.758 	 77.0438 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 62 	 62 	 62 	 0 	 51.3974 	 -0.548377 	 15.208 	 0.143958 	 105.642 	 171 	 189 	 483.819 	 241.728 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 171 	 171 	 171 	 0 	  DCIS 
8 	 61.4713 	 43.4442 	 1226.3 	 1506.59 	 1988 	 62.0083 	 41.3124 	 0.745738 	 0.968811 	 175.439 	 1037.36 	 276.853 	 0.266882 	 -81.066 	 884.112 	 3270 	 0.968602 	 229.941 	 245.69 	 218.864 	 32.1034 	 0 	 0 	 0 	 39.5818 	 0.180852 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 41.8504 	 -3.99603 	 9.27896 	 0.0965602 	 96.0951 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
9 	 53.4949 	 593.057 	 676.267 	 1078.8 	 1184 	 42.9163 	 35.2565 	 0.570185 	 0.966531 	 135.439 	 1039.02 	 407.241 	 0.391949 	 74.0887 	 885.763 	 2215 	 0.980957 	 183.113 	 216.559 	 192.931 	 6.17078 	 0 	 0 	 0 	 35.1108 	 0.181986 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 48.1607 	 5.0538 	 11.6738 	 0.113996 	 102.405 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
10 	 79.6459 	 280.493 	 990.069 	 1385.61 	 2375 	 76.6405 	 46.5254 	 0.794656 	 0.810027 	 242.066 	 1255.39 	 322.794 	 0.257127 	 296.495 	 1102.14 	 3207 	 0.787187 	 292.752 	 415.693 	 413.211 	 226.451 	 0.520755 	 386.833 	 419.273 	 119.496 	 0.289189 	 70 	 77 	 325.229 	 103.514 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 70 	 70 	 70 	 0 	 87.7843 	 31.0049 	 20.1982 	 0.142212 	 142.029 	 73 	 75 	 501.836 	 259.745 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 73 	 73 	 73 	 0 	  Lymph 
11 	 76.4377 	 336.914 	 932.946 	 1329.38 	 3066 	 71.454 	 55.03 	 0.637868 	 0.976744 	 214.752 	 1344.5 	 348.119 	 0.258921 	 207.66 	 1191.25 	 4055 	 0.946987 	 267.154 	 397.788 	 424.359 	 237.598 	 0.573705 	 448.229 	 416.704 	 82.9498 	 0.195471 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 82.5478 	 26.9334 	 11.3862 	 0.0832368 	 136.793 	 45 	 45 	 510.533 	 268.443 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Lymph 
12 	 83.9957 	 785.347 	 486.576 	 884.313 	 3254 	 106.973 	 41.2299 	 0.92274 	 0.868428 	 305.078 	 1489.69 	 462.031 	 0.310153 	 691.735 	 1336.44 	 5394 	 0.897056 	 345.037 	 227.009 	 236.46 	 49.6993 	 0.142395 	 263.841 	 234.375 	 41.2464 	 0.174433 	 63 	 64 	 277.603 	 55.8889 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 63 	 63 	 63 	 0 	 46.1852 	 2.34327 	 11.5157 	 0.114664 	 100.43 	 45 	 45 	 333.556 	 91.4652 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Lymph 
13 	 85.4131 	 1193.33 	 91.526 	 485.618 	 2428 	 70.0909 	 49.0806 	 0.713905 	 0.863135 	 225.723 	 1512.44 	 478.164 	 0.316155 	 416.303 	 1359.19 	 3880 	 0.900023 	 277.338 	 205.22 	 225.128 	 38.3677 	 0.264 	 189.879 	 230.175 	 51.324 	 0.227977 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 29.5168 	 -13.9662 	 8.6574 	 0.103358 	 83.7615 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
