rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 	
1 	 232.312 	 965.37 	 93.6216 	 NaN 	 7659 	 113.577 	 87.1972 	 0.640768 	 0.965704 	 353.404 	 780.524 	 259.061 	 0.331907 	 357.918 	 741.639 	 303.613 	 -73.3081 	 116.444 	 0.31577 	 368.763 	 11670 	 0.891384 	 505.622 	 430.445 	 891.432 	 811.043 	 0.468085 	 1067.03 	 812.082 	 712.439 	 0.799207 	 126 	 284 	 98.8333 	 42.0407 	 2 	 1208.68 	 0.157811 	 24.4607 	 24.4607 	 24.4607 	 0 	 92 	 34 	 63 	 41.0122 	 54 	 54 	 109.519 	 35.0257 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 54 	 54 	 54 	 0 	  Tumour 
2 	 244.516 	 413.071 	 78.7718 	 NaN 	 12831 	 150.715 	 117.697 	 0.624625 	 0.851766 	 506.174 	 1343.94 	 759.088 	 0.564825 	 855.563 	 1305.05 	 420.087 	 83.0085 	 138.435 	 0.285293 	 485.237 	 15270 	 0.84589 	 619.806 	 376.041 	 549.131 	 468.742 	 0.513089 	 419.735 	 597.288 	 397.032 	 0.723018 	 1046 	 5657 	 113.016 	 56.2236 	 6 	 3478.02 	 0.271064 	 92.1968 	 19.023 	 55.236 	 22.3589 	 334 	 45 	 174.333 	 117.711 	 125 	 369 	 123.608 	 49.1152 	 3 	 9665.72 	 0.75331 	 31.263 	 12.5852 	 21.5683 	 8.37117 	 51 	 34 	 41.6667 	 8.62168 	  Tumour 
3 	 229.594 	 317.752 	 647.003 	 NaN 	 5677 	 96.2145 	 78.9544 	 0.571491 	 0.929437 	 310.149 	 768.818 	 245.043 	 0.318727 	 193.315 	 729.933 	 235.106 	 -177.502 	 61.2854 	 0.20411 	 300.256 	 7741 	 0.931304 	 386.35 	 261.603 	 296.058 	 215.669 	 0.377522 	 406.298 	 267.92 	 223.46 	 0.754787 	 302 	 1148 	 97.053 	 40.2603 	 4 	 1462.82 	 0.257675 	 59.561 	 14.4954 	 35.9552 	 16.8718 	 104 	 41 	 75.5 	 31.3316 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
4 	 208.005 	 753.927 	 212.361 	 NaN 	 2224 	 85.2614 	 35.9999 	 0.906489 	 0.910356 	 215.238 	 540.175 	 156.408 	 0.289551 	 243.574 	 501.29 	 158.604 	 -146.318 	 54.8961 	 0.245341 	 223.754 	 4730 	 0.812157 	 354.208 	 552.625 	 602.721 	 522.332 	 0.37931 	 1000.17 	 501.368 	 474.293 	 0.786919 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 43 	 44 	 76.186 	 1.69325 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 43 	 43 	 43 	 0 	  Tumour 
5 	 260.866 	 856.405 	 112.792 	 NaN 	 12853 	 152.796 	 108.261 	 0.70568 	 0.963204 	 461.831 	 870.399 	 347.642 	 0.399406 	 648.663 	 831.514 	 275.366 	 50.5862 	 135.874 	 0.399022 	 340.516 	 16686 	 0.935419 	 575.865 	 433.385 	 852.108 	 771.719 	 0.705009 	 1042.78 	 736.486 	 682.479 	 0.800931 	 732 	 5335 	 91.5355 	 34.7428 	 9 	 4604.64 	 0.358254 	 93.2915 	 9.58186 	 48.8845 	 20.5724 	 218 	 38 	 81.3333 	 62.6777 	 259 	 1025 	 103.34 	 28.847 	 4 	 3402.67 	 0.264738 	 49.9789 	 17.2208 	 31.1468 	 12.7274 	 90 	 42 	 64.75 	 19.6871 	  Tumour 
6 	 290.156 	 733.317 	 239.14 	 NaN 	 5791 	 98.9079 	 75.1012 	 0.650736 	 0.981359 	 294.25 	 574.073 	 158.32 	 0.275785 	 322.17 	 535.188 	 182.766 	 -100.509 	 64.6359 	 0.260717 	 247.916 	 8973 	 0.957222 	 389.622 	 428.848 	 892.246 	 811.857 	 0.805085 	 888.207 	 885.957 	 284.412 	 0.31876 	 357 	 1517 	 76.3025 	 19.5098 	 5 	 2330.14 	 0.402373 	 56.6319 	 16.0608 	 29.9679 	 14.082 	 122 	 39 	 71.4 	 39.7781 	 142 	 683 	 87.7254 	 13.2326 	 3 	 2301.91 	 0.397497 	 48.6139 	 13.9842 	 34.064 	 16.0683 	 64 	 35 	 47.3333 	 14.9778 	  Tumour 
7 	 311.094 	 640.223 	 334.464 	 NaN 	 8503 	 111.236 	 98.0584 	 0.472112 	 0.985855 	 352.233 	 704.589 	 215.987 	 0.306543 	 266.224 	 665.704 	 185.885 	 -96.4265 	 51.0876 	 0.203508 	 251.035 	 13072 	 0.968799 	 469.362 	 374.65 	 875.459 	 795.071 	 0.404306 	 827.142 	 878.777 	 341.419 	 0.389988 	 883 	 3751 	 74.1653 	 17.3727 	 8 	 1291.78 	 0.151921 	 67.5748 	 8.06226 	 30.4378 	 17.1873 	 273 	 45 	 110.375 	 102.185 	 52 	 52 	 84.7692 	 10.2764 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 52 	 52 	 52 	 0 	  Tumour 
8 	 323.271 	 987.345 	 93.6216 	 NaN 	 4609 	 122.75 	 57.5092 	 0.883459 	 0.788537 	 353.647 	 606.089 	 241.282 	 0.398098 	 389.669 	 567.204 	 324.555 	 36.4715 	 164.13 	 0.421164 	 389.705 	 10605 	 0.80837 	 598.995 	 458.039 	 472.804 	 392.415 	 0.547368 	 630.202 	 416.066 	 366.1 	 0.774317 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
9 	 319.428 	 440.247 	 532.16 	 NaN 	 5665 	 105.106 	 69.3546 	 0.751392 	 0.972699 	 297.078 	 1013.21 	 344.783 	 0.340287 	 791.224 	 974.327 	 236.247 	 -86.8281 	 56.0239 	 0.185881 	 301.397 	 10672 	 0.896957 	 461.321 	 327.555 	 501.436 	 421.048 	 0.395683 	 401.164 	 523.311 	 246.689 	 0.491966 	 445 	 1458 	 79.191 	 22.3983 	 5 	 1438.61 	 0.253947 	 55.5249 	 15.6642 	 30.3393 	 13.401 	 145 	 36 	 89 	 49.684 	 183 	 2104 	 98.1311 	 23.6383 	 4 	 976.873 	 0.17244 	 68.4064 	 27.4361 	 46.7227 	 15.632 	 69 	 23 	 45.75 	 19.1377 	  Tumour 
10 	 413.013 	 864.618 	 206.787 	 NaN 	 12176 	 163.072 	 99.117 	 0.794081 	 0.968039 	 452.132 	 446.672 	 114.498 	 0.256336 	 279.113 	 407.788 	 97.6825 	 -50.7798 	 30.3117 	 0.186152 	 162.833 	 20002 	 0.819485 	 733.12 	 250.793 	 569.094 	 488.705 	 0.898975 	 559.544 	 570.214 	 267.094 	 0.469331 	 191 	 487 	 77 	 20.2073 	 2 	 5641.85 	 0.463358 	 31.1158 	 31.1158 	 31.1158 	 0 	 124 	 67 	 95.5 	 40.3051 	 40 	 41 	 73.125 	 -1.3678 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 40 	 40 	 40 	 0 	  Tumour 
