rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 54.6565 	 586.565 	 79.0569 	 514.024 	 7756 	 106.413 	 93.6594 	 0.474695 	 0.978675 	 339.321 	 918.069 	 285.354 	 0.31082 	 190.375 	 817.119 	 9927 	 0.945249 	 424.676 	 946.128 	 1607.13 	 1440.94 	 0.4 	 1930.9 	 1571.33 	 464.357 	 0.288935 	 46 	 47 	 383.283 	 67.307 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 46 	 46 	 46 	 0 	 199.731 	 -106.559 	 79.6238 	 0.256871 	 309.976 	 417 	 604 	 496.221 	 283.056 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 417 	 417 	 417 	 0 	  Tumour 
2 	 58.1078 	 508.265 	 75.5844 	 540.456 	 5685 	 107.515 	 68.3459 	 0.771947 	 0.956427 	 308.836 	 1114.13 	 386.514 	 0.346919 	 204.227 	 1013.18 	 7170 	 0.879863 	 399.321 	 1002.08 	 1496.98 	 1330.79 	 0.605634 	 1706.71 	 1440 	 566.085 	 0.378151 	 104 	 222 	 329.404 	 13.4282 	 2 	 520.489 	 0.0915548 	 20.768 	 20.768 	 20.768 	 0 	 70 	 34 	 52 	 25.4558 	 189.533 	 -61.515 	 66.2356 	 0.220949 	 299.777 	 611 	 1808 	 380.615 	 167.451 	 5 	 3254.34 	 0.572444 	 50.1782 	 15.7507 	 32.0135 	 10.3134 	 383 	 48 	 122.2 	 146.348 	  Tumour 
3 	 50.4533 	 1100.7 	 72.1803 	 167.738 	 2153 	 84.5254 	 33.4825 	 0.918197 	 0.928818 	 212.894 	 973.552 	 472.206 	 0.485035 	 126.602 	 872.602 	 2595 	 0.929441 	 226.794 	 280.01 	 281.432 	 115.24 	 0.234375 	 322.711 	 276.888 	 41.7637 	 0.148397 	 61 	 66 	 311.902 	 -4.07397 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 61 	 61 	 61 	 0 	 47.4343 	 -177.297 	 27.726 	 0.175838 	 157.679 	 84 	 85 	 284.631 	 71.4663 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 84 	 84 	 84 	 0 	  Fib 
4 	 80.5935 	 436.067 	 153.222 	 469.308 	 4910 	 86.0364 	 73.4045 	 0.521616 	 0.976726 	 268.208 	 734.651 	 190.501 	 0.259308 	 -49.2356 	 633.701 	 8723 	 0.867874 	 461.789 	 1118.21 	 1691.17 	 1524.98 	 0.409548 	 1358.86 	 1756.74 	 586.496 	 0.346799 	 304 	 1327 	 281.181 	 -34.7947 	 4 	 2363.67 	 0.481399 	 39.2404 	 11.1982 	 30.1421 	 9.67231 	 196 	 33 	 76 	 80.0292 	 151.549 	 -142.857 	 24.912 	 0.095159 	 261.793 	 547 	 1406 	 327.057 	 113.892 	 4 	 1694.36 	 0.345084 	 41.1552 	 14.9431 	 27.3149 	 8.94116 	 347 	 29 	 136.75 	 143.751 	  Tumour 
5 	 98.9202 	 1154.37 	 72.1803 	 178.443 	 3434 	 151.189 	 34.5602 	 0.973523 	 0.779038 	 376.434 	 1408.14 	 523.354 	 0.371664 	 621.325 	 1307.19 	 4240 	 0.826189 	 383.304 	 291.56 	 300.354 	 134.162 	 0.301242 	 340.371 	 292.615 	 58.7426 	 0.195578 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 39.9562 	 -204.425 	 19.83 	 0.132023 	 150.201 	 62 	 65 	 286.484 	 73.3192 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 62 	 62 	 62 	 0 	  Fib 
6 	 95.6591 	 665.233 	 88.1192 	 438.42 	 4030 	 88.3055 	 59.8357 	 0.735432 	 0.969216 	 254.208 	 742.186 	 241.952 	 0.326 	 143.485 	 641.236 	 5861 	 0.822135 	 395.546 	 1134.76 	 1282.28 	 1116.09 	 0.165165 	 1684.8 	 1234.73 	 363.018 	 0.283103 	 297 	 444 	 259.636 	 -56.3392 	 2 	 332.76 	 0.0825707 	 13.1103 	 13.1103 	 13.1103 	 0 	 240 	 57 	 148.5 	 129.401 	 202.116 	 -51.3133 	 71.5944 	 0.229204 	 312.361 	 360 	 575 	 401.369 	 188.205 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 360 	 360 	 360 	 0 	  Tumour 
7 	 133.063 	 162.216 	 432.098 	 259.48 	 3808 	 76.6061 	 63.9906 	 0.549766 	 0.973664 	 237.38 	 634.481 	 175.814 	 0.277099 	 -143.471 	 533.531 	 6536 	 0.871002 	 384.676 	 1070.81 	 1503.97 	 1337.77 	 0 	 0 	 0 	 477.808 	 0.317699 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 148.289 	 -117.43 	 54.8775 	 0.212264 	 258.534 	 91 	 161 	 190.538 	 -22.6262 	 2 	 342.697 	 0.089994 	 15.1339 	 15.1339 	 15.1339 	 0 	 53 	 38 	 45.5 	 10.6066 	  Tumour 
8 	 132.618 	 944.914 	 366.399 	 176.706 	 3087 	 76.3866 	 53.3379 	 0.715842 	 0.913584 	 241.664 	 606.465 	 145.265 	 0.239528 	 -77.9775 	 505.516 	 7156 	 0.723559 	 511.529 	 861.944 	 1074.18 	 907.984 	 0.189815 	 1018.34 	 1069.19 	 314.247 	 0.292547 	 284 	 734 	 244.423 	 -71.5531 	 5 	 763.796 	 0.247423 	 27.313 	 12.0921 	 18.6183 	 6.20363 	 57 	 56 	 56.8 	 0.447214 	 192.21 	 -60.8402 	 40.7487 	 0.134727 	 302.455 	 424 	 793 	 364.229 	 151.064 	 3 	 581.091 	 0.188238 	 29.0197 	 14.6993 	 18.4256 	 5.21553 	 208 	 9 	 106 	 99.1396 	  Tumour 
9 	 162.151 	 489.714 	 144.423 	 470.486 	 6954 	 98.0826 	 91.5788 	 0.358081 	 0.96637 	 329.22 	 1225.97 	 447.434 	 0.364965 	 526.044 	 1125.02 	 8228 	 0.917587 	 396.86 	 1023.74 	 1751.31 	 1585.12 	 0.646526 	 1800.27 	 1698.03 	 630.344 	 0.359927 	 407 	 1220 	 310.627 	 -5.34907 	 4 	 3134.04 	 0.450682 	 44.9447 	 9.83399 	 27.5163 	 14.0081 	 251 	 41 	 101.75 	 99.8044 	 167.887 	 -143.327 	 101.317 	 0.364277 	 278.131 	 612 	 1809 	 534.526 	 321.362 	 4 	 2614.24 	 0.375934 	 45.9396 	 10.2284 	 33.4194 	 11.5903 	 413 	 46 	 153 	 174.583 	  Tumour 
10 	 181.41 	 417.125 	 211.603 	 397.166 	 6788 	 126.61 	 72.2923 	 0.820962 	 0.906033 	 354.777 	 833.074 	 298.377 	 0.358164 	 275.074 	 732.124 	 9695 	 0.860325 	 485.671 	 1246.54 	 1861.42 	 1695.23 	 0.512438 	 1694.66 	 1883.41 	 531.352 	 0.285455 	 380 	 1278 	 260.839 	 -55.1361 	 3 	 3716.11 	 0.547453 	 61.1532 	 23.1671 	 40.8679 	 17.1055 	 267 	 56 	 126.667 	 121.533 	 215.204 	 -53.7936 	 45.7906 	 0.1407 	 325.449 	 421 	 1776 	 277.428 	 64.2629 	 4 	 2810.8 	 0.414084 	 63.1386 	 21.2703 	 37.6435 	 14.8452 	 184 	 33 	 105.25 	 74.4866 	  Tumour 
