rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 41.1779 	 2614.68 	 133.004 	 374.033 	 6907 	 107.414 	 82.399 	 0.641507 	 0.968452 	 336.777 	 1362.32 	 549.971 	 0.403703 	 498.306 	 1197.52 	 8484 	 0.918281 	 418.718 	 1019.04 	 1471.24 	 1238.07 	 0 	 0 	 0 	 468.827 	 0.318661 	 63 	 64 	 137.19 	 37.4169 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 63 	 63 	 63 	 0 	 45.8572 	 -17.8806 	 15.3415 	 0.155063 	 98.9369 	 416 	 430 	 1201.33 	 958.5 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 416 	 416 	 416 	 0 	  Tumour 
2 	 33.774 	 1176.24 	 78.5493 	 290.801 	 2703 	 66.5317 	 53.233 	 0.599847 	 0.964668 	 207.137 	 1045.42 	 397.809 	 0.380525 	 172.895 	 880.627 	 3280 	 0.927602 	 251.078 	 2203.77 	 2241.86 	 2008.69 	 0.25 	 2837.27 	 2113.01 	 767.827 	 0.342496 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 95.2344 	 6.07096 	 14.62 	 0.0985747 	 148.314 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
3 	 40.4307 	 2748.19 	 133.004 	 396.244 	 3812 	 105.705 	 46.3545 	 0.898717 	 0.975685 	 263.137 	 1405.93 	 725.622 	 0.516114 	 441.422 	 1241.14 	 5984 	 0.753652 	 568.985 	 959.68 	 1114.49 	 881.319 	 0 	 0 	 0 	 754.847 	 0.677306 	 75 	 76 	 128.227 	 28.4531 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 75 	 75 	 75 	 0 	 52.2676 	 -4.19844 	 21.9129 	 0.208006 	 105.347 	 209 	 210 	 1179.39 	 936.556 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 209 	 209 	 209 	 0 	  Tumour 
4 	 62.5284 	 1248.63 	 1366.18 	 213.178 	 8045 	 142.314 	 78.6184 	 0.83356 	 0.885039 	 400.936 	 1548.86 	 515.078 	 0.332554 	 642.578 	 1384.06 	 10345 	 0.798349 	 497.245 	 1067.61 	 1910.3 	 1677.14 	 0.388889 	 2254.4 	 1804.43 	 713.942 	 0.373732 	 70 	 72 	 147.4 	 47.6264 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 70 	 70 	 70 	 0 	 70.2396 	 -16.8819 	 19.0902 	 0.154803 	 123.319 	 653 	 709 	 1362.69 	 1119.85 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 653 	 653 	 653 	 0 	  Tumour 
5 	 44.5573 	 1996.06 	 102.956 	 153.056 	 2982 	 101.982 	 38.9881 	 0.924036 	 0.956996 	 244.024 	 2061.68 	 648.632 	 0.314613 	 1045.32 	 1896.89 	 4996 	 0.933308 	 318.167 	 361.667 	 363.2 	 130.034 	 0 	 0 	 0 	 97.7993 	 0.269271 	 91 	 93 	 161.132 	 61.3583 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 91 	 91 	 91 	 0 	 30.9874 	 -27.9018 	 10.1951 	 0.121274 	 84.0671 	 134 	 144 	 390.455 	 147.624 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 134 	 134 	 134 	 0 	  DCIS 
6 	 60.8402 	 119.016 	 581.249 	 205.767 	 2953 	 79.7504 	 48.1671 	 0.797004 	 0.969787 	 217.037 	 1333.03 	 751.523 	 0.563771 	 643.671 	 1168.23 	 3563 	 0.972966 	 233.865 	 475.13 	 372.335 	 139.169 	 0 	 0 	 0 	 181.529 	 0.487543 	 73 	 73 	 156.452 	 56.6785 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 73 	 73 	 73 	 0 	 58.5708 	 22.1555 	 19.8866 	 0.178114 	 111.651 	 106 	 111 	 375.962 	 133.131 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 106 	 106 	 106 	 0 	  DCIS 
7 	 94.2467 	 1712.67 	 903.556 	 106.17 	 5079 	 124.145 	 70.2089 	 0.824722 	 0.778272 	 357.362 	 1569.47 	 688.92 	 0.438949 	 648.019 	 1404.68 	 11956 	 0.987936 	 420.818 	 928.009 	 1315.61 	 1082.44 	 0 	 0 	 0 	 737.645 	 0.560688 	 149 	 386 	 138 	 38.2264 	 3 	 1609.67 	 0.316926 	 41.2748 	 13.657 	 27.74 	 12.3583 	 80 	 6 	 49.6667 	 38.7599 	 63.646 	 -6.9217 	 18.1648 	 0.15562 	 116.726 	 487 	 515 	 1267.18 	 1024.35 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 487 	 487 	 487 	 0 	  Tumour 
8 	 104.249 	 1300.78 	 1315.51 	 157.003 	 5957 	 98.2502 	 78.3606 	 0.603236 	 0.95008 	 312.635 	 1718.87 	 673.149 	 0.391622 	 1092.48 	 1554.08 	 6997 	 0.901443 	 391.948 	 928.913 	 1489.69 	 1256.53 	 0.366197 	 1815.54 	 1399.1 	 596.111 	 0.400157 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 68.6928 	 -12.2557 	 21.56 	 0.177051 	 121.773 	 316 	 1868 	 598.342 	 355.51 	 3 	 1486.65 	 0.249563 	 70.7189 	 25.6716 	 53.759 	 21.9122 	 154 	 26 	 105.333 	 69.2917 	  Tumour 
9 	 94.5611 	 1893.05 	 114.495 	 127.613 	 2930 	 76.4921 	 50.1592 	 0.754983 	 0.967635 	 219.865 	 1329.88 	 755.848 	 0.568359 	 668.038 	 1165.08 	 3999 	 0.844383 	 315.019 	 511.392 	 576.714 	 343.548 	 0 	 0 	 569.447 	 440.305 	 0.763473 	 112 	 115 	 129.58 	 29.8068 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 112 	 112 	 112 	 0 	 29.95 	 -19.3587 	 13.9916 	 0.168514 	 83.0297 	 193 	 222 	 343.383 	 100.552 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 193 	 193 	 193 	 0 	  DCIS 
10 	 108.823 	 1393.42 	 1223.89 	 65.123 	 3558 	 85.3564 	 53.8845 	 0.775549 	 0.974795 	 236.794 	 1171.35 	 474.001 	 0.404662 	 708.545 	 1006.55 	 8063 	 0.970861 	 364.777 	 1290.73 	 1517.8 	 1284.63 	 0.108626 	 1771.88 	 1489.19 	 682.52 	 0.449678 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 64.8989 	 -5.78741 	 16.6189 	 0.140863 	 117.979 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
