rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 76.7554 	 639.841 	 146.711 	 416.491 	 3091 	 67.0691 	 59.2105 	 0.469696 	 0.962628 	 218.066 	 932.266 	 292.256 	 0.31349 	 652.172 	 826.264 	 7026 	 0.907283 	 382.51 	 1077.75 	 1420.59 	 1298.45 	 0 	 0 	 0 	 560.806 	 0.394771 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 113.355 	 -5.66553 	 17.1834 	 0.10277 	 167.202 	 90 	 149 	 179.2 	 26.7 	 2 	 249.492 	 0.0807158 	 13 	 13 	 13 	 0 	 45 	 45 	 45 	 0 	  Tumour 
2 	 144.79 	 769.863 	 139.176 	 280.273 	 4965 	 83.5811 	 75.7812 	 0.421823 	 0.981031 	 269.078 	 1208.96 	 362.094 	 0.299509 	 875.566 	 1102.96 	 9901 	 0.935469 	 432.309 	 813.013 	 1220.42 	 1098.28 	 0.0725 	 1294.45 	 1210.69 	 306.783 	 0.251376 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 83.7187 	 -17.2229 	 12.6215 	 0.0917487 	 137.566 	 511 	 1345 	 215.188 	 62.6879 	 5 	 1094.82 	 0.220508 	 53.0999 	 11.0666 	 29.6512 	 14.6576 	 215 	 20 	 102.2 	 95.9385 	  Tumour 
3 	 205.293 	 478.783 	 205.682 	 484.087 	 7066 	 104.817 	 86.3503 	 0.566854 	 0.983301 	 321.563 	 1424.9 	 582.194 	 0.408586 	 1014.29 	 1318.9 	 11543 	 0.960636 	 450.995 	 940.442 	 1795.41 	 1673.27 	 0 	 0 	 0 	 544.953 	 0.303526 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 113.819 	 -28.2222 	 33.2635 	 0.198392 	 167.665 	 303 	 1061 	 218.356 	 65.8564 	 5 	 1629.86 	 0.230662 	 40.6819 	 10.871 	 25.4132 	 9.63223 	 84 	 23 	 60.6 	 23.8181 	  Tumour 
4 	 283.577 	 776.683 	 248.23 	 179.602 	 6634 	 96.0787 	 88.251 	 0.395356 	 0.984127 	 312.434 	 1108.92 	 324.936 	 0.293021 	 804.396 	 1002.92 	 14528 	 0.876924 	 580.25 	 667.683 	 1183.13 	 1060.99 	 0.379182 	 1370.17 	 1124.51 	 329.409 	 0.278422 	 45 	 45 	 183.667 	 -11.0433 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 70.5615 	 -4.41767 	 18.1579 	 0.145954 	 124.408 	 657 	 1081 	 213.531 	 61.0312 	 3 	 1746.06 	 0.263199 	 25.382 	 13.4842 	 21.2777 	 6.03966 	 485 	 24 	 219 	 238.56 	  Tumour 
5 	 273.304 	 651.278 	 196.308 	 299.206 	 1960 	 59.977 	 42.4928 	 0.705725 	 0.958435 	 177.581 	 740.13 	 166.051 	 0.224354 	 429.91 	 634.128 	 7127 	 0.911148 	 377.095 	 785.082 	 1214.15 	 1092 	 0.438746 	 1283.18 	 1172.57 	 282.845 	 0.232958 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 105.491 	 2.96827 	 27.5004 	 0.172591 	 159.338 	 41 	 42 	 184.756 	 32.2561 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 41 	 41 	 41 	 0 	  Tumour 
6 	 292.772 	 594.06 	 220.844 	 348.312 	 3847 	 81.8384 	 60.3346 	 0.67563 	 0.976148 	 239.037 	 1281.93 	 448.301 	 0.349708 	 959.285 	 1175.93 	 5570 	 0.938975 	 319.882 	 804.275 	 977.763 	 855.622 	 0.153333 	 1281.54 	 938.912 	 393.367 	 0.402313 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 135.882 	 11.8465 	 17.3434 	 0.0914119 	 189.728 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
7 	 309.869 	 934.479 	 375.133 	 63.0079 	 3566 	 82.0783 	 58.7898 	 0.697828 	 0.927921 	 253.765 	 1019.66 	 392.564 	 0.384994 	 710.303 	 913.659 	 7938 	 0.895532 	 419.581 	 878.604 	 1198.84 	 1076.7 	 0.225064 	 886.977 	 1226.52 	 461.477 	 0.384935 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 125.299 	 5.54444 	 18.8923 	 0.105457 	 179.146 	 72 	 74 	 236.736 	 84.2361 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 72 	 72 	 72 	 0 	  Tumour 
8 	 366.275 	 721.714 	 300.408 	 211.116 	 4972 	 99.4157 	 65.8422 	 0.749246 	 0.918021 	 293.706 	 875.859 	 246.731 	 0.281702 	 577.63 	 769.857 	 11333 	 0.923033 	 494.35 	 758.718 	 1269.18 	 1147.04 	 0.863736 	 1282.88 	 1242.44 	 333.62 	 0.262862 	 45 	 45 	 209.867 	 15.1567 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 82.1785 	 8.37713 	 18.0407 	 0.132627 	 136.025 	 135 	 159 	 189.185 	 36.6852 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 135 	 135 	 135 	 0 	  Tumour 
9 	 372.929 	 933.182 	 1055.8 	 62.514 	 1659 	 50.2266 	 42.9974 	 0.516864 	 0.932022 	 179.681 	 677.058 	 123.958 	 0.183083 	 346.727 	 571.057 	 3442 	 0.8878 	 266.669 	 668.882 	 847.81 	 725.669 	 0.648221 	 902.933 	 810.314 	 241.724 	 0.285116 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 123.826 	 1.76468 	 14.5083 	 0.0816571 	 177.673 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
10 	 380.797 	 995.241 	 467.377 	 62.514 	 2493 	 62.5715 	 50.9207 	 0.581147 	 0.977264 	 191.581 	 1295.62 	 419.997 	 0.324168 	 1005.92 	 1189.62 	 4534 	 0.954125 	 276.569 	 881.614 	 1040.57 	 918.424 	 0.123077 	 941.656 	 1036.52 	 291.268 	 0.279913 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 117.732 	 10.8076 	 28.2616 	 0.164714 	 171.579 	 165 	 201 	 265.57 	 113.07 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 165 	 165 	 165 	 0 	  Tumour 
