rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 40.1623 	 124.989 	 137.743 	 758.726 	 3186 	 77.2669 	 54.015 	 0.715053 	 0.969273 	 223.137 	 1112.52 	 611.541 	 0.549689 	 77.6116 	 939.724 	 24 	 24 	 198.417 	 -76.2131 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 24 	 24 	 24 	 0 	 4986 	 0.960324 	 291.74 	 99.0273 	 87.6739 	 -47.8003 	 0 	 0 	 0 	 14.0387 	 0.160124 	 24.9297 	 -54.2406 	 10.0805 	 0.147769 	 68.2178 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
2 	 54.6398 	 770.075 	 74.686 	 772.622 	 4389 	 87.2262 	 67.4878 	 0.633539 	 0.907944 	 277.421 	 1150.04 	 475.097 	 0.413114 	 131.141 	 977.241 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 5702 	 0.932766 	 309.622 	 94.7862 	 89.0511 	 -46.4231 	 0.240876 	 89.0455 	 90.6556 	 24.3019 	 0.272899 	 49.8103 	 -47.3637 	 16.1999 	 0.174008 	 93.0984 	 45 	 45 	 63.2 	 -2.73714 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Lymph 
3 	 98.1263 	 2770.44 	 2645.64 	 624.635 	 4681 	 101.222 	 59.3284 	 0.810225 	 0.981959 	 270.593 	 1032.57 	 388.493 	 0.37624 	 8.53432 	 859.769 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 6534 	 0.971743 	 355.196 	 129.124 	 120.458 	 -15.0164 	 0 	 0 	 0 	 76.9739 	 0.639011 	 61.1231 	 -36.8445 	 21.2771 	 0.203781 	 104.411 	 33 	 33 	 71.5455 	 5.60831 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 33 	 33 	 33 	 0 	  Lymph 
4 	 120.716 	 2090.02 	 394 	 409.099 	 8447 	 147.543 	 94.0393 	 0.770557 	 0.810653 	 506.233 	 2252.84 	 895.359 	 0.397435 	 910.3 	 2080.05 	 89 	 308 	 393.247 	 118.617 	 2 	 3803.66 	 0.450297 	 36.0739 	 36.0739 	 36.0739 	 0 	 45 	 44 	 44.5 	 0.707107 	 27129 	 0.745835 	 1082.9 	 1073.82 	 1038.43 	 902.96 	 0 	 0 	 0 	 800.011 	 0.770401 	 134.025 	 -2.77222 	 29.0196 	 0.163664 	 177.313 	 1005 	 6056 	 147.85 	 81.9126 	 7 	 1068.6 	 0.126507 	 102.682 	 11.5187 	 61.8956 	 26.4973 	 393 	 34 	 143.571 	 129.57 	  Tumour 
5 	 87.7989 	 675.104 	 552.091 	 812.555 	 1810 	 58.9103 	 40.0221 	 0.733792 	 0.963278 	 167.782 	 802.536 	 382.486 	 0.476597 	 -219.333 	 629.738 	 43 	 44 	 178 	 -96.6298 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 43 	 43 	 43 	 0 	 2958 	 0.933417 	 238.326 	 104.31 	 95.5022 	 -39.972 	 0.143498 	 88.9688 	 97.291 	 44.1376 	 0.462163 	 31.7108 	 -50.107 	 10.5451 	 0.140604 	 74.9989 	 45 	 45 	 63.0667 	 -2.87048 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Other 
6 	 87.2586 	 1226.84 	 1103 	 541.909 	 1984 	 65.6601 	 39.4197 	 0.799729 	 0.968277 	 179.782 	 1062.62 	 655.315 	 0.6167 	 116.278 	 889.818 	 45 	 45 	 286.978 	 12.348 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 3254 	 0.97542 	 229.941 	 91.1165 	 81.1955 	 -54.2787 	 0 	 0 	 0 	 13.424 	 0.165329 	 26.5773 	 -72.5416 	 16.208 	 0.231989 	 69.8654 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
7 	 108.627 	 843.115 	 721.308 	 685.018 	 4797 	 88.9744 	 68.8432 	 0.6335 	 0.980982 	 265.38 	 1230.17 	 318.779 	 0.259133 	 -28.59 	 1057.38 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 5003 	 0.983874 	 268.794 	 99.3414 	 109.261 	 -26.2135 	 0.196581 	 110.826 	 108.938 	 24.5386 	 0.224587 	 41.4899 	 -98.3035 	 11.2532 	 0.132737 	 84.778 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
8 	 135.023 	 479.16 	 366.526 	 700.608 	 4905 	 134.302 	 48.8915 	 0.931382 	 0.865079 	 345.078 	 1024.93 	 429.633 	 0.419181 	 286.43 	 852.137 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 6885 	 0.900471 	 407.924 	 100.363 	 88.0446 	 -47.4296 	 0.215223 	 93.6098 	 87.2132 	 24.3356 	 0.276401 	 64.38 	 -40.2404 	 20.3278 	 0.1888 	 107.668 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
9 	 121.557 	 737.379 	 617.469 	 744.624 	 4731 	 107.713 	 56.9323 	 0.848899 	 0.927647 	 295.706 	 1057.12 	 373.928 	 0.353724 	 178.554 	 884.32 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 6042 	 0.879732 	 361.179 	 88.4709 	 78.6544 	 -56.8198 	 0.498471 	 83.638 	 77.6111 	 16.3401 	 0.207746 	 33.037 	 -76.2067 	 15.0177 	 0.19676 	 76.3251 	 45 	 45 	 54.2444 	 -11.6927 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Lymph 
10 	 131.014 	 982.576 	 862.812 	 590.893 	 5452 	 119.764 	 58.8694 	 0.870853 	 0.959859 	 310.836 	 844.077 	 309.917 	 0.367166 	 5.73144 	 671.28 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 7251 	 0.954079 	 368.468 	 104.42 	 105.556 	 -29.9183 	 0.189112 	 135.47 	 100.42 	 40.9947 	 0.38837 	 53.8397 	 -29.8819 	 14.2934 	 0.147161 	 97.1278 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
