rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NucAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 
11	341.512	408.645	465.473	130.138	6947	153.874	59.8475	0.921264	0.907867	408.375	562.212	161.231	0.28678	319.976	189.3074	173.989	-35.588	47.2228	0.163836	288.233	15153	0.853017	630.073	495.585	622.326	578.189	0.0609319	963.324	612.182	377.883	0.60721	767	1697	111.858	28.7819	3	2639.36	0.379927	71.459	29.4535	48.0253	19.1592	478	86	255.667	201.237	169	862	93.1124	-1.69608	2	1759.08	0.253215	79.1654	79.1654	79.1654	0	98	71	84.5	19.0919	  Tumour 
12	377.177	602.835	279.435	194.928	12318	158.086	101.333	0.767539	0.949657	506.156	756.124	148.477	0.196366	370.775	240.1064	408.436	-38.3663	60.9038	0.116522	522.679	20692	0.887916	690.742	422.174	539.131	494.994	0.133884	691.617	526.84	240.709	0.446476	864	6001	123.182	40.1058	6	1968.37	0.159797	109.809	17.0299	60.8194	22.4297	318	69	144	96.7099	267	929	99.5918	4.78325	3	1561.74	0.126785	69.4047	13.1579	46.2938	26.3257	102	73	89	14.7309	  Tumour 
13	362.431	39.8057	311.713	305.954	3906	94.2527	53.5187	0.823152	0.977233	255.581	918.363	264.28	0.287773	667.5	536.8314	93.759	31.9047	41.8891	0.201387	208.003	5661	0.977045	299.296	48.3369	44.0287	-0.108028	0	0	0	3.61042	0.0820016	138	243	95.029	11.953	2	615.753	0.157643	18.4391	18.4391	18.4391	0	69	69	69	0	208	344	88.1635	-6.64505	2	439.282	0.112463	19.0808	19.0808	19.0808	0	113	95	104	12.7279	  DCIS 
14	347.689	278.618	346.517	130.138	850	42.8619	25.3748	0.805929	0.971429	113.154	675.913	147.959	0.218903	478.796	348.1274	73.2044	11.23	11.8563	0.0632513	187.448	2006	0.987205	173.74	91.2981	95.6899	51.5532	0	0	0	41.2179	0.430745	69	69	96.8261	13.7501	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	69	69	69	0	94	95	92.2553	-2.55319	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	94	94	94	0	  DCIS 
15	352.935	159.852	305.221	219.21	903	41.595	28.389	0.730876	0.936722	120.711	724.013	263.803	0.364363	515.209	384.5404	57.497	15.2981	20.1395	0.117267	171.741	2067	0.994706	171.983	49.0663	48.6129	4.4762	0	0	0	6.24852	0.128536	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
16	395.474	822.407	103.446	253.314	8745	126.739	89.3369	0.709315	0.933696	389.99	1079.17	267.237	0.247632	704.888	574.2194	597.221	-25.9622	75.4509	0.10605	711.464	13565	0.886601	526.475	501.887	592.408	548.271	0.454936	568.217	608.623	254.73	0.429991	984	4058	163.518	80.4423	7	2461.52	0.281477	105.363	13.0209	50.1175	25.7321	488	61	140.571	154.917	149	586	105.054	10.2452	2	2569.51	0.293826	50.5857	50.5857	50.5857	0	89	60	74.5	20.5061	  Tumour 
17	452.364	483.968	415.849	229.872	6646	108.056	80.151	0.67067	0.936452	357.161	810.905	213.601	0.263411	488.977	358.3084	437.996	-57.9743	55.1217	0.0998149	552.24	13296	0.868168	551.044	541.251	660.392	616.256	0.586498	694.468	644.757	270.93	0.410256	808	1232	157.822	74.7458	2	1190.64	0.179151	36.6424	11.1878	26.5587	12.098	556	69	269.333	254.72	93	93	93.8065	-1.00206	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	93	93	93	0	  Tumour 
18	445.947	941.513	156.978	364.819	9256	121.496	98.7345	0.582747	0.963564	398.534	557.328	90.6809	0.162707	176.4	45.7314	243.545	-108.608	64.7932	0.181093	357.789	16777	0.915975	566.576	347.57	648.866	604.73	0.683694	668.776	620.003	298.666	0.460289	749	3815	98.0414	14.9654	10	1850.67	0.199943	75.826	11.6528	41.4632	17.5196	119	47	74.9	18.089	174	705	90.2644	-4.54414	2	3807.55	0.411361	55.0681	55.0681	55.0681	0	97	77	87	14.1421	  Tumour 
19	521.011	843.274	218.073	301.538	7295	128.758	74.513	0.815538	0.917726	373.831	714.648	150.879	0.211124	363.709	233.0404	257.83	-125.283	81.9291	0.220196	372.073	17177	0.969521	524.794	321.766	555.737	511.6	0.285714	613.864	546.212	164.603	0.296188	929	4651	116.869	33.7927	6	2444.42	0.335081	99.1972	19.2009	50.7104	26.4514	407	69	154.833	128.024	154	481	109.442	14.633	2	1157.72	0.158701	37.7087	37.7087	37.7087	0	109	45	77	45.2548	  Tumour 
20	513.228	401.141	515.798	205.205	8347	123.744	88.7845	0.696572	0.907579	424.718	599.893	107.444	0.179105	284.791	154.1224	245.095	-135.325	70.9535	0.197456	359.339	12006	0.897511	487.588	281.486	498.687	454.55	0.822967	538.709	481.482	238.752	0.478762	1502	4410	140.598	57.5219	5	3743.57	0.448493	83.866	12.9275	46.359	22.5002	550	30	250.333	196.941	91	94	84.2418	-10.5668	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	91	91	91	0	  Tumour 
