rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 	
1 	 76.1515 	 266.827 	 81.3941 	 124.487 	 6376 	 109.404 	 76.6053 	 0.713942 	 0.9323 	 339.362 	 1010.38 	 325.485 	 0.322142 	 281.052 	 915.337 	 168.202 	 -54.2042 	 29.8485 	 0.115061 	 259.414 	 9124 	 0.940231 	 412.167 	 52.2911 	 50.3724 	 2.99289 	 0.130208 	 51.04 	 50.2214 	 8.44174 	 0.167587 	 150 	 892 	 114.267 	 8.91096 	 3 	 2461.52 	 0.386061 	 56.2371 	 10.4647 	 40.2714 	 23.1078 	 62 	 43 	 50 	 10.4403 	 80 	 81 	 115.263 	 13.3885 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 80 	 80 	 80 	 0 	  Fib 
2 	 112.183 	 340.016 	 81.3941 	 121.655 	 2314 	 77.0294 	 39.0167 	 0.86223 	 0.937601 	 211.179 	 871.413 	 190.634 	 0.218764 	 238.11 	 776.373 	 149.894 	 -254.534 	 19.6293 	 0.0814136 	 241.106 	 3270 	 0.966027 	 237.882 	 60.2138 	 59.867 	 12.4875 	 0.174312 	 51.0526 	 60.8568 	 11.2911 	 0.188603 	 32 	 32 	 97.4375 	 -7.9182 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 32 	 32 	 32 	 0 	 67 	 68 	 98.7463 	 -3.12775 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 67 	 67 	 67 	 0 	  Fib 
3 	 167.251 	 205.993 	 109.554 	 59.9083 	 2121 	 63.673 	 44.1395 	 0.720725 	 0.920174 	 202.451 	 1053.9 	 381.921 	 0.362389 	 308.05 	 958.858 	 277.016 	 -158.368 	 124.325 	 0.337631 	 368.229 	 3303 	 0.944524 	 257.681 	 78.1932 	 82.8017 	 35.4222 	 0.267241 	 100.839 	 80.6045 	 26.3535 	 0.318272 	 36 	 37 	 99.8611 	 -5.49459 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 36 	 36 	 36 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
4 	 199.682 	 255.869 	 108.931 	 59.9083 	 4438 	 98.5597 	 59.1215 	 0.800109 	 0.944657 	 287.22 	 1350.81 	 469.702 	 0.347719 	 807.057 	 1255.77 	 550.143 	 73.0879 	 217.992 	 0.339893 	 641.355 	 6490 	 0.865795 	 390.936 	 354.518 	 372.98 	 325.601 	 0.403409 	 484.19 	 334.018 	 383.985 	 1.0295 	 90 	 136 	 182.044 	 76.6887 	 2 	 588.144 	 0.132524 	 11.4018 	 11.4018 	 11.4018 	 0 	 45 	 45 	 45 	 0 	 59 	 61 	 133.424 	 31.5497 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 59 	 59 	 59 	 0 	  Tumour 
5 	 256.155 	 987.788 	 79.9812 	 176.918 	 10164 	 175.965 	 85.4597 	 0.874146 	 0.7927 	 482.659 	 839.34 	 169.927 	 0.202453 	 148.877 	 744.3 	 375.097 	 9.82441 	 75.9153 	 0.1628 	 466.309 	 13778 	 0.926938 	 521.186 	 302.566 	 395.761 	 348.382 	 0.147727 	 503.338 	 392.519 	 176.365 	 0.445635 	 902 	 5571 	 144.106 	 38.7507 	 10 	 2070.35 	 0.203695 	 118.128 	 10.1119 	 56.5173 	 28.7414 	 268 	 3 	 82 	 72.2357 	 306 	 4322 	 104.288 	 2.41357 	 5 	 2433.47 	 0.239421 	 107.993 	 16.1869 	 61.7174 	 27.0812 	 99 	 37 	 61.2 	 22.9172 	  Tumour 
6 	 274.792 	 334.829 	 108.931 	 120.037 	 9729 	 142.886 	 87.7023 	 0.789469 	 0.969314 	 401.404 	 1669.27 	 615.148 	 0.368514 	 965.516 	 1574.23 	 819.453 	 301.886 	 266.952 	 0.29314 	 910.665 	 12036 	 0.951011 	 494.108 	 412.016 	 359.748 	 312.368 	 0.157895 	 884.931 	 314.662 	 307.538 	 0.854871 	 769 	 3837 	 254.494 	 149.138 	 11 	 1529.99 	 0.157261 	 91.6038 	 8.51098 	 44.1703 	 21.9849 	 150 	 45 	 69.9091 	 35.5231 	 413 	 3277 	 158.608 	 56.7337 	 6 	 997.926 	 0.102572 	 86.8957 	 19.5484 	 48.7675 	 19.7821 	 74 	 62 	 68.8333 	 4.62241 	  Tumour 
7 	 245.405 	 496.347 	 284.609 	 163.771 	 326 	 22.5298 	 18.8224 	 0.549578 	 0.976048 	 66.2843 	 714.411 	 177.237 	 0.248088 	 -80.5858 	 619.371 	 319.616 	 26.5796 	 55.0207 	 0.133926 	 410.828 	 795 	 0.981481 	 107.799 	 114.498 	 151.029 	 103.65 	 0 	 0 	 0 	 165.32 	 1.09462 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
8 	 315.264 	 933.606 	 687.684 	 117.085 	 12806 	 149.949 	 111.894 	 0.665704 	 0.976439 	 465.203 	 845.134 	 255.852 	 0.302736 	 452.557 	 750.093 	 366.543 	 -48.7359 	 63.0779 	 0.137798 	 457.755 	 14360 	 0.914184 	 544.274 	 406.892 	 479.858 	 432.478 	 0.449791 	 557.86 	 462.071 	 252.24 	 0.525656 	 1564 	 8121 	 157.395 	 52.0394 	 13 	 2755.68 	 0.215186 	 132.221 	 7.80985 	 56.822 	 28.105 	 373 	 18 	 120.308 	 127.503 	 117 	 1165 	 98.7094 	 -3.16461 	 3 	 568.418 	 0.0443868 	 73.3371 	 32.619 	 50.9831 	 18.4701 	 57 	 9 	 39 	 26.1534 	  Tumour 
9 	 287.475 	 647.499 	 434.65 	 199.04 	 4408 	 92.8385 	 60.6963 	 0.756682 	 0.981956 	 258.007 	 1233.9 	 358.32 	 0.290396 	 877.33 	 1138.86 	 186.166 	 84.9475 	 49.1287 	 0.177118 	 277.378 	 6469 	 0.96079 	 334.125 	 54.1858 	 50.4569 	 3.07736 	 0.0958466 	 44.6667 	 50.8024 	 11.52 	 0.228314 	 111 	 211 	 124.685 	 19.329 	 2 	 479.357 	 0.108747 	 17.2156 	 17.2156 	 17.2156 	 0 	 58 	 53 	 55.5 	 3.53553 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
10 	 291.038 	 845.724 	 596.977 	 173.632 	 3184 	 79.5702 	 53.1957 	 0.743678 	 0.964848 	 230.693 	 1170.63 	 349.473 	 0.298533 	 830.255 	 1075.59 	 184.406 	 -30.0007 	 82.6629 	 0.299918 	 275.618 	 5640 	 0.903267 	 361.338 	 373.909 	 434.356 	 386.977 	 0.320359 	 660.056 	 389.836 	 342.271 	 0.787996 	 47 	 47 	 102.83 	 -2.52592 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 47 	 47 	 47 	 0 	 136 	 174 	 112.75 	 10.876 	 2 	 778.052 	 0.244363 	 10.361 	 10.361 	 10.361 	 0 	 83 	 53 	 68 	 21.2132 	  Tumour 
