rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 39.7449 	 1842.67 	 55.0818 	 476.615 	 1944 	 57.5427 	 43.6828 	 0.650931 	 0.961424 	 177.782 	 700.62 	 151.692 	 0.216511 	 66.3179 	 619.722 	 3145 	 0.956218 	 231.841 	 156.562 	 147.155 	 -84.0703 	 0.214612 	 172.489 	 143.484 	 35.6054 	 0.241958 	 35 	 36 	 120.314 	 -71.4527 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 35 	 35 	 35 	 0 	 23.2192 	 -51.4704 	 9.00514 	 0.110829 	 81.2526 	 180 	 620 	 88.8389 	 -25.6422 	 4 	 452.53 	 0.232783 	 35.3553 	 10.4403 	 21.9068 	 9.06102 	 45 	 45 	 45 	 0 	  Lymph 
2 	 60.0692 	 1653.7 	 75.6439 	 372.667 	 2804 	 69.2148 	 52.9968 	 0.643213 	 0.946977 	 213.622 	 608.649 	 167.654 	 0.275453 	 129.098 	 527.752 	 4321 	 0.942832 	 284.125 	 206.648 	 201.525 	 -29.7008 	 0.171103 	 169.4 	 207.021 	 36.415 	 0.180697 	 31 	 31 	 141.097 	 -50.6702 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 31 	 31 	 31 	 0 	 27.0027 	 -52.9169 	 10.8318 	 0.127379 	 85.036 	 154 	 281 	 101.747 	 -12.7344 	 3 	 373.296 	 0.13313 	 14.3178 	 10.3597 	 12.9334 	 1.99547 	 64 	 45 	 51.3333 	 10.9697 	  Lymph 
3 	 55.2696 	 1790.32 	 55.0818 	 433.811 	 1547 	 48.6089 	 42.2796 	 0.493418 	 0.928571 	 162.61 	 375.216 	 62.3765 	 0.166242 	 -128.528 	 294.318 	 2896 	 0.955776 	 222.912 	 170.615 	 164.288 	 -66.9371 	 0.225962 	 168.617 	 163.661 	 30.8492 	 0.187775 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 26.2162 	 -44.7999 	 8.55663 	 0.101563 	 84.2495 	 45 	 45 	 80.9556 	 -33.5255 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Lymph 
4 	 73.4138 	 1277.06 	 566.961 	 196.359 	 4241 	 103.732 	 59.3757 	 0.819978 	 0.865334 	 301.463 	 636.948 	 222.52 	 0.349353 	 345.6 	 556.05 	 6345 	 0.89644 	 358.711 	 232.558 	 223.03 	 -8.19593 	 0 	 0 	 0 	 73.1202 	 0.32785 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 31.8087 	 -38.4816 	 10.5491 	 0.117419 	 89.842 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Fib 
5 	 71.0177 	 1071.51 	 771.623 	 209.695 	 734 	 37.5647 	 25.9204 	 0.723791 	 0.955729 	 106.569 	 511.386 	 193.441 	 0.378269 	 112.122 	 430.488 	 1562 	 0.972603 	 154.627 	 194.099 	 193.622 	 -37.6039 	 0 	 0 	 0 	 44.8916 	 0.231852 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 14.4408 	 -77.1446 	 11.2614 	 0.155386 	 72.4741 	 57 	 58 	 99.0526 	 -15.4285 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 57 	 57 	 57 	 0 	  Other 
6 	 145.768 	 98.8143 	 1747.22 	 412.273 	 6284 	 155.836 	 59.4634 	 0.924337 	 0.820473 	 442.375 	 650.168 	 283.955 	 0.436741 	 289.871 	 569.27 	 10233 	 0.774699 	 608.007 	 494.66 	 573.702 	 342.476 	 0.135802 	 699.727 	 555.825 	 401.486 	 0.699816 	 90 	 283 	 203.9 	 12.133 	 2 	 2460.87 	 0.391609 	 29.5296 	 29.5296 	 29.5296 	 0 	 45 	 45 	 45 	 0 	 57.9861 	 -58.0069 	 24.6421 	 0.212396 	 116.019 	 331 	 2027 	 147.353 	 32.8724 	 4 	 2521.94 	 0.401326 	 78.371 	 23.1325 	 46.6792 	 19.151 	 134 	 49 	 82.75 	 40.7298 	  Fib 
7 	 129.169 	 1622.83 	 237.32 	 298.096 	 4366 	 81.5152 	 69.3298 	 0.525952 	 0.941354 	 272.108 	 778.375 	 286.832 	 0.368501 	 383.49 	 697.478 	 6030 	 0.969765 	 316.569 	 191.241 	 154.44 	 -76.7855 	 0.15 	 169.311 	 153.384 	 29.5336 	 0.19123 	 48 	 49 	 151.688 	 -40.0795 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 48 	 48 	 48 	 0 	 30.6165 	 -29.1459 	 12.6254 	 0.142418 	 88.6498 	 114 	 208 	 128.404 	 13.9224 	 2 	 328.292 	 0.075193 	 17.134 	 17.134 	 17.134 	 0 	 69 	 45 	 57 	 16.9706 	  Lymph 
8 	 159.874 	 1154.7 	 698.387 	 92.358 	 3763 	 118.926 	 47.233 	 0.917748 	 0.854645 	 311.12 	 729.909 	 370.816 	 0.50803 	 397.023 	 649.012 	 5403 	 0.836896 	 375.681 	 464.568 	 467.177 	 235.952 	 0 	 0 	 467.173 	 271.892 	 0.581988 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 104 	 -38.046 	 56.3986 	 0.348068 	 162.033 	 108 	 304 	 136.306 	 21.8245 	 2 	 711.822 	 0.189163 	 29.9527 	 29.9527 	 29.9527 	 0 	 61 	 47 	 54 	 9.89949 	  Fib 
9 	 195.622 	 1395.38 	 474.384 	 204.553 	 5117 	 158.162 	 46.0356 	 0.956703 	 0.80141 	 417.605 	 688.029 	 310.351 	 0.451072 	 450.593 	 607.131 	 7070 	 0.802679 	 470.551 	 228.682 	 228.874 	 -2.35137 	 0.162471 	 253.324 	 228.01 	 71.2039 	 0.311105 	 45 	 45 	 155.467 	 -36.3003 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 34.1322 	 -8.95554 	 17.6356 	 0.191347 	 92.1655 	 60 	 61 	 114.833 	 0.352229 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 60 	 60 	 60 	 0 	  Fib 
10 	 163.572 	 681.454 	 1168.6 	 88.2383 	 1200 	 65.7135 	 24.2734 	 0.929278 	 0.932401 	 160.468 	 502.633 	 181.199 	 0.3605 	 37.5251 	 421.736 	 4257 	 0.862614 	 310.125 	 609.178 	 683.332 	 452.107 	 0.200692 	 1355.24 	 597.078 	 449.368 	 0.657613 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 60.4433 	 -22.5665 	 23.3392 	 0.196994 	 118.477 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Fib 
