rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	CellLabels 	
1 	 51.385 	 2846.65 	 128.098 	 205.548 	 4039 	 75.0609 	 68.8523 	 0.398228 	 0.978677 	 241.38 	 1643.46 	 408.56 	 0.248598 	 238.849 	 1297.14 	 121.788 	 -180.916 	 66.2506 	 0.24147 	 274.363 	 57 	 59 	 116.737 	 16.4854 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 57 	 57 	 57 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 5057 	 0.984044 	 264.652 	 264.203 	 351.701 	 110.071 	 0 	 0 	 0 	 106.969 	 0.304147 	  DCIS 
2 	 79.0775 	 2972.42 	 128.098 	 208.396 	 4170 	 113.061 	 48.9026 	 0.901619 	 0.920124 	 301.907 	 1467.69 	 342.726 	 0.233515 	 40.7257 	 1121.37 	 176.157 	 -110.141 	 23.2725 	 0.0707948 	 328.732 	 48 	 48 	 119.396 	 19.1444 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 48 	 48 	 48 	 0 	 59 	 59 	 137.254 	 16.7095 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 59 	 59 	 59 	 0 	 5300 	 0.948291 	 300.167 	 338.156 	 336.842 	 95.2118 	 0 	 0 	 0 	 74.8185 	 0.222117 	  DCIS 
3 	 80.1214 	 2244.92 	 602.698 	 283.635 	 3146 	 91.9147 	 46.5308 	 0.862393 	 0.896041 	 257.421 	 2109.44 	 710.965 	 0.33704 	 659.839 	 1763.12 	 143.632 	 -140.422 	 23.5869 	 0.0796299 	 296.207 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 45 	 45 	 108.867 	 -11.6781 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 4235 	 0.934054 	 272.25 	 191.5 	 173.648 	 -67.9822 	 0 	 0 	 174.348 	 50.2128 	 0.289164 	  DCIS 
4 	 72.416 	 169.787 	 80.4487 	 312.386 	 2868 	 65.9131 	 57.3547 	 0.492775 	 0.923969 	 217.865 	 1620.48 	 323.807 	 0.199822 	 141.139 	 1274.16 	 320.808 	 23.2088 	 62.3314 	 0.131672 	 473.383 	 161 	 264 	 114.714 	 14.4629 	 3 	 989.672 	 0.345074 	 17.0129 	 9.05124 	 12.1439 	 3.81718 	 80 	 36 	 53.6667 	 23.2451 	 366 	 647 	 365.533 	 244.988 	 4 	 943.386 	 0.328935 	 26.8988 	 11.1064 	 16.7627 	 5.46672 	 265 	 23 	 91.5 	 115.915 	 5595 	 0.85629 	 334.09 	 1562.42 	 2204.53 	 1962.9 	 0.225806 	 2144.37 	 2202.24 	 568.677 	 0.257958 	  Tumour 
5 	 92.0488 	 2571.04 	 279.029 	 334.031 	 3526 	 83.1227 	 54.2379 	 0.757785 	 0.970281 	 235.765 	 2210.25 	 814.821 	 0.368655 	 756.142 	 1863.94 	 113.13 	 -152.419 	 62.8015 	 0.236358 	 265.705 	 62 	 63 	 136.613 	 36.3615 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 62 	 62 	 62 	 0 	 62 	 62 	 178.597 	 58.052 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 62 	 62 	 62 	 0 	 4553 	 0.983157 	 255.279 	 179.78 	 169.642 	 -71.9879 	 0 	 0 	 0 	 95.6829 	 0.564027 	  DCIS 
6 	 99.0338 	 552.294 	 2295.5 	 285.797 	 1804 	 78.8176 	 29.7997 	 0.925771 	 0.916667 	 200.167 	 1409.67 	 270.827 	 0.192121 	 50.0663 	 1063.36 	 201.879 	 -53.4623 	 37.4359 	 0.105616 	 354.455 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 2625 	 0.962596 	 218.024 	 365.775 	 396.5 	 154.87 	 0 	 0 	 0 	 211.995 	 0.534665 	  DCIS 
7 	 138.03 	 216.426 	 72.5672 	 250.082 	 4952 	 121.979 	 53.3795 	 0.899164 	 0.964174 	 316.818 	 1952.38 	 561.973 	 0.287841 	 492.283 	 1606.06 	 292.566 	 10.5195 	 86.4699 	 0.194253 	 445.141 	 75 	 75 	 173.827 	 73.5753 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 75 	 75 	 75 	 0 	 198 	 346 	 249.783 	 129.238 	 3 	 903.272 	 0.182406 	 20.7689 	 9.48111 	 14.2591 	 5.22329 	 97 	 45 	 66 	 27.4044 	 6899 	 0.816257 	 449.973 	 1369.34 	 1611.95 	 1370.32 	 0.448 	 2405.49 	 1398.15 	 873.466 	 0.541868 	  Tumour 
8 	 170.547 	 2223.81 	 634.452 	 237.775 	 1815 	 133.133 	 18.4658 	 0.990334 	 0.901192 	 299.362 	 1352.84 	 290.77 	 0.214932 	 -70.497 	 1006.53 	 152.282 	 -116.553 	 20.5785 	 0.0675022 	 304.857 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3127 	 0.937631 	 318.191 	 182.334 	 165.271 	 -76.3594 	 0 	 0 	 165.079 	 32.7568 	 0.198201 	  Fib 
9 	 162.869 	 2388.36 	 472.467 	 401.708 	 4755 	 105.381 	 58.1715 	 0.833837 	 0.947778 	 303.404 	 2310.89 	 948.837 	 0.410593 	 945.37 	 1964.58 	 204.248 	 -63.2434 	 62.3522 	 0.174743 	 356.823 	 363 	 1341 	 244.661 	 144.41 	 3 	 1509.54 	 0.317464 	 54.921 	 28.3745 	 37.342 	 13.6176 	 241 	 58 	 121 	 103.966 	 550 	 1479 	 175.484 	 54.9389 	 5 	 1059.93 	 0.222909 	 53.6493 	 14.732 	 31.0733 	 13.5808 	 253 	 45 	 110 	 85.1763 	 5974 	 0.96651 	 307.078 	 223.795 	 198.591 	 -43.0392 	 0 	 0 	 199.438 	 78.243 	 0.393991 	  DCIS 
10 	 148.781 	 1946.43 	 1777.67 	 243.417 	 4518 	 100.846 	 57.6729 	 0.820331 	 0.970986 	 273.179 	 1545.44 	 333.527 	 0.215814 	 78.3239 	 1199.12 	 136.758 	 -155.585 	 66.5298 	 0.229942 	 289.333 	 83 	 86 	 120.892 	 20.6402 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 83 	 83 	 83 	 0 	 272 	 1023 	 224.121 	 103.577 	 4 	 1074.72 	 0.237876 	 42.4194 	 10.4156 	 28.4344 	 10.6117 	 147 	 36 	 68 	 53.1727 	 5714 	 0.928049 	 339.321 	 739.414 	 1407.24 	 1165.61 	 0.311864 	 1853.55 	 1282.86 	 708.714 	 0.503618 	  Tumour 
