rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	CellLabels 	
11 	 87.007 	 746.744 	 181.648 	 534.462 	 4454 	 99.3745 	 58.6188 	 0.807493 	 0.935321 	 282.25 	 1712.03 	 491.37 	 0.287011 	 507.721 	 1396.45 	 132.688 	 -40.7173 	 50.956 	 0.193007 	 264.012 	 188 	 353 	 108.777 	 14.4538 	 4 	 976.486 	 0.219238 	 23.0868 	 9.31553 	 13.8468 	 4.64911 	 60 	 38 	 47 	 9.27362 	 307 	 433 	 416.743 	 298.722 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 0 	 288 	 19 	 153.5 	 190.212 	 5528 	 0.898132 	 335.421 	 994.732 	 1345.65 	 1243.26 	 0.477816 	 1218.76 	 1391.06 	 718.142 	 0.533679 	  Tumour 
12 	 85.4648 	 149.431 	 770.499 	 268.263 	 4434 	 89.3623 	 63.6392 	 0.70203 	 0.964123 	 264.551 	 2420.72 	 567.245 	 0.234329 	 1094.63 	 2105.15 	 156.63 	 -25.0144 	 33.7283 	 0.117131 	 287.954 	 173 	 279 	 132.896 	 38.5732 	 2 	 712.63 	 0.16072 	 18.0902 	 18.0902 	 18.0902 	 0 	 107 	 66 	 86.5 	 28.9914 	 471 	 749 	 359.597 	 241.576 	 3 	 540.487 	 0.121896 	 19.9631 	 7.03102 	 14.1194 	 5.86319 	 412 	 19 	 157 	 221.086 	 9599 	 0.84528 	 528.233 	 916.049 	 1500.59 	 1398.2 	 0.326226 	 1697.16 	 1458.03 	 537.788 	 0.358384 	  Tumour 
13 	 96.1671 	 929.25 	 73.9797 	 468.736 	 3777 	 75.7783 	 63.5986 	 0.543712 	 0.97471 	 237.38 	 1959.5 	 445.543 	 0.227376 	 762.722 	 1643.93 	 168.809 	 -41.7335 	 45.3884 	 0.151228 	 300.133 	 203 	 535 	 114.438 	 20.1156 	 3 	 713.533 	 0.188915 	 31.6963 	 12.1655 	 23.1401 	 8.93304 	 89 	 45 	 67.6667 	 22.0303 	 385 	 473 	 419.114 	 301.094 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 385 	 385 	 385 	 0 	 5639 	 0.93222 	 313.664 	 917.96 	 1466.44 	 1364.05 	 0.398524 	 1593.59 	 1398.15 	 538.278 	 0.367066 	  Tumour 
14 	 85.2102 	 2365.45 	 41.6773 	 383.627 	 1532 	 58.0918 	 34.0541 	 0.810158 	 0.961104 	 156.368 	 1968.55 	 725.19 	 0.368388 	 1082.75 	 1652.98 	 52.8881 	 -53.0161 	 19.3852 	 0.105233 	 184.212 	 71 	 72 	 113.211 	 18.8885 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 71 	 71 	 71 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 1985 	 0.957549 	 176.711 	 104.07 	 96.4038 	 -5.98451 	 0.224359 	 136 	 92.0578 	 29.6837 	 0.30791 	  DCIS 
15 	 108.806 	 865.087 	 100.499 	 497.548 	 3883 	 84.6096 	 60.5389 	 0.698604 	 0.931622 	 258.936 	 1861.49 	 339.305 	 0.182276 	 801.863 	 1545.92 	 140.192 	 -51.2051 	 31.9616 	 0.117716 	 271.516 	 134 	 148 	 119.56 	 25.2369 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 134 	 134 	 134 	 0 	 425 	 725 	 394.019 	 275.998 	 2 	 827.454 	 0.213097 	 20.1848 	 20.1848 	 20.1848 	 0 	 380 	 45 	 212.5 	 236.881 	 5237 	 0.887627 	 324.534 	 1178.67 	 1751.04 	 1648.65 	 0.543796 	 1668.44 	 1776.17 	 625.911 	 0.357452 	  Tumour 
16 	 112.439 	 242.273 	 680.842 	 249.177 	 4205 	 81.4459 	 66.3118 	 0.58061 	 0.964671 	 255.522 	 2404.21 	 657.122 	 0.273321 	 1179.3 	 2088.64 	 202.741 	 -8.46102 	 36.9112 	 0.110491 	 334.065 	 191 	 606 	 114.152 	 19.8291 	 3 	 1088.55 	 0.25887 	 41.5933 	 16.938 	 28.9015 	 11.0406 	 101 	 45 	 63.6667 	 32.3316 	 449 	 854 	 350.61 	 232.59 	 3 	 752.94 	 0.179058 	 21.1006 	 15.9373 	 18.4268 	 2.31352 	 335 	 18 	 149.667 	 165.174 	 5332 	 0.926016 	 310.108 	 993.654 	 1447.42 	 1345.03 	 0.283088 	 2099.64 	 1333.45 	 728.391 	 0.503236 	  Tumour 
17 	 125.165 	 2567.58 	 197.231 	 248.244 	 4708 	 113.72 	 54.8511 	 0.875986 	 0.934683 	 306.049 	 2417.49 	 993.879 	 0.41112 	 1496.81 	 2101.92 	 110.386 	 -21.3892 	 26.4287 	 0.10934 	 241.71 	 85 	 86 	 154.776 	 60.4537 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 85 	 85 	 85 	 0 	 43 	 43 	 178.372 	 60.3517 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 43 	 43 	 43 	 0 	 5392 	 0.916539 	 330.392 	 189.345 	 203.771 	 101.383 	 0.31338 	 220.135 	 196.832 	 114.932 	 0.564023 	  DCIS 
18 	 102.753 	 1261.32 	 353.18 	 233.006 	 1813 	 63.6914 	 37.1316 	 0.812478 	 0.948222 	 178.167 	 1411.92 	 346.323 	 0.245286 	 433.476 	 1096.34 	 38.9694 	 -62.3323 	 17.874 	 0.10496 	 170.293 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 45 	 45 	 122.556 	 4.53512 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 3498 	 0.88311 	 276.936 	 458.518 	 518.807 	 416.418 	 0.168067 	 1139.72 	 454.733 	 414.877 	 0.799675 	  Tumour 
19 	 125.247 	 589.961 	 342.539 	 445.772 	 5390 	 88.7005 	 77.8235 	 0.479809 	 0.954658 	 296.635 	 2037.67 	 440.888 	 0.216369 	 1149.76 	 1722.1 	 153.384 	 -14.3394 	 55.4397 	 0.194725 	 284.709 	 225 	 924 	 118.298 	 23.975 	 3 	 686.416 	 0.12735 	 48.144 	 15.4143 	 35.4207 	 15.6867 	 80 	 70 	 75 	 5 	 509 	 1361 	 455.196 	 337.176 	 3 	 2445.18 	 0.453651 	 55.4429 	 18.6673 	 33.3621 	 14.1838 	 437 	 16 	 127.25 	 206.584 	 6514 	 0.905603 	 356.676 	 844.457 	 1306.1 	 1203.71 	 0.543046 	 1641.24 	 1149.7 	 844.398 	 0.646502 	  Tumour 
20 	 149.254 	 1540.48 	 851.89 	 282.767 	 4607 	 112.122 	 55.6125 	 0.868321 	 0.920847 	 308.635 	 1541.45 	 387.433 	 0.251342 	 817.228 	 1225.88 	 81.3703 	 -10.583 	 19.6164 	 0.0922282 	 212.694 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 99 	 374 	 138.848 	 20.828 	 2 	 1152.12 	 0.250081 	 38.1585 	 38.1585 	 38.1585 	 0 	 50 	 49 	 49.5 	 0.707107 	 5432 	 0.939305 	 317.421 	 126.38 	 128.272 	 25.8834 	 0 	 0 	 0 	 32.5333 	 0.253628 	  DCIS 
21 	 142.443 	 511.096 	 423.08 	 396.227 	 6563 	 110.108 	 78.8622 	 0.697871 	 0.894629 	 380.576 	 1980.84 	 544.086 	 0.274674 	 1149.76 	 1665.27 	 188.33 	 -51.4671 	 36.4464 	 0.114018 	 319.654 	 195 	 337 	 114.779 	 20.4567 	 3 	 1234.51 	 0.188102 	 17.72 	 12.1169 	 14.0089 	 2.87482 	 105 	 45 	 65 	 34.641 	 446 	 795 	 303.635 	 185.614 	 5 	 2597.22 	 0.395737 	 36.7571 	 10.6123 	 21.5895 	 9.03062 	 237 	 22 	 89.2 	 89.6895 	 11274 	 0.876876 	 504.032 	 820.295 	 1274.54 	 1172.15 	 0.555809 	 1137.39 	 1322.49 	 501.735 	 0.393659 	  Tumour 
