rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NucAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 
1	37.2093	1886.1	50.6063	724.517	2198	62.8661	45.1496	0.69585	0.962347	188.167	1660.14	571.264	0.344106	149.403	1438.52	2719	0.942788	212.167	581.314	582.158	268.263	0.333333	586.148	582.386	48.7361	0.0837163	179	187	431.346	177.477	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	179	179	179	0	131.354	-68.2841	41.4962	0.202291	205.131	178	185	432.242	128.745	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	178	178	178	0	  DCIS 
2	35.7616	870.643	155.554	367.01	1984	77.6992	33.3012	0.903498	0.958454	194.894	1247.12	295.536	0.236974	-79.2741	1025.5	3706	0.971683	246.711	363.931	330.062	16.1662	0	0	0	61.5163	0.186378	96	96	217.073	-36.7963	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	96	96	96	0	77.721	-195.09	22.3287	0.147386	151.498	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
3	41.3721	1455.79	430.019	630.001	2056	56.188	46.9146	0.550313	0.978582	170.024	2629.44	578.436	0.219985	1156.76	2407.81	4220	0.935491	308.208	1006.96	1083.73	769.837	0.3663	1130.76	1092.38	229.644	0.211901	158	878	451.082	197.213	3	495.683	0.241091	38.2126	24.0832	32.3123	6.5713	69	20	52.6667	28.2902	171.258	10.382	62.8722	0.256584	245.035	84	85	451.881	148.384	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	84	84	84	0	  DCIS 
4	58.9559	1356.37	530.456	619.956	3675	95.0861	51.3889	0.841379	0.961036	252.368	1889.01	416.814	0.220652	508.862	1667.38	4666	0.967448	276.853	552.59	546.873	232.977	0.00396825	515	546.644	76.417	0.139734	122	312	297.516	43.6472	2	615.906	0.167594	26.6208	26.6208	26.6208	0	62	60	61	1.41421	106.333	-233.935	23.1012	0.128261	180.11	185	351	363.059	59.5626	2	1260.14	0.342894	23.1765	23.1765	23.1765	0	103	82	92.5	14.8492	  DCIS 
5	74.6773	1405.4	482.499	598.094	3167	106.74	39.9572	0.927292	0.875104	311.421	2549.37	467.726	0.183468	731.284	2327.74	3933	0.881246	305.522	631.421	661.555	347.659	0.384906	717.569	644.784	125.938	0.190367	227	1430	340.145	86.2762	4	404.253	0.127645	84.369	10.2159	53.0201	27.9224	79	38	56.75	17.0367	139.925	-166.373	19.7474	0.0924059	213.703	223	730	334.283	30.7857	2	709.582	0.224055	54.1183	54.1183	54.1183	0	158	65	111.5	65.7609	  DCIS 
6	62.2129	1930.29	50.6063	708.95	2395	75.7967	41.1139	0.840106	0.956088	208.167	1932.22	553.601	0.28651	575.066	1710.59	3255	0.958481	234.652	627.263	612.716	298.82	0.22549	586.304	614.859	58.0757	0.0947841	173	266	302.855	48.9863	2	334.47	0.139654	14.3556	14.3556	14.3556	0	104	69	86.5	24.7487	146.299	-181.722	25.153	0.114292	220.076	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
7	55.5136	682.006	1204.15	294.002	3429	96.0915	45.588	0.880297	0.97249	249.664	1776.11	776.44	0.437159	426.457	1554.48	5553	0.947449	313.823	359.454	326.345	12.4493	0.116197	312.636	327.748	22.5113	0.0689799	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	31.7075	-93.6929	10.3046	0.0976874	105.485	158	311	292.741	-10.7563	2	117.958	0.0344	19.9789	19.9789	19.9789	0	91	67	79	16.9706	  DCIS 
8	54.4815	1709.26	177.815	667.237	2592	82.3627	41.8536	0.861262	0.918823	226.652	1234.01	221.201	0.179254	-207.763	1012.38	4463	0.793422	352.191	737.644	794.863	480.968	0.0366667	598.182	795.384	225.876	0.284169	56	56	308.089	54.2201	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	56	56	56	0	160.196	-36.2026	23.3373	0.0997434	233.974	84	85	315.107	11.6103	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	84	84	84	0	  DCIS 
9	75.2178	1161.96	724.997	497.548	3705	71.5585	66.5184	0.368652	0.988	226.953	2624.36	685.296	0.261128	1326.75	2402.74	5535	0.882072	348.007	667.089	616.71	302.814	0	0	0	161.662	0.262136	123	452	346.317	92.4479	2	330.196	0.0891218	38.5947	38.5947	38.5947	0	70	53	61.5	12.0208	117.683	-168.765	40.5907	0.212006	191.46	73	74	286.247	-17.2503	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	73	73	73	0	  DCIS 
10	62.5124	1247.08	639.529	571.42	1538	53.5513	37.6661	0.710829	0.970347	155.882	1938.79	364.938	0.18823	795.361	1717.16	2157	0.969003	180.368	623.955	630.468	316.573	0	0	0	102.33	0.162307	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	146.236	-55.7812	26.3169	0.119615	220.013	101	103	362.614	59.117	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	101	101	101	0	  DCIS 
11	102.399	1493.34	398.339	570.267	4190	94.3597	57.0614	0.796436	0.949683	269.179	1937.89	537.762	0.277499	352.384	1716.26	6771	0.82674	424.718	911.605	1052.45	738.556	0.630854	1067.84	1045.75	302.456	0.287382	138	326	350.616	96.7468	2	848.859	0.202592	26.2488	26.2488	26.2488	0	69	69	69	0	124.65	-10.417	18.132	0.0913787	198.427	143	226	355.832	52.3353	2	1074.56	0.256458	14.8817	14.8817	14.8817	0	76	67	71.5	6.36396	  DCIS 
12	88.1476	2037.14	159.38	717.388	2704	70.6703	49.52	0.713438	0.968828	206.409	1209.26	239.68	0.198205	476.406	987.63	3525	0.976184	226.409	549.8	559.492	245.597	0	0	0	51.3418	0.0917649	53	53	233.113	-20.756	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	53	53	53	0	144.493	-64.6072	18.3965	0.0842829	218.27	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
13	100.101	383.305	1504.32	195.658	4784	88.499	70.1716	0.609341	0.962382	278.25	1874.99	774.846	0.413253	1053.97	1653.36	6505	0.930349	333.037	529.24	490.845	176.949	0.20202	416.65	499.143	225.075	0.458546	185	208	270.719	16.8497	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	185	185	185	0	150.582	-64.9334	47.6884	0.212553	224.36	218	802	349.505	46.0077	3	742.742	0.155256	36.1653	17.1457	28.6188	9.03324	81	65	72.6667	8.02081	  DCIS 
14	81.566	1858.72	52.4786	675.853	689	31.0579	28.4261	0.402859	0.971791	97.4975	1110.39	241.133	0.217162	75.5693	888.76	1138	0.949917	130.569	597.214	618.298	304.402	0.140351	573.5	622.906	76.4916	0.123713	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	161.942	-18.9726	32.8188	0.139228	235.72	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Other 
15	108.505	1767.73	138.232	630.375	4609	128.928	52.3175	0.913966	0.875736	334.191	1671.08	348.341	0.208453	629.945	1449.45	5921	0.890644	361.12	601.631	629.444	315.548	0.0353698	602	629.869	64.907	0.103118	136	779	274.581	20.7117	2	414.151	0.0898569	71.7228	71.7228	71.7228	0	70	66	68	2.82843	177.178	-9.79219	18.4408	0.0734826	250.955	157	746	320.834	17.3375	2	572.569	0.124228	64.4798	64.4798	64.4798	0	81	76	78.5	3.53553	  DCIS 
16	110.838	1437.54	454.07	560.258	2244	77.1421	38.2775	0.868212	0.955707	200.853	2928.53	445.56	0.152145	1322.42	2706.9	3162	0.945009	240.066	676.425	698.368	384.473	0.578947	754.149	673.572	146.895	0.210341	125	398	352.664	98.7948	2	105.362	0.0469526	36.7535	36.7535	36.7535	0	71	54	62.5	12.0208	155.881	-24.8387	42.2884	0.184136	229.658	167	447	402.868	99.3714	2	121.255	0.0540353	33.3904	33.3904	33.3904	0	97	70	83.5	19.0919	  DCIS 
17	126.964	1541.72	355.578	550.913	3040	94.9414	41.8021	0.897854	0.954474	233.439	2270.14	377.133	0.166128	1023.48	2048.51	5045	0.71247	421.789	927.129	1018.34	704.445	0.684358	1067.61	995.181	164.019	0.161065	191	575	379.398	125.529	2	373.1	0.12273	45.7083	45.7083	45.7083	0	122	69	95.5	37.4767	139.411	-12.0708	20.6623	0.0969206	213.188	164	566	379.177	75.68	2	383.018	0.125993	44.7169	44.7169	44.7169	0	88	76	82	8.48528	  DCIS 
18	114.644	737.402	1151.64	241.58	2037	59.214	43.9928	0.669352	0.976042	175.581	1494.72	523.692	0.350361	815.603	1273.1	3590	0.984101	229.74	400.703	417.276	103.38	0.154206	317.091	422.977	117.748	0.282182	146	223	209.788	-44.0815	2	486.689	0.238924	14.8463	14.8463	14.8463	0	76	70	73	4.24264	72.0664	-9.06745	28.061	0.192404	145.844	69	69	306.014	2.51764	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	69	69	69	0	  DCIS 
19	139.068	1581.7	320.656	546.949	2616	89.8106	37.9201	0.906492	0.958242	221.196	2138.12	642.338	0.300422	809.751	1916.49	4029	0.880079	305.321	979.124	933.494	619.598	0.651341	990.018	904.198	169.16	0.181212	157	496	519.172	265.303	2	535.921	0.204863	37.4221	37.4221	37.4221	0	97	60	78.5	26.163	173.968	1.15994	37.4651	0.151224	247.745	399	769	447.401	143.904	1	0	0	 NaN 	 NaN 	 NaN 	0	328	71	199.5	181.726	  DCIS 
20	146.746	1638.99	270.387	555.367	1873	100.46	25.1903	0.968052	0.881827	231.296	2461.76	805.013	0.327008	1457.53	2240.13	2910	0.68102	308.007	877.422	851.393	537.497	0.752809	833.01	861.745	233.177	0.273877	118	169	397.568	143.699	2	428.873	0.228976	11.2281	11.2281	11.2281	0	69	49	59	14.1421	175.465	-40.9868	43.8864	0.176079	249.243	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
21	123.937	499.045	1389.73	241.238	2217	88.13	33.0702	0.926926	0.947031	220.309	1428.57	470.413	0.32929	882.241	1206.94	3805	0.968193	261.64	464.857	367.049	53.1536	0	0	0	82.3273	0.224295	72	72	226.292	-27.5775	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	72	72	72	0	121.645	41.8861	26.1493	0.133809	195.423	77	77	314.364	10.8668	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	77	77	77	0	  DCIS 
22	147.871	320.329	1569.93	131.973	4068	93.5042	55.89	0.8017	0.972508	262.007	1613.72	470.145	0.291342	998.74	1392.09	6188	0.969298	313.723	569.096	490.331	176.435	0.213523	415.6	500.908	142.593	0.29081	86	89	268.686	14.8169	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	86	86	86	0	190.737	31.0937	51.1621	0.193419	264.515	65	65	365.308	61.8108	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	65	65	65	0	  DCIS 
23	144.303	1398.25	499.593	530.074	897	37.603	30.7369	0.576062	0.947202	117.64	1368.57	345.999	0.252818	407.863	1146.94	1412	0.963165	143.296	663.149	651.366	337.47	0.219512	699.444	642.68	128.214	0.196839	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	110.056	12.7539	36.2325	0.197094	183.834	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
24	143.53	1282.79	612.42	541.045	790	64.5506	16.0784	0.968482	0.934911	150.024	1060.2	204.028	0.192443	507.974	838.574	1388	0.945504	171.681	596.484	553.014	239.118	0	0	0	107.204	0.193855	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	173.583	30.8382	34.5403	0.139635	247.361	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Other 
25	173.63	1665.91	259.17	539.935	1596	63.5151	33.2504	0.852023	0.905275	196.024	2349.85	277.31	0.118012	1017.13	2128.23	2386	0.822759	232.752	750.823	782.996	469.1	0.802691	762.927	801.595	140.918	0.179973	233	280	514.936	261.066	2	798.259	0.500162	12.4697	12.4697	12.4697	0	202	31	116.5	120.915	159.122	-62.8616	37.2233	0.159826	232.899	185	191	491.973	188.476	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	185	185	185	0	  DCIS 
26	184.154	1618.18	305.668	513.554	1600	65.4529	32.4705	0.868271	0.935126	184.267	2567.4	454.477	0.177018	589.065	2345.78	2222	0.942724	201.681	692.274	704.824	390.928	0.835227	714.796	701.01	106.671	0.151344	16	17	433.438	179.568	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	16	16	16	0	129.848	-63.7513	34.4426	0.169147	203.625	97	411	368.175	64.6784	2	144.13	0.090081	41.4552	41.4552	41.4552	0	81	16	48.5	45.9619	  DCIS 
27	169.816	1006.88	889.005	319.725	1921	73.5837	33.7559	0.88857	0.963874	188.368	1215.52	240.262	0.197661	561.36	993.898	3321	0.957612	231.497	328.254	304.677	-9.21837	0	0	0	48.5916	0.159485	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	46.2251	4.02608	12.6647	0.105537	120.003	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
28	190.066	1505.98	409.645	483.696	3034	83.7641	46.5738	0.831174	0.967166	226.108	1681.04	561.085	0.333772	809.78	1459.42	4325	0.916508	284.836	739.332	759.905	446.01	0.497942	990.025	679.695	287.736	0.378647	127	417	346.283	92.4143	2	983.639	0.324205	36.5889	36.5889	36.5889	0	69	58	63.5	7.77817	87.887	0.283227	29.6036	0.183118	161.664	80	82	336.4	32.9031	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	80	80	80	0	  DCIS 
29	173.647	1890.78	137.091	591.027	1038	42.4195	32.1516	0.65232	0.968284	124.953	1461.99	389.71	0.26656	712.022	1240.37	1423	0.912765	154.711	629.618	638.082	324.186	0.231343	714.484	628.647	67.7436	0.106167	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	168.33	2.09154	28.3234	0.116987	242.108	30	31	360.533	57.0365	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	30	30	30	0	  Other 
30	195.084	1700.74	243.288	529.77	1933	65.5823	39.4066	0.799345	0.936531	191.539	2276.3	244.175	0.107269	1040.66	2054.67	2779	0.909954	239.48	757.01	772.188	458.292	0.956731	737.834	801.46	219.584	0.284366	87	90	313.989	60.1193	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	87	87	87	0	157.887	-18.9977	20.7731	0.0896687	231.665	80	82	351.712	48.2156	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	80	80	80	0	  DCIS 
31	215.97	1828.11	188.162	538.934	3332	93.8132	46.0889	0.870999	0.952817	247.581	2239.37	635.844	0.283938	1038.51	2017.75	4578	0.876172	339.907	676	717.149	403.253	0.0506757	947.533	710.166	127.561	0.177873	117	267	303.607	49.7376	2	155.271	0.0466	23.4361	23.4361	23.4361	0	69	48	58.5	14.8492	138.182	-11.8336	17.69	0.0834592	211.959	74	74	348.851	45.3545	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	74	74	74	0	  DCIS 
