rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 75.1815 	 438.477 	 57.9396 	 505.57 	 2892 	 67.0228 	 56.3922 	 0.540432 	 0.962716 	 219.907 	 1240.44 	 321.936 	 0.259534 	 80.0243 	 1099.02 	 4319 	 0.885949 	 321.907 	 1108.35 	 1158.34 	 902.491 	 0.21223 	 1338.86 	 1134.31 	 196.236 	 0.169412 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 65.2707 	 -176.399 	 19.8039 	 0.157062 	 126.089 	 128 	 215 	 138.852 	 -9.3151 	 2 	 1755.9 	 0.607158 	 18.2855 	 18.2855 	 18.2855 	 0 	 83 	 45 	 64 	 26.8701 	  DCIS 
2 	 65.385 	 755.508 	 67.0075 	 286.295 	 748 	 37.842 	 25.7914 	 0.731766 	 0.946835 	 110.912 	 894.654 	 144.127 	 0.161098 	 -208.73 	 753.238 	 1268 	 0.904422 	 160.024 	 1664.99 	 1834.63 	 1578.78 	 0.220588 	 1469.23 	 1861 	 696.501 	 0.379641 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 112.976 	 -163.646 	 25.7264 	 0.148028 	 173.794 	 48 	 49 	 118.104 	 -30.0625 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 48 	 48 	 48 	 0 	  Other 
3 	 131.71 	 754.672 	 322.084 	 228.02 	 2844 	 75.2179 	 53.5326 	 0.702482 	 0.939544 	 235.179 	 1299.26 	 361.118 	 0.27794 	 504.518 	 1157.85 	 3878 	 0.831119 	 320.392 	 694.147 	 747.905 	 492.058 	 0.113139 	 1397.97 	 705.35 	 397.622 	 0.531648 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 32.5943 	 -73.2446 	 10.0468 	 0.107553 	 93.4128 	 90 	 215 	 104.544 	 -43.6222 	 2 	 404.224 	 0.142132 	 21.095 	 21.095 	 21.095 	 0 	 45 	 45 	 45 	 0 	  DCIS 
4 	 128.77 	 417.429 	 57.9396 	 500.546 	 2063 	 66.5907 	 39.9115 	 0.800484 	 0.961323 	 184.652 	 1143.6 	 299.161 	 0.261596 	 -28.583 	 1002.19 	 2742 	 0.916444 	 219.48 	 1094.76 	 1032.01 	 776.158 	 0.319149 	 1328.98 	 976.788 	 252.061 	 0.244244 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 54.5189 	 -158.589 	 13.3134 	 0.11543 	 115.337 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
5 	 202.573 	 505.108 	 144.475 	 392.135 	 2706 	 71.6514 	 48.4981 	 0.73611 	 0.966084 	 206.551 	 1420.8 	 398.352 	 0.280372 	 668.227 	 1279.38 	 3316 	 0.971295 	 224.652 	 832.904 	 814.948 	 559.101 	 0 	 0 	 0 	 117.109 	 0.143701 	 90 	 254 	 265.456 	 60.7187 	 2 	 218.131 	 0.08061 	 25.9422 	 25.9422 	 25.9422 	 0 	 45 	 45 	 45 	 0 	 42.8874 	 -55.0645 	 8.10859 	 0.0781884 	 103.706 	 59 	 60 	 127.627 	 -20.5395 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 59 	 59 	 59 	 0 	  DCIS 
6 	 249.382 	 395.353 	 179.234 	 395.648 	 2266 	 71.8604 	 41.0982 	 0.820312 	 0.955312 	 200.51 	 1195.82 	 351.899 	 0.294274 	 304.02 	 1054.41 	 2805 	 0.965577 	 214.61 	 893.398 	 829.047 	 573.2 	 0 	 0 	 0 	 138.715 	 0.167318 	 45 	 45 	 291.844 	 87.1076 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 94.2371 	 -139.03 	 27.3297 	 0.176258 	 155.056 	 69 	 73 	 124.783 	 -23.3841 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 69 	 69 	 69 	 0 	  DCIS 
7 	 274.238 	 974.167 	 571.749 	 108.24 	 627 	 36.1642 	 22.8754 	 0.774525 	 0.942857 	 99.1543 	 857.6 	 125.517 	 0.146358 	 -317.725 	 716.184 	 7669 	 0.923086 	 379.99 	 1384.93 	 2004.46 	 1748.62 	 0.114907 	 2469.51 	 1956.89 	 711.531 	 0.354973 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 160.095 	 -102.986 	 36.4233 	 0.164876 	 220.914 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
8 	 322.124 	 117.629 	 404.239 	 275.835 	 3127 	 88.9151 	 44.9421 	 0.862856 	 0.969312 	 232.167 	 1890.57 	 611.101 	 0.323237 	 1058.21 	 1749.16 	 4308 	 0.897687 	 307.622 	 1091.88 	 1114.35 	 858.502 	 0.411765 	 1371.43 	 1049.69 	 347.201 	 0.311573 	 34 	 35 	 258.853 	 54.1161 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 34 	 34 	 34 	 0 	 104.646 	 -32.1466 	 46.282 	 0.279709 	 165.465 	 58 	 59 	 125.5 	 -22.6667 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 58 	 58 	 58 	 0 	  DCIS 
9 	 306.358 	 474.673 	 233.944 	 400.225 	 1711 	 60.9373 	 39.3349 	 0.763762 	 0.900526 	 190.752 	 1232 	 386.147 	 0.31343 	 505.251 	 1090.59 	 2177 	 0.90332 	 202.61 	 796.058 	 796.363 	 540.516 	 0.173184 	 817.226 	 794.991 	 107.745 	 0.135296 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 29.6631 	 -42.5173 	 8.5263 	 0.0942324 	 90.4816 	 51 	 120 	 115.412 	 -32.7549 	 2 	 475.535 	 0.277928 	 14.0151 	 14.0151 	 14.0151 	 0 	 34 	 17 	 25.5 	 12.0208 	  DCIS 
10 	 323.582 	 877.632 	 243.298 	 108.24 	 4969 	 83.2424 	 76.7366 	 0.387559 	 0.97892 	 274.836 	 1422.46 	 388.188 	 0.2729 	 961.845 	 1281.04 	 6652 	 0.967564 	 333.12 	 1547.95 	 1776.31 	 1520.47 	 0.130742 	 2308.11 	 1753.59 	 617.84 	 0.347821 	 190 	 785 	 280.168 	 75.4316 	 3 	 976.306 	 0.196479 	 28.3088 	 26.1444 	 27.1649 	 0.972624 	 88 	 45 	 63.3333 	 22.1886 	 513.405 	 291.973 	 190.139 	 0.331123 	 574.224 	 423 	 992 	 183.449 	 35.2825 	 5 	 1810.94 	 0.364448 	 38.9774 	 9.34077 	 21.3017 	 8.56851 	 198 	 45 	 84.6 	 66.3197 	  Tumour 
11 	 338.425 	 701.707 	 372.646 	 176.556 	 1244 	 55.8122 	 29.0939 	 0.853384 	 0.948894 	 142.912 	 938.797 	 121.795 	 0.129735 	 506.524 	 797.382 	 2010 	 0.82716 	 222.167 	 993.706 	 1037.66 	 781.811 	 0.212435 	 835.878 	 1058.54 	 469.799 	 0.452749 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 58.241 	 -10.8289 	 15.9527 	 0.133989 	 119.059 	 62 	 66 	 114.968 	 -33.1989 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 62 	 62 	 62 	 0 	  Other 
12 	 337.212 	 324.442 	 285.727 	 284.06 	 1799 	 65.3498 	 35.5955 	 0.838637 	 0.970858 	 169.823 	 1162.11 	 260.421 	 0.224093 	 806.037 	 1020.7 	 2486 	 0.935642 	 215.037 	 862.88 	 861.302 	 605.454 	 0 	 0 	 0 	 186.261 	 0.216255 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 38.0987 	 8.34477 	 7.85607 	 0.0794207 	 98.9172 	 71 	 74 	 121.521 	 -26.6455 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 71 	 71 	 71 	 0 	  DCIS 
13 	 356.341 	 164.666 	 391.778 	 233.452 	 2588 	 65.0732 	 52.7018 	 0.586589 	 0.947291 	 208.794 	 1337.46 	 352.607 	 0.263639 	 772.457 	 1196.05 	 3764 	 0.791255 	 314.392 	 988.97 	 1024.99 	 769.141 	 0.458955 	 1350.37 	 920.093 	 453.325 	 0.442273 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 81.4284 	 29.2036 	 30.4548 	 0.214098 	 142.247 	 90 	 282 	 92.1444 	 -56.0222 	 2 	 354.663 	 0.137041 	 29.8329 	 29.8329 	 29.8329 	 0 	 45 	 45 	 45 	 0 	  DCIS 
14 	 358.138 	 666.156 	 363.418 	 214.709 	 1673 	 60.5205 	 36.3272 	 0.799815 	 0.929444 	 177.338 	 1099.96 	 232.417 	 0.211296 	 700.694 	 958.546 	 2208 	 0.949677 	 192.853 	 638.572 	 659.518 	 403.67 	 0.244048 	 814.707 	 637.766 	 140.487 	 0.213014 	 45 	 45 	 184.089 	 -20.648 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 30.7637 	 -0.215348 	 18.7774 	 0.205034 	 91.5822 	 95 	 128 	 106.758 	 -41.4088 	 2 	 243.414 	 0.145495 	 9.99194 	 9.99194 	 9.99194 	 0 	 51 	 44 	 47.5 	 4.94975 	  DCIS 
15 	 361.622 	 472.845 	 289.126 	 361.386 	 1242 	 61.2386 	 26.94 	 0.898037 	 0.875882 	 166.024 	 1399.47 	 518.306 	 0.370359 	 733.239 	 1258.06 	 1618 	 0.819656 	 192.995 	 920.398 	 880.427 	 624.579 	 0.542683 	 887.831 	 877.308 	 67.2251 	 0.0763551 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 51.6501 	 19.6423 	 14.2594 	 0.126786 	 112.469 	 90 	 131 	 135.489 	 -12.6778 	 2 	 130.384 	 0.104979 	 10.7703 	 10.7703 	 10.7703 	 0 	 45 	 45 	 45 	 0 	  DCIS 
