rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 	
1 	 29.6795 	 737.818 	 105.575 	 212.361 	 4253 	 85.2685 	 65.305 	 0.64299 	 0.969455 	 261.238 	 1492.15 	 400.99 	 0.268733 	 400.869 	 1313.16 	 311.849 	 35.9279 	 56.0828 	 0.0972422 	 576.733 	 5431 	 0.859471 	 360.693 	 485.744 	 553.446 	 405.962 	 0 	 0 	 586.479 	 301.441 	 0.544663 	 488 	 1005 	 237.266 	 51.0534 	 4 	 1168.71 	 0.274797 	 28.691 	 14.8658 	 22.3587 	 6.1778 	 296 	 35 	 122 	 120.932 	 98 	 320 	 178.367 	 8.78983 	 2 	 294.799 	 0.0693156 	 33.496 	 33.496 	 33.496 	 0 	 55 	 43 	 49 	 8.48528 	  Tumour 
2 	 46.2582 	 294.637 	 46.0977 	 276.062 	 2157 	 79.7882 	 41.8674 	 0.851268 	 0.76381 	 234.409 	 1568.01 	 544.642 	 0.347346 	 514.256 	 1389.01 	 244.458 	 -152.513 	 73.699 	 0.144695 	 509.342 	 2467 	 0.779709 	 243.196 	 254.095 	 267.377 	 119.894 	 0.336364 	 192 	 282.697 	 149.895 	 0.560612 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
3 	 91.8826 	 298.002 	 46.0977 	 230.159 	 3424 	 82.2307 	 56.6813 	 0.72448 	 0.89916 	 257.48 	 1899.01 	 643.318 	 0.338764 	 613.184 	 1720.02 	 192.361 	 -176.567 	 52.1565 	 0.114067 	 457.245 	 3992 	 0.903986 	 268.066 	 189.757 	 183.662 	 36.1791 	 0.540084 	 180.703 	 185.89 	 41.2752 	 0.224734 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
4 	 124.772 	 645.857 	 103.484 	 125.718 	 6083 	 116.246 	 68.0786 	 0.810568 	 0.966322 	 328.492 	 955.471 	 176.027 	 0.184231 	 -83.9014 	 776.477 	 185.702 	 -167.414 	 30.296 	 0.0672369 	 450.586 	 7048 	 0.970665 	 344.35 	 200.336 	 225.459 	 77.9757 	 0 	 0 	 0 	 84.2451 	 0.373661 	 35 	 35 	 157.514 	 -28.6987 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 35 	 35 	 35 	 0 	 45 	 45 	 160.8 	 -8.77752 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Tumour 
5 	 134.504 	 748.836 	 105.575 	 110.023 	 6390 	 94.3014 	 88.1615 	 0.354936 	 0.950327 	 323.321 	 1542.49 	 376.541 	 0.244112 	 655.718 	 1363.5 	 294.706 	 -110.129 	 70.0441 	 0.12517 	 559.59 	 7883 	 0.879897 	 421.605 	 455.512 	 513.198 	 365.714 	 0.268293 	 566.152 	 503.389 	 300.284 	 0.585124 	 280 	 505 	 236.789 	 50.5763 	 5 	 1488.78 	 0.232986 	 24.6207 	 8.24621 	 15.3638 	 5.82399 	 100 	 45 	 56 	 24.5967 	 45 	 45 	 175.933 	 6.35581 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Tumour 
6 	 123.625 	 335.493 	 87.6584 	 195.003 	 2361 	 69.4034 	 46.418 	 0.743429 	 0.868334 	 222.108 	 1249.8 	 322.305 	 0.257885 	 312.05 	 1070.8 	 185.276 	 -214.813 	 38.6411 	 0.0858387 	 450.16 	 3009 	 0.921593 	 232.995 	 150.501 	 145.613 	 -1.87062 	 0.269608 	 156.855 	 144.793 	 29.3451 	 0.201528 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
7 	 137.298 	 835.502 	 145.097 	 88.1192 	 6047 	 107.758 	 73.8188 	 0.7285 	 0.941021 	 329.664 	 1588.28 	 454.643 	 0.286249 	 811.004 	 1409.28 	 328.81 	 28.3528 	 62.7447 	 0.105685 	 593.694 	 8007 	 0.862266 	 444.475 	 762.065 	 954.531 	 807.048 	 0.502604 	 812.047 	 992.619 	 440.963 	 0.461968 	 312 	 1819 	 202.032 	 15.819 	 6 	 919.411 	 0.152044 	 64.5368 	 9.77818 	 37.6255 	 18.1254 	 94 	 38 	 52 	 20.9189 	 176 	 801 	 176.875 	 7.29748 	 4 	 699.318 	 0.115647 	 55.602 	 11.4564 	 33.3642 	 15.7954 	 48 	 38 	 44 	 4.32049 	  Tumour 
8 	 142.028 	 112.796 	 205.767 	 284.707 	 3266 	 72.9974 	 58.0661 	 0.606014 	 0.960306 	 230.652 	 1512.36 	 430.022 	 0.284338 	 357.762 	 1333.37 	 217.065 	 -158.633 	 29.295 	 0.0607845 	 481.949 	 3920 	 0.970537 	 246.167 	 219.588 	 217.904 	 70.4203 	 0 	 0 	 0 	 41.1138 	 0.188679 	 37 	 40 	 201.459 	 15.2464 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 37 	 37 	 37 	 0 	 45 	 45 	 189.822 	 20.2447 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  DCIS 
9 	 142.083 	 41.7606 	 270.601 	 343.169 	 2348 	 60.9672 	 50.752 	 0.554105 	 0.941837 	 196.853 	 1575.26 	 458.726 	 0.291207 	 578.146 	 1396.27 	 175.447 	 -144.922 	 27.4813 	 0.0624104 	 440.331 	 2807 	 0.948311 	 212.368 	 206.031 	 225.884 	 78.4008 	 0.247368 	 187.532 	 230.961 	 50.513 	 0.223623 	 45 	 45 	 178.156 	 -8.05746 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 45 	 45 	 178.556 	 8.97804 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  DCIS 
10 	 150.6 	 523.203 	 251.016 	 125.718 	 1848 	 69.1684 	 34.5875 	 0.865998 	 0.927711 	 185.095 	 1290.81 	 363.236 	 0.281402 	 566.957 	 1111.81 	 178.031 	 -74.0356 	 27.2377 	 0.0614965 	 442.915 	 2378 	 0.948166 	 199.296 	 169.505 	 174.196 	 26.7122 	 0 	 0 	 0 	 44.6776 	 0.25648 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
