rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 52.3417 	 943.327 	 269.017 	 266.317 	 8259 	 139.709 	 77.1714 	 0.833599 	 0.968457 	 378.818 	 2137 	 811.493 	 0.379735 	 693.133 	 2038.38 	 247 	 1572 	 489.045 	 149.963 	 3 	 1166.61 	 0.141253 	 79.1471 	 17.023 	 56.696 	 30.8194 	 98 	 73 	 82.3333 	 13.6504 	 9949 	 0.949332 	 447.823 	 385.627 	 358.627 	 262.735 	 0 	 0 	 0 	 172.119 	 0.479938 	 334.505 	 55.7841 	 74.2656 	 0.18993 	 391.015 	 140 	 1176 	 170.936 	 31.483 	 3 	 352.743 	 0.0427102 	 86.9407 	 21.8042 	 58.8808 	 29.9555 	 62 	 28 	 46.6667 	 17.2434 	  Tumour 
2 	 49.1686 	 1714.16 	 72.3464 	 372.462 	 8066 	 144.434 	 75.7111 	 0.851601 	 0.910589 	 399.948 	 2383.96 	 885.382 	 0.371391 	 457.131 	 2285.34 	 143 	 995 	 423.818 	 84.7367 	 2 	 1417.78 	 0.175772 	 93.1268 	 93.1268 	 93.1268 	 0 	 80 	 63 	 71.5 	 12.0208 	 6678 	 0.824954 	 438.894 	 321.558 	 352.022 	 256.13 	 0.461916 	 458.266 	 311.917 	 181.755 	 0.516316 	 376.849 	 64.5447 	 121.124 	 0.279501 	 433.359 	 127 	 347 	 158.15 	 18.6969 	 2 	 2444.88 	 0.303109 	 28.6948 	 28.6948 	 28.6948 	 0 	 66 	 61 	 63.5 	 3.53553 	  Tumour 
3 	 54.9393 	 674.057 	 269.017 	 245.978 	 4104 	 93.0716 	 58.1183 	 0.781067 	 0.928717 	 271.279 	 1813.51 	 641.439 	 0.3537 	 268.382 	 1714.89 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 7996 	 0.893408 	 426.711 	 493.75 	 479.207 	 383.315 	 0.103448 	 766.286 	 411.042 	 345.372 	 0.720715 	 305.559 	 53.3508 	 85.8398 	 0.237082 	 362.068 	 45 	 45 	 131.8 	 -7.65271 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Tumour 
4 	 48.7397 	 2560.17 	 36.1248 	 269.119 	 1529 	 56.5682 	 35.2727 	 0.781789 	 0.914474 	 160.61 	 1999.53 	 776.019 	 0.3881 	 377.082 	 1900.91 	 54 	 55 	 283.556 	 -55.5259 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 54 	 54 	 54 	 0 	 2326 	 0.93866 	 205.941 	 157.36 	 168.98 	 73.0875 	 0.295918 	 248.052 	 158.181 	 83.1739 	 0.492213 	 81.4546 	 -217.311 	 19.8087 	 0.143579 	 137.964 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
5 	 68.4052 	 567.476 	 376.34 	 206.061 	 5839 	 95.3137 	 78.9468 	 0.560308 	 0.971709 	 293.823 	 2685.73 	 710.228 	 0.264445 	 978.853 	 2587.1 	 259 	 3035 	 440.008 	 100.926 	 5 	 388.408 	 0.0665195 	 68.3146 	 26.8884 	 46.9808 	 15.0529 	 77 	 19 	 51.8 	 30.02 	 9396 	 0.921538 	 437.439 	 684.01 	 857.443 	 761.551 	 0.46247 	 1095.59 	 756.867 	 419.137 	 0.488822 	 416.543 	 59.5639 	 95.7584 	 0.202426 	 473.053 	 112 	 488 	 173.491 	 34.0384 	 2 	 291.014 	 0.0498397 	 49.4991 	 49.4991 	 49.4991 	 0 	 67 	 45 	 56 	 15.5563 	  Tumour 
6 	 46.4508 	 2524.36 	 36.1248 	 263.23 	 1291 	 57.2077 	 30.1575 	 0.849767 	 0.914954 	 153.983 	 1440.67 	 412.04 	 0.286006 	 -206.542 	 1342.05 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 2188 	 0.913189 	 203.598 	 151.942 	 162.672 	 66.7798 	 0.302083 	 214.793 	 161.65 	 107.305 	 0.659639 	 73.3938 	 -238.615 	 20.34 	 0.156578 	 129.903 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
7 	 85.8034 	 519.172 	 425.361 	 192.855 	 3962 	 141.386 	 49.4956 	 0.936722 	 0.664654 	 365.907 	 3083.98 	 965.536 	 0.313081 	 1195.78 	 2985.36 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 5734 	 0.735317 	 464.451 	 646.33 	 694.647 	 598.755 	 0.348131 	 1177.83 	 580.474 	 486.265 	 0.700017 	 385.171 	 77.1231 	 109.1 	 0.24701 	 441.681 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
8 	 89.1194 	 1495.38 	 553.239 	 219.155 	 6976 	 117.194 	 78.2107 	 0.744735 	 0.92729 	 359.161 	 2551.62 	 1030.1 	 0.403705 	 1168.24 	 2453 	 62 	 62 	 398.694 	 59.6121 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 62 	 62 	 62 	 0 	 9114 	 0.885284 	 468.794 	 473.08 	 501.7 	 405.808 	 0.241935 	 470.162 	 503.598 	 233.159 	 0.464738 	 275.997 	 -28.1364 	 52.2176 	 0.157042 	 332.506 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
9 	 74.2064 	 135.869 	 2424.13 	 383.188 	 3198 	 76.6141 	 53.7189 	 0.713002 	 0.977085 	 220.752 	 2804.07 	 1043.81 	 0.372249 	 1160.04 	 2705.45 	 139 	 461 	 365.849 	 26.7674 	 2 	 177.107 	 0.0553807 	 39.9433 	 39.9433 	 39.9433 	 0 	 71 	 68 	 69.5 	 2.12132 	 4757 	 0.94988 	 291.397 	 118.525 	 106.332 	 10.44 	 0 	 0 	 0 	 40.0086 	 0.37626 	 130.687 	 -124.988 	 40.0909 	 0.214165 	 187.197 	 108 	 236 	 147.37 	 7.91766 	 2 	 238.312 	 0.074519 	 21.406 	 21.406 	 21.406 	 0 	 58 	 50 	 54 	 5.65685 	  Other 
10 	 150.718 	 1620.87 	 685.19 	 253.221 	 12056 	 230.695 	 83.889 	 0.931541 	 0.703425 	 614.558 	 2472.81 	 882.777 	 0.356994 	 1020.07 	 2374.19 	 201 	 1625 	 426.726 	 87.6449 	 4 	 3093.57 	 0.2566 	 89.5608 	 9.435 	 48.7512 	 37.0111 	 71 	 35 	 50.25 	 16.2352 	 14202 	 0.72095 	 745.362 	 545.116 	 483.527 	 387.635 	 0.498559 	 642.838 	 424.773 	 218.282 	 0.451437 	 377.489 	 74.4086 	 124.164 	 0.286094 	 433.998 	 254 	 2284 	 165.299 	 25.8465 	 5 	 3307 	 0.274303 	 103.368 	 13.5211 	 49.8183 	 32.7093 	 74 	 40 	 50.8 	 13.4425 	  Tumour 
