rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 66.2613 	 606.663 	 148.762 	 93.6216 	 5273 	 131.83 	 53.8158 	 0.912883 	 0.949919 	 336.635 	 1380.72 	 436.979 	 0.316486 	 609.105 	 1203.34 	 7421 	 0.846373 	 443.304 	 786.184 	 952.99 	 829.287 	 0 	 0 	 947.123 	 464.537 	 0.487453 	 107 	 213 	 369.168 	 127.176 	 2 	 301.01 	 0.0570852 	 20.0503 	 20.0503 	 20.0503 	 0 	 69 	 38 	 53.5 	 21.9203 	 319.069 	 -120.154 	 105.518 	 0.275439 	 383.092 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
2 	 57.2649 	 1009.16 	 339.676 	 173.566 	 2291 	 65.3372 	 46.9221 	 0.695884 	 0.910934 	 210.711 	 1256.51 	 325.997 	 0.259446 	 202.988 	 1079.13 	 4825 	 0.764296 	 366.877 	 636.371 	 657.601 	 533.898 	 0 	 0 	 0 	 212.654 	 0.323379 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 185.544 	 -193.446 	 47.4457 	 0.190111 	 249.568 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
3 	 58.6914 	 1844.22 	 385.966 	 88.0568 	 1967 	 70.7325 	 36.0541 	 0.860338 	 0.946583 	 192.208 	 1026.41 	 217.39 	 0.211796 	 -62.1043 	 849.027 	 5608 	 0.487356 	 547.328 	 832.487 	 922.29 	 798.587 	 0.214286 	 1212.07 	 882.189 	 219.298 	 0.237775 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 368.909 	 -24.2687 	 46.0012 	 0.106255 	 432.932 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
4 	 87.2496 	 1389.4 	 89.4539 	 381.182 	 7739 	 115.97 	 85.3238 	 0.677267 	 0.98298 	 342.049 	 1894.17 	 481.045 	 0.253961 	 846.471 	 1716.79 	 9370 	 0.953204 	 400.274 	 996.664 	 1307.52 	 1183.82 	 0.458084 	 1113.75 	 1369.69 	 462.847 	 0.353989 	 54 	 54 	 351.074 	 109.082 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 54 	 54 	 54 	 0 	 414.748 	 -95.1411 	 93.5294 	 0.195353 	 478.771 	 316 	 1393 	 707.272 	 418.913 	 4 	 2467.92 	 0.318894 	 66.712 	 14.3645 	 36.8453 	 22.3893 	 142 	 33 	 79 	 45.7165 	  Tumour 
5 	 81.7399 	 1759.42 	 1152.11 	 88.0568 	 6402 	 95.4654 	 86.7695 	 0.416991 	 0.97532 	 310.978 	 1760.18 	 506.3 	 0.287641 	 841.69 	 1582.8 	 10215 	 0.928552 	 430.617 	 774.182 	 1221.3 	 1097.59 	 0.464481 	 1268.54 	 1201.57 	 268.524 	 0.219868 	 58 	 60 	 348.603 	 106.611 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 58 	 58 	 58 	 0 	 373.566 	 -82.9472 	 115.358 	 0.263621 	 437.59 	 286 	 352 	 657.014 	 368.655 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 286 	 286 	 286 	 0 	  Tumour 
6 	 93.4874 	 1527.62 	 921.396 	 317.824 	 6775 	 105.035 	 83.9192 	 0.601382 	 0.962905 	 336.233 	 1514.97 	 367.693 	 0.242706 	 500.474 	 1337.59 	 8377 	 0.935873 	 388.215 	 707.022 	 1109.65 	 985.948 	 0.532051 	 1137.16 	 1087.19 	 301.721 	 0.271906 	 96 	 337 	 344.177 	 102.185 	 2 	 1979.17 	 0.292128 	 36.5922 	 36.5922 	 36.5922 	 0 	 54 	 42 	 48 	 8.48528 	 344.46 	 -111.892 	 88.677 	 0.217088 	 408.484 	 285 	 497 	 560.677 	 272.318 	 2 	 1411.41 	 0.208326 	 21.9623 	 21.9623 	 21.9623 	 0 	 235 	 50 	 142.5 	 130.815 	  Tumour 
7 	 92.071 	 839.344 	 233.452 	 167.943 	 6354 	 101.146 	 80.4019 	 0.60673 	 0.979346 	 310.049 	 1780.46 	 511.415 	 0.287238 	 1044.95 	 1603.07 	 12977 	 0.972133 	 446.642 	 1046.43 	 1119.74 	 996.038 	 0.175978 	 1520.32 	 1079.43 	 405.183 	 0.361855 	 131 	 1130 	 409.099 	 167.107 	 3 	 829.075 	 0.130481 	 59.1301 	 35.024 	 43.3256 	 12.2474 	 56 	 36 	 43.6667 	 10.7858 	 413.558 	 -72.2455 	 94.9449 	 0.198803 	 477.582 	 332 	 1480 	 655.777 	 367.418 	 6 	 1607.08 	 0.252924 	 58.0421 	 10.6261 	 28.915 	 14.5697 	 76 	 33 	 55.3333 	 17.2124 	  Tumour 
8 	 96.0412 	 1185.31 	 578.778 	 180.269 	 5264 	 106.386 	 63.5002 	 0.802328 	 0.969786 	 296.635 	 1786.18 	 668.274 	 0.374137 	 971.353 	 1608.79 	 8593 	 0.809744 	 563.085 	 565.869 	 779.267 	 655.565 	 0.185804 	 1109.51 	 744.053 	 393.584 	 0.505069 	 108 	 331 	 283.231 	 41.2393 	 2 	 250.46 	 0.0475798 	 30.7172 	 30.7172 	 30.7172 	 0 	 62 	 46 	 54 	 11.3137 	 187.844 	 -224.497 	 58.8189 	 0.233531 	 251.867 	 79 	 256 	 382.949 	 94.5902 	 2 	 539.505 	 0.102489 	 28.1937 	 28.1937 	 28.1937 	 0 	 41 	 38 	 39.5 	 2.12132 	  Tumour 
9 	 96.729 	 1671.4 	 1064.45 	 177.124 	 6591 	 101.993 	 83.3927 	 0.575738 	 0.947527 	 334.593 	 1770.38 	 426.665 	 0.241002 	 782.015 	 1593 	 8002 	 0.910663 	 384.517 	 904.566 	 1288.6 	 1164.9 	 0.410095 	 1405.62 	 1246.72 	 341.615 	 0.265105 	 47 	 47 	 282.213 	 40.2205 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 47 	 47 	 47 	 0 	 628.336 	 143.308 	 94.1389 	 0.135968 	 692.36 	 292 	 2070 	 544.764 	 256.405 	 6 	 2913.58 	 0.442055 	 80.1978 	 9.62338 	 40.0639 	 24.4066 	 107 	 30 	 48.6667 	 29.303 	  Tumour 
10 	 118.841 	 746.402 	 148.762 	 72.9452 	 5673 	 93.9306 	 79.1564 	 0.538366 	 0.958277 	 301.463 	 1737.01 	 565.896 	 0.325787 	 920.103 	 1559.63 	 7608 	 0.90496 	 369.647 	 932.468 	 1128.94 	 1005.24 	 0.383871 	 1416.92 	 1047.46 	 354.177 	 0.313726 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 406.868 	 -70.7694 	 72.2133 	 0.153355 	 470.891 	 86 	 339 	 585.465 	 297.106 	 2 	 640.339 	 0.112875 	 42.3879 	 42.3879 	 42.3879 	 0 	 52 	 34 	 43 	 12.7279 	  Tumour 
