rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 46.167 	 172.674 	 76.844 	 548.18 	 3971 	 76.2072 	 67.7985 	 0.456623 	 0.952278 	 251.137 	 707.865 	 213.263 	 0.301277 	 237.376 	 699.271 	 7497 	 0.855627 	 410.576 	 1081.38 	 1504.16 	 1494.86 	 0.306818 	 1473.74 	 1487.1 	 353.772 	 0.235195 	 56 	 56 	 392.625 	 246.857 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 56 	 56 	 56 	 0 	 246.131 	 3.66105 	 25.6694 	 0.101784 	 252.195 	 62 	 115 	 374.387 	 261.943 	 2 	 1488.31 	 0.374795 	 12.4147 	 12.4147 	 12.4147 	 0 	 32 	 30 	 31 	 1.41421 	  Tumour 
2 	 74.6932 	 353.322 	 72.5328 	 400.465 	 6362 	 105.682 	 77.0543 	 0.68439 	 0.973825 	 314.978 	 494.847 	 113.266 	 0.22889 	 62.1678 	 486.254 	 9954 	 0.880963 	 473.487 	 867.955 	 1787.41 	 1778.11 	 0.401496 	 1874.49 	 1719.35 	 483.168 	 0.270318 	 230 	 613 	 270.574 	 124.805 	 4 	 2246.47 	 0.353108 	 27.3685 	 9.14461 	 19.7557 	 6.58199 	 70 	 49 	 57.5 	 8.88819 	 148.88 	 -86.8885 	 33.5035 	 0.21623 	 154.944 	 391 	 937 	 578.647 	 466.203 	 3 	 2324.07 	 0.365304 	 34.9927 	 16.7381 	 27.4721 	 8.53474 	 217 	 41 	 130.333 	 88.0303 	  Tumour 
3 	 78.6682 	 706.053 	 534.021 	 329.838 	 4663 	 82.1732 	 73.3455 	 0.450907 	 0.976136 	 265.806 	 459.229 	 124.675 	 0.271488 	 -26.9491 	 450.636 	 5374 	 0.941816 	 300.333 	 811.013 	 1307.28 	 1297.98 	 0.512295 	 1665.15 	 1163.31 	 455.915 	 0.348751 	 39 	 40 	 236.385 	 90.6161 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 39 	 39 	 39 	 0 	 125.712 	 -94.2512 	 22.3418 	 0.169544 	 131.775 	 140 	 463 	 289.086 	 176.641 	 4 	 909.571 	 0.195061 	 33.8968 	 8.43689 	 21.9022 	 9.83177 	 50 	 23 	 35 	 11.7473 	  Tumour 
4 	 85.9568 	 983.791 	 811.986 	 491.172 	 4651 	 92.7596 	 64.1691 	 0.72211 	 0.959365 	 280.149 	 372.098 	 76.6916 	 0.206106 	 -118.197 	 363.504 	 5707 	 0.93542 	 320.735 	 410.964 	 533.804 	 524.506 	 0 	 0 	 0 	 372.726 	 0.698244 	 104 	 263 	 217.577 	 71.8085 	 2 	 1685.28 	 0.362348 	 25.9065 	 25.9065 	 25.9065 	 0 	 59 	 45 	 52 	 9.89949 	 94.4272 	 -130.635 	 12.7709 	 0.127085 	 100.491 	 156 	 293 	 326.712 	 214.267 	 2 	 1067.14 	 0.229444 	 15.3195 	 15.3195 	 15.3195 	 0 	 134 	 22 	 78 	 79.196 	  Tumour 
5 	 94.5323 	 492.53 	 323.73 	 314.407 	 5955 	 109.784 	 70.1247 	 0.769415 	 0.96625 	 317.563 	 467.79 	 119.467 	 0.255386 	 42.8259 	 459.197 	 10555 	 0.868724 	 510.174 	 704.586 	 1449.11 	 1439.81 	 0.333333 	 1558.7 	 1381.26 	 470.809 	 0.324895 	 187 	 1229 	 215.877 	 70.1085 	 5 	 1200.81 	 0.201648 	 66.3755 	 9.80227 	 36.49 	 17.8879 	 64 	 24 	 37.4 	 16.3646 	 113.416 	 -106.798 	 20.8389 	 0.174413 	 119.48 	 495 	 1351 	 400.568 	 288.123 	 6 	 1208.14 	 0.202879 	 69.2237 	 9.82138 	 31.6529 	 17.154 	 207 	 36 	 82.5 	 63.2859 	  Tumour 
6 	 83.0118 	 1397.6 	 1225.56 	 692.261 	 2031 	 62.793 	 42.2908 	 0.739192 	 0.941149 	 185.238 	 505.343 	 205.316 	 0.406291 	 17.8748 	 496.749 	 2381 	 0.916122 	 203.966 	 669.227 	 668.835 	 659.537 	 0 	 0 	 0 	 337.301 	 0.504311 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 142.784 	 -74.6089 	 32.9081 	 0.221085 	 148.848 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
7 	 92.3658 	 1229.6 	 1058 	 698.256 	 2392 	 80.887 	 40.6081 	 0.864848 	 0.884288 	 215.966 	 438.366 	 139.282 	 0.317731 	 31.3076 	 429.773 	 7857 	 0.727567 	 611.068 	 950.182 	 1201.83 	 1192.53 	 0.0862745 	 1818.41 	 1155.22 	 666.039 	 0.554188 	 66 	 68 	 295.591 	 149.822 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 66 	 66 	 66 	 0 	 146.905 	 -68.6434 	 27.8556 	 0.182101 	 152.968 	 157 	 289 	 283.255 	 170.81 	 2 	 47.5193 	 0.0198659 	 14.8049 	 14.8049 	 14.8049 	 0 	 85 	 72 	 78.5 	 9.19239 	  Tumour 
8 	 110.022 	 615.512 	 447.599 	 281.514 	 5592 	 102.967 	 70.3856 	 0.729882 	 0.96132 	 309.605 	 483.51 	 136.527 	 0.282366 	 30.1521 	 474.916 	 10307 	 0.913903 	 474.014 	 721.984 	 1439.18 	 1429.88 	 0.454082 	 1597.18 	 1359.27 	 450.604 	 0.313099 	 81 	 504 	 290.963 	 145.194 	 2 	 502.359 	 0.0898353 	 50.7607 	 50.7607 	 50.7607 	 0 	 52 	 29 	 40.5 	 16.2635 	 118.432 	 -111.799 	 18.2221 	 0.146367 	 124.496 	 404 	 940 	 412.366 	 299.922 	 5 	 2272.79 	 0.406436 	 47.3763 	 9.72307 	 25.6473 	 11.7656 	 218 	 22 	 80.8 	 79.8417 	  Tumour 
9 	 110.654 	 254.937 	 104.637 	 443.549 	 3643 	 94.1229 	 51.0379 	 0.840218 	 0.913033 	 262.551 	 744.74 	 166.859 	 0.22405 	 247.341 	 736.147 	 4622 	 0.911997 	 315.321 	 1149.78 	 1604.29 	 1594.99 	 0.682657 	 1667.23 	 1549.32 	 340.781 	 0.212418 	 121 	 1009 	 401.612 	 255.843 	 4 	 775.266 	 0.21281 	 62.9042 	 11.947 	 39.0082 	 17.8795 	 67 	 5 	 30.25 	 29.8147 	 310.508 	 59.1279 	 63.5866 	 0.20086 	 316.572 	 239 	 680 	 490.004 	 377.56 	 3 	 1217.58 	 0.334225 	 34.2831 	 18.0552 	 24.9262 	 7.50844 	 166 	 31 	 79.6667 	 74.9689 	  Tumour 
10 	 126.65 	 1159.97 	 990.318 	 620.014 	 5238 	 93.389 	 72.2326 	 0.633845 	 0.974693 	 284.836 	 604.323 	 174.019 	 0.287956 	 182.533 	 595.73 	 6603 	 0.919126 	 360.718 	 1229.11 	 1962.09 	 1952.8 	 0.454849 	 2133.05 	 1872.89 	 482.879 	 0.246104 	 193 	 790 	 290.653 	 144.884 	 2 	 949.182 	 0.181211 	 48.099 	 48.099 	 48.099 	 0 	 109 	 84 	 96.5 	 17.6777 	 206.404 	 -39.6178 	 48.7133 	 0.229274 	 212.467 	 336 	 1201 	 352.979 	 240.535 	 5 	 1570.93 	 0.29991 	 44.4847 	 10.8849 	 26.9766 	 10.0809 	 104 	 41 	 67.2 	 29.5076 	  Tumour 
