rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 93.2928 	 478.361 	 63.6003 	 191.943 	 5949 	 161.295 	 58.2327 	 0.932553 	 0.728865 	 406.032 	 1836.06 	 573.681 	 0.312452 	 687.094 	 1836.06 	 8934 	 0.711816 	 568.926 	 748.653 	 919.301 	 919.301 	 0.199153 	 1037.3 	 897.294 	 292.409 	 0.318077 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 348.503 	 21.3746 	 61.3393 	 0.176008 	 348.503 	 358 	 1001 	 392.612 	 392.612 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 0 	 200 	 158 	 179 	 29.6985 	  Tumour 
2 	 70.1771 	 90.5405 	 200.871 	 159.656 	 8041 	 131.764 	 79.2953 	 0.798647 	 0.955669 	 378.635 	 1856.65 	 459.423 	 0.247448 	 641.884 	 1856.65 	 9004 	 0.904561 	 423.605 	 596.434 	 696.706 	 696.706 	 0 	 0 	 0 	 182.703 	 0.262238 	 195 	 948 	 249.21 	 249.21 	 4 	 2010.69 	 0.250055 	 48.5119 	 9.20445 	 28.7191 	 13.2637 	 57 	 38 	 48.75 	 8.26136 	 368.947 	 17.8496 	 52.2656 	 0.141662 	 368.947 	 643 	 1528 	 364.846 	 364.846 	 5 	 1670.38 	 0.207733 	 42.0476 	 10.0778 	 25.4166 	 9.57432 	 204 	 34 	 107.167 	 78.0908 	  Tumour 
3 	 111.263 	 539.495 	 63.6003 	 176.556 	 5857 	 112.838 	 68.4931 	 0.794701 	 0.906937 	 337.605 	 1816.48 	 589.625 	 0.324597 	 754.195 	 1816.48 	 6808 	 0.903277 	 384.132 	 849.85 	 1003.58 	 1003.58 	 0.52795 	 997.594 	 995.894 	 366.443 	 0.365135 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 393.955 	 41.4904 	 43.0356 	 0.10924 	 393.955 	 73 	 131 	 314.082 	 314.082 	 2 	 2614.54 	 0.446396 	 14.1426 	 14.1426 	 14.1426 	 0 	 38 	 35 	 36.5 	 2.12132 	  Tumour 
4 	 140.594 	 639.231 	 168.003 	 185.235 	 7063 	 154.45 	 60.1159 	 0.921142 	 0.878592 	 397.22 	 2038.25 	 560.199 	 0.274843 	 873.259 	 2038.25 	 10482 	 0.811489 	 585.428 	 655.846 	 852.321 	 852.321 	 0.326733 	 897.958 	 837.637 	 319.518 	 0.37488 	 98 	 559 	 183.031 	 183.031 	 3 	 1685.82 	 0.238684 	 70.9587 	 9.48683 	 47.7248 	 29.8468 	 45 	 8 	 32.6667 	 21.362 	 336.153 	 -33.5313 	 46.668 	 0.13883 	 336.153 	 701 	 3734 	 380.412 	 380.412 	 12 	 1141.5 	 0.161616 	 142.506 	 6.56694 	 59.9771 	 36.2016 	 137 	 18 	 58.4167 	 41.042 	  Tumour 
5 	 141.263 	 234.18 	 86.4523 	 125.24 	 2108 	 85.6794 	 33.8752 	 0.918521 	 0.839172 	 229.279 	 1533.21 	 437.58 	 0.285401 	 514.483 	 1533.21 	 4717 	 0.887989 	 324.978 	 761.61 	 801.054 	 801.054 	 0.107527 	 451.5 	 819.591 	 385.494 	 0.481234 	 52 	 55 	 244.673 	 244.673 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 52 	 52 	 52 	 0 	 262.569 	 -66.1975 	 31.0486 	 0.118249 	 262.569 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Fib 
6 	 199.973 	 976.66 	 510.343 	 232.777 	 7449 	 124.422 	 77.1059 	 0.78483 	 0.954755 	 356.534 	 1551.58 	 382.975 	 0.24683 	 587.794 	 1551.58 	 12954 	 0.928336 	 488.96 	 550.675 	 780.242 	 780.242 	 0.336406 	 938.678 	 749.36 	 197.209 	 0.252754 	 105 	 325 	 191.933 	 191.933 	 2 	 1585.32 	 0.212824 	 31.0773 	 31.0773 	 31.0773 	 0 	 53 	 52 	 52.5 	 0.707107 	 471.011 	 120.258 	 62.5942 	 0.132893 	 471.011 	 331 	 1540 	 411.202 	 411.202 	 5 	 942.827 	 0.126571 	 61.8922 	 13.8116 	 32.595 	 14.7763 	 110 	 23 	 66.2 	 39.7266 	  Tumour 
7 	 183.531 	 309.126 	 86.4523 	 149.375 	 3393 	 108.553 	 40.6951 	 0.927071 	 0.919014 	 279.279 	 1483.03 	 421.303 	 0.284083 	 524.274 	 1483.03 	 4088 	 0.921967 	 296.108 	 387.397 	 455.047 	 455.047 	 0.310078 	 569.712 	 434.353 	 153.846 	 0.338089 	 50 	 53 	 200.72 	 200.72 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 50 	 50 	 50 	 0 	 176.383 	 -194.341 	 23.9976 	 0.136054 	 176.383 	 35 	 36 	 227.114 	 227.114 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 35 	 35 	 35 	 0 	  Fib 
8 	 206.283 	 693.245 	 242.887 	 186.507 	 6645 	 112.44 	 76.1893 	 0.735429 	 0.964301 	 332.635 	 2002.77 	 570.856 	 0.285033 	 1152.67 	 2002.77 	 7799 	 0.878761 	 410.718 	 493.137 	 713.158 	 713.158 	 0.449857 	 823 	 676.002 	 225.271 	 0.315879 	 54 	 56 	 169.648 	 169.648 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 54 	 54 	 54 	 0 	 255.881 	 -140.676 	 56.4015 	 0.220421 	 255.881 	 242 	 1875 	 291.545 	 291.545 	 4 	 1641.47 	 0.247024 	 90.951 	 23.0594 	 50.5302 	 24.8976 	 124 	 28 	 60.5 	 43.0852 	  Tumour 
9 	 219.857 	 914.116 	 454.12 	 187.216 	 2560 	 81.6562 	 42.3416 	 0.855057 	 0.883063 	 235.279 	 1124.45 	 207.323 	 0.184378 	 371.251 	 1124.45 	 3574 	 0.834072 	 313.22 	 873.57 	 926.82 	 926.82 	 0.650376 	 901.324 	 929.566 	 218.112 	 0.235334 	 31 	 32 	 173.387 	 173.387 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 31 	 31 	 31 	 0 	 521.052 	 43.4964 	 42.0406 	 0.0806841 	 521.052 	 177 	 550 	 314.887 	 314.887 	 4 	 438.82 	 0.171414 	 35.536 	 12.8139 	 20.5529 	 8.39178 	 59 	 21 	 44.25 	 16.8795 	  Tumour 
10 	 245.356 	 614.031 	 203.961 	 98.4124 	 8460 	 117.533 	 98.6401 	 0.543738 	 0.83096 	 433.245 	 1681.76 	 523.945 	 0.311546 	 909.848 	 1681.76 	 12487 	 0.890212 	 506.014 	 515.481 	 717.332 	 717.332 	 0.21659 	 922.638 	 684.743 	 264.781 	 0.369119 	 211 	 1028 	 161.905 	 161.905 	 4 	 2297.6 	 0.271584 	 40.7503 	 14.6187 	 29.0683 	 9.86671 	 80 	 41 	 52.75 	 18.2643 	 251.861 	 -82.3234 	 41.5512 	 0.164977 	 251.861 	 214 	 2607 	 265.252 	 265.252 	 6 	 1756.36 	 0.207608 	 76.7362 	 11.0357 	 42.1632 	 18.5972 	 71 	 12 	 35.6667 	 21.0871 	  Tumour 
