rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 	
1 	 44.9523 	 319.099 	 80.8084 	 687.236 	 2453 	 72.037 	 44.3568 	 0.787941 	 0.940567 	 208.551 	 867.397 	 258.739 	 0.298293 	 -107.039 	 801.563 	 796.883 	 270.116 	 107.106 	 0.123544 	 866.949 	 5662 	 0.948727 	 312.468 	 854.099 	 898.024 	 801.521 	 0.279863 	 1110.94 	 860.425 	 491.03 	 0.546789 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
2 	 56.9418 	 450.147 	 126.491 	 684.393 	 6064 	 119.351 	 66.1631 	 0.832278 	 0.989556 	 311.681 	 1554.04 	 448.907 	 0.288864 	 441.159 	 1488.21 	 1434.36 	 638.7 	 413.097 	 0.274587 	 1504.43 	 11210 	 0.969472 	 445.605 	 1856.89 	 1885.84 	 1789.34 	 0.10687 	 1238.55 	 1920.37 	 562.813 	 0.298441 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
3 	 123.595 	 302.069 	 80.8084 	 609.007 	 4395 	 103.92 	 55.6448 	 0.844562 	 0.941517 	 289.563 	 1530.16 	 539.218 	 0.352393 	 317.747 	 1464.33 	 827.71 	 83.3238 	 207 	 0.230569 	 897.776 	 7929 	 0.858954 	 423.304 	 756.568 	 752.475 	 655.973 	 0.765193 	 804.736 	 715.501 	 343.042 	 0.455885 	 275 	 679 	 109.011 	 47.75 	 3 	 650.076 	 0.147913 	 37.6045 	 16.2711 	 26.5276 	 9.56174 	 150 	 45 	 91.6667 	 53.4634 	 45 	 45 	 119.667 	 33.6396 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Tumour 
4 	 161.174 	 378.298 	 130.142 	 572.47 	 8075 	 133.116 	 81.835 	 0.788709 	 0.929871 	 391.647 	 2305.92 	 906.373 	 0.393063 	 1418.86 	 2240.09 	 909.153 	 286.604 	 241.154 	 0.246272 	 979.219 	 14173 	 0.915214 	 540.617 	 620.709 	 633.746 	 537.243 	 0.346639 	 815.248 	 593.055 	 472.991 	 0.746341 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
5 	 169.375 	 237.852 	 148.111 	 571.638 	 5685 	 93.8122 	 81.6973 	 0.491531 	 0.878942 	 325.907 	 1207.26 	 485.435 	 0.402095 	 797.578 	 1141.43 	 496.951 	 110.25 	 137.217 	 0.241998 	 567.017 	 13103 	 0.896851 	 525.706 	 432.248 	 316.261 	 219.758 	 0.247899 	 532.907 	 286.45 	 164.006 	 0.518578 	 395 	 842 	 96.8684 	 35.6075 	 5 	 947.39 	 0.166647 	 29.708 	 11.128 	 19.3429 	 6.3231 	 138 	 45 	 79 	 37.0675 	 129 	 176 	 111.977 	 25.9497 	 2 	 2918.77 	 0.513417 	 12.5593 	 12.5593 	 12.5593 	 0 	 84 	 45 	 64.5 	 27.5772 	  Tumour 
6 	 405.212 	 678.27 	 508.41 	 472.451 	 7564 	 113.303 	 89.046 	 0.618336 	 0.950849 	 350.492 	 1331.71 	 457.802 	 0.343771 	 819.528 	 1265.87 	 254.716 	 -33.8586 	 74.7317 	 0.230098 	 324.781 	 13912 	 0.944083 	 512.693 	 274.774 	 446.728 	 350.226 	 0.414737 	 514.127 	 428.66 	 350.51 	 0.784615 	 445 	 1921 	 99.2629 	 38.0021 	 4 	 3407.72 	 0.450519 	 64.0042 	 23.4604 	 41.603 	 15.1539 	 222 	 44 	 111.25 	 77.1292 	 170 	 1168 	 109.482 	 23.4553 	 3 	 1379.51 	 0.182378 	 50.0959 	 23.7655 	 40.9594 	 13.327 	 71 	 39 	 56.6667 	 16.2583 	  Tumour 
7 	 406.255 	 526.373 	 416.137 	 376.825 	 10958 	 136.65 	 102.613 	 0.660395 	 0.977259 	 414.032 	 1757.35 	 712.014 	 0.405164 	 1372.9 	 1691.51 	 275.185 	 -3.55936 	 44.5595 	 0.129064 	 345.251 	 17060 	 0.833985 	 686.735 	 241.117 	 399.97 	 303.468 	 0.362928 	 621.343 	 343.85 	 318.631 	 0.796637 	 434 	 1647 	 96.3502 	 35.0894 	 4 	 2166.85 	 0.197741 	 70.9559 	 15.6965 	 41.5441 	 19.7634 	 133 	 73 	 108.5 	 25.5147 	 211 	 625 	 158.379 	 72.3521 	 2 	 4619.36 	 0.421552 	 49.6941 	 49.6941 	 49.6941 	 0 	 168 	 43 	 105.5 	 88.3883 	  Tumour 
8 	 458.718 	 776.355 	 616.64 	 516.962 	 10122 	 125.029 	 104.889 	 0.544258 	 0.957435 	 399.889 	 1307.03 	 451.553 	 0.345479 	 978.336 	 1241.2 	 200.715 	 24.0309 	 34.5416 	 0.127563 	 270.781 	 13270 	 0.895593 	 540.35 	 179.542 	 307.471 	 210.969 	 0.646707 	 339.031 	 292.385 	 297.512 	 0.967611 	 854 	 4053 	 83.1077 	 21.8469 	 8 	 1630.55 	 0.16109 	 77.4912 	 10.6734 	 44.3566 	 18.9355 	 222 	 56 	 106.75 	 55.979 	 99 	 527 	 96.4545 	 10.4275 	 2 	 2840.74 	 0.28065 	 56.4417 	 56.4417 	 56.4417 	 0 	 59 	 40 	 49.5 	 13.435 	  Tumour 
9 	 518.664 	 350.872 	 475.079 	 213.46 	 6935 	 113.744 	 79.0287 	 0.71921 	 0.945854 	 343.22 	 1117.57 	 385.087 	 0.344575 	 861.462 	 1051.74 	 222.764 	 21.0718 	 53.8595 	 0.183927 	 292.83 	 19676 	 0.879178 	 687.179 	 428.268 	 682.584 	 586.082 	 0.335394 	 917.558 	 625.433 	 635.573 	 0.931127 	 319 	 476 	 128.68 	 67.4194 	 2 	 687.463 	 0.0991295 	 11.8138 	 11.8138 	 11.8138 	 0 	 274 	 45 	 159.5 	 161.927 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
10 	 556.285 	 507.809 	 544.832 	 245.392 	 14793 	 153.822 	 122.796 	 0.60226 	 0.986463 	 466.659 	 1358.91 	 436.459 	 0.321182 	 1061.17 	 1293.08 	 296.272 	 -150.729 	 71.4049 	 0.194916 	 366.337 	 25486 	 0.891555 	 773.806 	 481.68 	 909.066 	 812.563 	 0.434663 	 850.111 	 925.279 	 482.299 	 0.530543 	 1230 	 5859 	 98.9154 	 37.6546 	 10 	 4281.13 	 0.289403 	 90.8954 	 10.3291 	 51.5912 	 21.2613 	 444 	 45 	 123 	 119.372 	 242 	 1923 	 125.145 	 39.1176 	 3 	 5618.09 	 0.37978 	 100.694 	 20.8932 	 68.7891 	 37.7765 	 129 	 45 	 80.6667 	 43.4089 	  Tumour 
11 	 567.141 	 871.337 	 759.729 	 558.911 	 6467 	 204.544 	 56.6621 	 0.960865 	 0.720236 	 479.345 	 1225.62 	 408.102 	 0.332975 	 915.414 	 1159.79 	 185.334 	 38.0654 	 24.8993 	 0.0974914 	 255.4 	 8480 	 0.765758 	 538.291 	 162.965 	 216.362 	 119.859 	 0.441718 	 181.116 	 228.079 	 248.093 	 1.14666 	 274 	 1809 	 81.0109 	 19.7501 	 5 	 960.336 	 0.148498 	 84.479 	 12.1655 	 43.9897 	 24.0139 	 86 	 45 	 54.8 	 17.782 	 212 	 900 	 110.67 	 24.6428 	 3 	 1317.95 	 0.203796 	 69.2366 	 19.2619 	 46.5236 	 22.6254 	 78 	 66 	 70.6667 	 6.4291 	  Tumour 
