rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 	
1 	 326.625 	 180.903 	 160.449 	 NaN 	 5855 	 109.091 	 69.687 	 0.769376 	 0.954671 	 311.22 	 932.664 	 338.93 	 0.3634 	 681.113 	 842.973 	 190.274 	 37.9463 	 65.1886 	 0.24613 	 264.854 	 18672 	 0.921801 	 632.049 	 656.536 	 181.211 	 89.9784 	 0 	 0 	 0 	 46.2039 	 0.254973 	 189 	 392 	 98.164 	 -0.284255 	 3 	 1840.4 	 0.314329 	 30.9672 	 11.1803 	 20.6719 	 8.87084 	 87 	 45 	 63 	 21.6333 	 73 	 73 	 107.918 	 3.23267 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 73 	 73 	 73 	 0 	  Tumour 
2 	 337.557 	 757.674 	 141.397 	 NaN 	 6239 	 106.406 	 76.1761 	 0.698205 	 0.975453 	 312.291 	 948.118 	 380.739 	 0.401573 	 515.724 	 858.428 	 226.216 	 -13.6125 	 34.4935 	 0.114674 	 300.796 	 10976 	 0.895781 	 502.108 	 790.644 	 1213.54 	 1122.31 	 0.142241 	 1252.23 	 1215.81 	 758.394 	 0.624942 	 383 	 2160 	 101.898 	 3.4499 	 4 	 1226.86 	 0.196643 	 67.5738 	 17.6017 	 46.1819 	 18.6301 	 128 	 51 	 95.75 	 36.1513 	 111 	 170 	 134.649 	 29.9635 	 2 	 2641.57 	 0.423396 	 10.6403 	 10.6403 	 10.6403 	 0 	 66 	 45 	 55.5 	 14.8492 	  Tumour 
3 	 338.618 	 340.812 	 160.449 	 NaN 	 6172 	 114.698 	 69.2098 	 0.797433 	 0.960174 	 325.12 	 919.105 	 335.278 	 0.364788 	 651.762 	 829.414 	 273.629 	 82.001 	 78.1632 	 0.224472 	 348.209 	 8154 	 0.863223 	 462.551 	 736.954 	 742.352 	 651.12 	 0.235431 	 1202.69 	 673.919 	 558.571 	 0.752434 	 302 	 1408 	 102.096 	 3.64775 	 6 	 1299.96 	 0.210622 	 43.382 	 9 	 27.7766 	 11.3954 	 77 	 45 	 50.3333 	 13.0639 	 166 	 1276 	 138.331 	 33.6462 	 4 	 1229.12 	 0.199144 	 66.7574 	 9.48683 	 42.5664 	 20.7526 	 45 	 31 	 41.5 	 7 	  Tumour 
4 	 385.648 	 890.998 	 712.447 	 NaN 	 10449 	 121.725 	 109.911 	 0.42976 	 0.96759 	 395.404 	 899.137 	 313.206 	 0.348341 	 633.19 	 809.447 	 220.701 	 51.1212 	 69.2436 	 0.2345 	 295.281 	 19512 	 0.788045 	 781.304 	 510.491 	 456.24 	 365.008 	 0.0916667 	 1155.06 	 421.801 	 495.585 	 1.08624 	 628 	 3841 	 114.506 	 16.0581 	 6 	 5212.7 	 0.498871 	 78.0752 	 7.64897 	 46.1725 	 20.1946 	 407 	 31 	 104.667 	 148.386 	 198 	 1293 	 126.96 	 22.2745 	 3 	 1820.51 	 0.174228 	 79.1025 	 11.1078 	 56.0228 	 34.7955 	 89 	 40 	 66 	 24.6374 	  Tumour 
5 	 424.685 	 405.684 	 245.416 	 NaN 	 10127 	 132.321 	 99.5411 	 0.658857 	 0.924587 	 420.274 	 1243 	 444.384 	 0.35751 	 916.528 	 1153.31 	 376.592 	 25.9263 	 60.3281 	 0.133714 	 451.172 	 12787 	 0.882227 	 527.765 	 838.476 	 1207.87 	 1116.64 	 0.508197 	 1078.15 	 1251.14 	 555.975 	 0.460294 	 748 	 4049 	 106.991 	 8.54237 	 11 	 2181.47 	 0.215411 	 92.8493 	 9.84886 	 46.6969 	 22.1646 	 128 	 45 	 68 	 31.407 	 52 	 52 	 132.385 	 27.6995 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 52 	 52 	 52 	 0 	  Tumour 
6 	 498.813 	 486.014 	 350.156 	 NaN 	 9664 	 127.308 	 98.5472 	 0.63308 	 0.965821 	 412.659 	 1155.37 	 421.253 	 0.364603 	 795.068 	 1065.68 	 308.872 	 60.4071 	 66.413 	 0.173198 	 383.452 	 9809 	 0.938391 	 419.706 	 887.142 	 1297.22 	 1205.99 	 0.191892 	 1290.55 	 1276.72 	 542.074 	 0.417873 	 1726 	 6327 	 101.593 	 3.145 	 18 	 2196.15 	 0.22725 	 98.1194 	 8.32166 	 41.1809 	 18.4428 	 265 	 39 	 90.8421 	 65.3599 	 45 	 45 	 123.733 	 19.0482 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Tumour 
7 	 492.828 	 336.488 	 227.115 	 NaN 	 8127 	 122.31 	 85.1227 	 0.718081 	 0.975513 	 357.747 	 1516.51 	 483.477 	 0.31881 	 1041.44 	 1426.81 	 369.779 	 -38.4829 	 83.3638 	 0.187604 	 444.359 	 10481 	 0.933387 	 461.723 	 690.202 	 1112.77 	 1021.54 	 0.265734 	 876.579 	 1141.39 	 718.774 	 0.645932 	 949 	 4236 	 109.243 	 10.7951 	 7 	 1842.67 	 0.226735 	 86.2251 	 10.198 	 46.6474 	 23.5557 	 500 	 45 	 118.625 	 158.956 	 180 	 640 	 132.878 	 28.1926 	 3 	 1492.09 	 0.183596 	 51.9736 	 22.8473 	 35.1288 	 13.4967 	 90 	 45 	 60 	 25.9808 	  Tumour 
8 	 546.975 	 179.409 	 220.009 	 NaN 	 12004 	 134.772 	 114.478 	 0.527722 	 0.986117 	 417.404 	 2050.9 	 724.797 	 0.353404 	 1446.4 	 1961.21 	 467.025 	 -168.5 	 224.814 	 0.415088 	 541.605 	 14647 	 0.924393 	 543.037 	 611.825 	 873.44 	 782.208 	 0.343195 	 621.339 	 918.917 	 707.381 	 0.80988 	 698 	 3716 	 156.888 	 58.44 	 9 	 2144.74 	 0.178669 	 89.1992 	 8 	 46.4159 	 26.4855 	 164 	 45 	 77.5556 	 39.0804 	 84 	 87 	 170.464 	 65.7791 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 84 	 84 	 84 	 0 	  Tumour 
9 	 551.037 	 577.167 	 454.964 	 NaN 	 8267 	 115.878 	 91.4615 	 0.614016 	 0.980781 	 353.505 	 1146.44 	 419.026 	 0.365502 	 880.954 	 1056.75 	 339.342 	 129.602 	 71.6282 	 0.173048 	 413.922 	 9871 	 0.948587 	 457.622 	 1058.2 	 954.77 	 863.538 	 0.0829384 	 1034.71 	 949.394 	 531.011 	 0.556166 	 365 	 1759 	 115.036 	 16.5873 	 5 	 2762.52 	 0.334162 	 47.8599 	 17.1052 	 32.7455 	 10.2749 	 118 	 38 	 73 	 34.0808 	 90 	 292 	 151.744 	 47.0593 	 2 	 1535.04 	 0.185682 	 30.8058 	 30.8058 	 30.8058 	 0 	 45 	 45 	 45 	 0 	  Tumour 
10 	 542.549 	 81.1201 	 238.025 	 NaN 	 3763 	 71.6163 	 67.3257 	 0.340928 	 0.979438 	 230.61 	 1054.9 	 402.454 	 0.381509 	 436.165 	 965.211 	 175.096 	 41.4384 	 68.3133 	 0.273608 	 249.676 	 12246 	 0.747072 	 655.078 	 361.853 	 368.345 	 277.113 	 0.276144 	 558.746 	 333.217 	 322.229 	 0.874803 	 180 	 416 	 87.1889 	 -11.2594 	 3 	 921.804 	 0.244965 	 29.7069 	 16.1245 	 20.6571 	 7.00992 	 90 	 45 	 60 	 25.9808 	 225 	 752 	 109.667 	 4.98153 	 3 	 551.824 	 0.146645 	 40.3609 	 8.48528 	 25.0103 	 10.3914 	 90 	 45 	 56.25 	 22.5 	  Tumour 
