rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 	
1 	 96.5984 	 494.199 	 62.9365 	 259.725 	 5231 	 116.855 	 63.3781 	 0.840142 	 0.88646 	 334.877 	 1157.54 	 303.834 	 0.262483 	 313.088 	 1016.44 	 387.583 	 -272.441 	 94.5136 	 0.173324 	 545.299 	 6175 	 0.936173 	 353.948 	 267.39 	 275.828 	 206.149 	 0.350993 	 436.17 	 242.89 	 149.062 	 0.540418 	 45 	 45 	 148.444 	 -12.8864 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 91 	 177 	 155.319 	 16.5429 	 2 	 945.766 	 0.1808 	 15.56 	 15.56 	 15.56 	 0 	 48 	 43 	 45.5 	 3.53553 	  Tumour 
2 	 116.321 	 434.115 	 62.9365 	 204.475 	 4485 	 98.2379 	 59.6631 	 0.794447 	 0.898798 	 299.421 	 1654.04 	 507.759 	 0.306981 	 609.71 	 1512.93 	 744.168 	 -30.7437 	 123.546 	 0.136987 	 901.884 	 6111 	 0.900531 	 365.789 	 708.514 	 1021.85 	 952.169 	 0.695364 	 928.633 	 1065.56 	 573.225 	 0.560969 	 463 	 1795 	 215.179 	 53.8484 	 5 	 1169.89 	 0.260845 	 56.6913 	 17.8021 	 32.6002 	 11.9011 	 125 	 46 	 92.6 	 29.653 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
3 	 164.942 	 745.184 	 260.048 	 119.206 	 3384 	 181.036 	 37.1048 	 0.978771 	 0.63052 	 388.475 	 1074.83 	 410.509 	 0.381931 	 3.06774 	 933.721 	 508.677 	 -137.088 	 104.058 	 0.15615 	 666.393 	 6355 	 0.695752 	 545.085 	 651.509 	 692.216 	 622.537 	 0.343413 	 1047.72 	 612.872 	 438.574 	 0.633579 	 159 	 1319 	 159.686 	 -1.64535 	 3 	 838.879 	 0.247896 	 108.112 	 47.7438 	 72.5011 	 28.2761 	 69 	 32 	 53 	 19 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
4 	 168.893 	 383.341 	 132.306 	 131.21 	 6787 	 117.197 	 75.0612 	 0.767984 	 0.94277 	 346.777 	 1545.56 	 456.608 	 0.295432 	 795.514 	 1404.45 	 795.711 	 11.6343 	 143.753 	 0.150775 	 953.427 	 8741 	 0.897433 	 425.304 	 927.464 	 1434.6 	 1364.93 	 0.5 	 1789.46 	 1294.1 	 883.481 	 0.615836 	 541 	 3109 	 201.771 	 40.4399 	 6 	 1262 	 0.185944 	 84.1822 	 13.294 	 47.9178 	 22.7754 	 156 	 23 	 90.1667 	 52.0785 	 123 	 540 	 181.894 	 43.1186 	 2 	 538.555 	 0.079351 	 49.5229 	 49.5229 	 49.5229 	 0 	 70 	 53 	 61.5 	 12.0208 	  Tumour 
5 	 187.737 	 125.175 	 93.6483 	 258.699 	 2973 	 92.5765 	 44.458 	 0.877143 	 0.915333 	 249.38 	 1060.67 	 305.437 	 0.287967 	 348.437 	 919.565 	 346.051 	 -226.336 	 47.2405 	 0.0937746 	 503.767 	 3687 	 0.924987 	 265.581 	 153.753 	 161.595 	 91.9158 	 0 	 0 	 0 	 103.495 	 0.64046 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
6 	 172.319 	 778.559 	 294.703 	 90.2718 	 3941 	 103.447 	 56.2511 	 0.839236 	 0.787098 	 305.22 	 1666.18 	 510.57 	 0.306431 	 833.236 	 1525.08 	 594.577 	 -180.143 	 59.5264 	 0.0791266 	 752.293 	 4613 	 0.780145 	 345.019 	 795.726 	 1059.63 	 989.954 	 0.678082 	 1125.06 	 1008.43 	 437.595 	 0.412969 	 286 	 1714 	 191.42 	 30.0887 	 5 	 780.339 	 0.198005 	 89.5677 	 9.05539 	 45.0928 	 23.2943 	 89 	 33 	 57.2 	 23.3281 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
7 	 179.566 	 504.75 	 83.7257 	 222.38 	 3079 	 94.7332 	 41.8419 	 0.897172 	 0.964297 	 242.108 	 1073.99 	 308.009 	 0.286789 	 642.72 	 932.886 	 495.069 	 -93.8167 	 255.942 	 0.392076 	 652.786 	 5378 	 0.876753 	 380.434 	 945.388 	 1071.15 	 1001.47 	 0.207951 	 1119.78 	 1053.16 	 878.888 	 0.820507 	 45 	 45 	 148.2 	 -13.1309 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 45 	 45 	 142.844 	 4.06871 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Tumour 
8 	 217.931 	 772.141 	 303.191 	 68.352 	 2511 	 96.4257 	 34.2541 	 0.934776 	 0.895187 	 247.765 	 1319.42 	 518.715 	 0.39314 	 -127.489 	 1178.31 	 619.853 	 -135.082 	 62.7361 	 0.0806823 	 777.569 	 3542 	 0.918568 	 274.836 	 749.398 	 984.567 	 914.887 	 0.738197 	 1109.03 	 899.736 	 436.941 	 0.44379 	 61 	 63 	 212.738 	 51.4068 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 61 	 61 	 61 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
9 	 234.869 	 43.571 	 49.8197 	 324.299 	 2282 	 63.453 	 47.0671 	 0.670663 	 0.963276 	 202.853 	 1410.22 	 574.099 	 0.4071 	 775.484 	 1269.11 	 352.144 	 -51.8052 	 48.251 	 0.0946356 	 509.861 	 5092 	 0.888036 	 337.279 	 457.489 	 632.59 	 562.911 	 0.27 	 522.704 	 641.484 	 389.112 	 0.615109 	 75 	 133 	 161.773 	 0.442451 	 2 	 101.963 	 0.0446815 	 12.2143 	 12.2143 	 12.2143 	 0 	 44 	 31 	 37.5 	 9.19239 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
10 	 264.511 	 378.082 	 204.157 	 75.4255 	 5431 	 100.293 	 70.0756 	 0.715408 	 0.957342 	 303.806 	 1390.99 	 395.878 	 0.284601 	 900.885 	 1249.89 	 790.531 	 -236.717 	 158.265 	 0.166902 	 948.248 	 6921 	 0.939715 	 355.362 	 1233.85 	 2206.84 	 2137.16 	 0.417763 	 2666.79 	 2065.15 	 713.669 	 0.32339 	 626 	 2107 	 199.757 	 38.4263 	 7 	 615.991 	 0.113421 	 80.7417 	 12.6491 	 40.4834 	 20.0358 	 128 	 45 	 89.4286 	 34.297 	 165 	 616 	 198.903 	 60.1273 	 3 	 983.213 	 0.181037 	 54.231 	 19.7984 	 36.4613 	 15.4226 	 75 	 45 	 55 	 17.3205 	  Tumour 
