rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 43.1176 	 1948.16 	 99.6243 	 247.542 	 3775 	 84.8185 	 57.7361 	 0.732561 	 0.968445 	 247.38 	 631.94 	 125.297 	 0.198274 	 -210.245 	 433.173 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 7276 	 0.915681 	 425.966 	 1638.99 	 1527.99 	 1084.34 	 0 	 0 	 0 	 719.097 	 0.470616 	 60.6548 	 -33.3984 	 16.634 	 0.146513 	 113.533 	 33 	 65 	 81.2424 	 8.25837 	 2 	 1588.21 	 0.420718 	 12.5666 	 12.5666 	 12.5666 	 0 	 23 	 10 	 16.5 	 9.19239 	  Tumour 
2 	 50.7987 	 266.605 	 95.7183 	 204.167 	 2548 	 69.0442 	 47.5181 	 0.725496 	 0.952167 	 209.622 	 796.894 	 340.452 	 0.427224 	 -179.215 	 598.128 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3737 	 0.969139 	 248.083 	 693.446 	 655.62 	 211.969 	 0 	 0 	 0 	 295.787 	 0.451156 	 36.1154 	 -43.2171 	 19.7954 	 0.222437 	 88.9933 	 69 	 75 	 59.2029 	 -13.7812 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 69 	 69 	 69 	 0 	  Lymph 
3 	 76.3261 	 2042.36 	 99.6243 	 289.558 	 5140 	 100.389 	 65.734 	 0.755806 	 0.953264 	 294.836 	 866.922 	 291.307 	 0.336025 	 21.1115 	 668.155 	 45 	 45 	 529.822 	 137.934 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 6914 	 0.964565 	 351.882 	 768.312 	 697.617 	 253.967 	 0 	 0 	 0 	 326.783 	 0.468427 	 28.6361 	 -35.1393 	 9.23175 	 0.113253 	 81.514 	 20 	 21 	 82.05 	 9.06594 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 20 	 20 	 20 	 0 	  Tumour 
4 	 77.5375 	 134.182 	 57.2713 	 154.564 	 3734 	 82.7992 	 58.6569 	 0.705788 	 0.957927 	 248.451 	 1540.61 	 897.032 	 0.582259 	 742.217 	 1341.84 	 90 	 254 	 570.478 	 178.589 	 2 	 1380.03 	 0.369584 	 25.9422 	 25.9422 	 25.9422 	 0 	 45 	 45 	 45 	 0 	 5181 	 0.941144 	 309.397 	 494.953 	 489.123 	 45.4725 	 0.243151 	 758.704 	 451.512 	 167.826 	 0.343117 	 18.5849 	 -50.2526 	 11.1732 	 0.15635 	 71.4628 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
5 	 93.7647 	 2148.9 	 207.369 	 348.776 	 3684 	 101.878 	 47.3464 	 0.885449 	 0.953416 	 264.007 	 1129.37 	 449.429 	 0.397945 	 154.829 	 930.608 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 6111 	 0.937701 	 370.51 	 602.459 	 716.189 	 272.538 	 0.180233 	 1010.9 	 686.408 	 203.359 	 0.283946 	 30.453 	 -54.9814 	 7.11226 	 0.0853496 	 83.3309 	 107 	 257 	 74.7103 	 1.72622 	 2 	 548.603 	 0.148915 	 21.6024 	 21.6024 	 21.6024 	 0 	 62 	 45 	 53.5 	 12.0208 	  Tumour 
6 	 81.5689 	 514.956 	 249.93 	 279.235 	 3496 	 75.4294 	 59.989 	 0.606215 	 0.962025 	 229.823 	 1535.51 	 655.269 	 0.426743 	 632.489 	 1336.75 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 5136 	 0.974943 	 286.912 	 600.759 	 688.489 	 244.838 	 0 	 0 	 0 	 256.124 	 0.372009 	 19.4845 	 -86.2434 	 9.30125 	 0.128537 	 72.3624 	 107 	 183 	 72.9439 	 -0.0401327 	 2 	 167.946 	 0.0480395 	 14.193 	 14.193 	 14.193 	 0 	 62 	 45 	 53.5 	 12.0208 	  Lymph 
7 	 81.164 	 1209.37 	 942.478 	 187.971 	 2018 	 61.4722 	 42.9354 	 0.715656 	 0.945642 	 180.024 	 1617.83 	 450.232 	 0.278294 	 764.868 	 1419.06 	 45 	 45 	 540.733 	 148.845 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 4173 	 0.908359 	 300.024 	 967.283 	 986.105 	 542.454 	 0.0688406 	 1115.53 	 981.821 	 462.178 	 0.468691 	 32.7242 	 -52.1028 	 9.93483 	 0.116058 	 85.6021 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
8 	 107.758 	 2469.83 	 526.031 	 453.1 	 5936 	 125.678 	 62.7202 	 0.866572 	 0.927935 	 346.735 	 810.174 	 191.726 	 0.236648 	 -69.7512 	 611.408 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 8229 	 0.902699 	 453.137 	 1315.2 	 1812.35 	 1368.7 	 0.42619 	 1638.17 	 1862.18 	 538.311 	 0.297024 	 157.255 	 62.1013 	 31.0331 	 0.147684 	 210.133 	 64 	 72 	 82.5156 	 9.53157 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 64 	 64 	 64 	 0 	  Tumour 
9 	 132.801 	 2530.15 	 588.918 	 388.104 	 7371 	 153.108 	 62.2345 	 0.913662 	 0.923106 	 421.848 	 984.71 	 245.68 	 0.249494 	 -13.8957 	 785.944 	 135 	 609 	 529.948 	 138.059 	 3 	 1391.66 	 0.188802 	 47.7074 	 21.587 	 32.538 	 12.1298 	 45 	 45 	 45 	 0 	 10441 	 0.805012 	 568.794 	 1287.34 	 1719.27 	 1275.62 	 0.64794 	 1673.39 	 1744 	 491.433 	 0.285839 	 171.998 	 25.3354 	 28.7665 	 0.127921 	 224.876 	 466 	 881 	 89.9378 	 16.9537 	 3 	 1813.83 	 0.246076 	 49.3805 	 22.628 	 32.941 	 12.8708 	 184 	 108 	 155.333 	 41.2957 	  Tumour 
10 	 93.9418 	 1639.32 	 1372.67 	 91.9837 	 2886 	 72.7406 	 50.7174 	 0.71684 	 0.975659 	 212.309 	 788.044 	 290.99 	 0.369257 	 -73.4061 	 589.277 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 4331 	 0.964159 	 266.426 	 725.457 	 629.634 	 185.983 	 0 	 0 	 629.398 	 135.681 	 0.215492 	 28.1598 	 -66.8846 	 8.46489 	 0.104456 	 81.0378 	 54 	 57 	 71.7222 	 -1.26184 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 54 	 54 	 54 	 0 	  Lymph 
11 	 101.517 	 186.47 	 95.7183 	 128.413 	 2130 	 67.0555 	 43.9585 	 0.755149 	 0.930944 	 202.309 	 740.31 	 259.332 	 0.350302 	 30.9643 	 541.544 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3133 	 0.939712 	 251.397 	 646.376 	 581.38 	 137.73 	 0.307692 	 717.972 	 555.391 	 165.334 	 0.284381 	 41.4249 	 -42.1867 	 21.2839 	 0.225698 	 94.3028 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
