rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	CellLabels 	
1 	 64.5645 	 2444.08 	 429.795 	 120.88 	 2030 	 75.6356 	 35.0128 	 0.886403 	 0.94727 	 205.037 	 1027.05 	 171.378 	 0.166864 	 -566.129 	 895.267 	 515.848 	 -86.7009 	 113.18 	 0.177766 	 636.678 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3086 	 0.966187 	 236.551 	 96.7242 	 91.7094 	 38.307 	 0 	 0 	 0 	 27.9501 	 0.304768 	  DCIS 
2 	 175.252 	 2373.9 	 63.0079 	 130.384 	 5650 	 114.907 	 66.1653 	 0.817581 	 0.888924 	 353.605 	 1333.86 	 292.317 	 0.219152 	 -301.95 	 1202.07 	 1009.81 	 466.525 	 119.204 	 0.105431 	 1130.63 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 111 	 537 	 153.55 	 31.6961 	 2 	 1776.23 	 0.314377 	 57.1222 	 57.1222 	 57.1222 	 0 	 69 	 42 	 55.5 	 19.0919 	 6814 	 0.863953 	 433.546 	 142.495 	 169.446 	 116.044 	 0.543243 	 192.507 	 160.955 	 57.9137 	 0.341783 	  Tumour 
3 	 181.038 	 2477.95 	 61.4003 	 120.88 	 5159 	 134.862 	 52.5166 	 0.921065 	 0.907635 	 357.161 	 1478.3 	 444.092 	 0.300408 	 66.3366 	 1346.52 	 713.795 	 173.631 	 178.966 	 0.214427 	 834.624 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 5810 	 0.870934 	 390.818 	 135.294 	 160.807 	 107.405 	 0.569277 	 200.18 	 142.345 	 86.0989 	 0.535417 	  Tumour 
4 	 164.696 	 2025.75 	 317.695 	 99.985 	 1505 	 56.5813 	 35.6345 	 0.776763 	 0.935364 	 163.681 	 1119.01 	 267.754 	 0.239277 	 -228.603 	 987.233 	 253.056 	 -207.224 	 82.2313 	 0.219937 	 373.885 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 1986 	 0.944365 	 183.439 	 71.574 	 57.0252 	 3.62281 	 0 	 0 	 0 	 8.04808 	 0.141132 	  Other 
5 	 230.467 	 2285.82 	 103.774 	 228.449 	 4613 	 107.325 	 56.2804 	 0.851477 	 0.9226 	 300.208 	 1340 	 362.29 	 0.270366 	 -128.444 	 1208.22 	 879.989 	 313.402 	 133.115 	 0.133006 	 1000.82 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 131 	 202 	 142.466 	 20.6122 	 2 	 1963.71 	 0.42569 	 14.8236 	 14.8236 	 14.8236 	 0 	 81 	 50 	 65.5 	 21.9203 	 6323 	 0.849523 	 414.09 	 167.617 	 215.989 	 162.587 	 0.325905 	 242.051 	 205.311 	 104.184 	 0.482356 	  Tumour 
6 	 211.656 	 2425.46 	 63.0079 	 148.223 	 4162 	 102.844 	 54.209 	 0.849806 	 0.914323 	 289.279 	 1571.61 	 327.538 	 0.208409 	 59.0263 	 1439.83 	 1066.18 	 551.155 	 71.3095 	 0.060075 	 1187.01 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 135 	 189 	 158.978 	 37.1243 	 2 	 1222.93 	 0.293833 	 12.659 	 12.659 	 12.659 	 0 	 90 	 45 	 67.5 	 31.8198 	 4765 	 0.91371 	 313.563 	 146.259 	 184.851 	 131.448 	 0.996269 	 188.715 	 183.419 	 60.8724 	 0.329306 	  Tumour 
7 	 231.259 	 2542.59 	 178.037 	 193.28 	 2295 	 64.3011 	 45.6437 	 0.70436 	 0.963476 	 190.167 	 1741.64 	 688.399 	 0.39526 	 314.537 	 1609.86 	 622.22 	 128.56 	 83.7523 	 0.112714 	 743.05 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 57 	 61 	 145.211 	 23.3571 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 57 	 57 	 57 	 0 	 3169 	 0.911942 	 247.137 	 113.681 	 121.855 	 68.4528 	 0.331776 	 182.69 	 109.19 	 58.8606 	 0.483037 	  Tumour 
8 	 263.688 	 2012.36 	 372.78 	 99.985 	 6992 	 120.25 	 77.6454 	 0.763592 	 0.899871 	 410.375 	 1234.48 	 258.96 	 0.209772 	 -97.8345 	 1102.7 	 506.496 	 75.2851 	 142.331 	 0.226885 	 627.325 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 94 	 340 	 113.191 	 -8.66196 	 2 	 2235.92 	 0.319782 	 37.938 	 37.938 	 37.938 	 0 	 52 	 42 	 47 	 7.07107 	 9444 	 0.863096 	 512.943 	 114.223 	 111.916 	 58.5132 	 0 	 0 	 0 	 60.9053 	 0.544208 	  Tumour 
9 	 267.975 	 2407.12 	 98.6813 	 206.344 	 8503 	 174.601 	 72.6881 	 0.909223 	 0.792008 	 466.718 	 1807.24 	 492.912 	 0.272743 	 46.5774 	 1675.46 	 1034.42 	 542.188 	 88.9089 	 0.0769609 	 1155.25 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 290 	 2013 	 172.848 	 50.9948 	 5 	 1509.96 	 0.177579 	 85.4817 	 13.097 	 45.3135 	 21.6208 	 87 	 37 	 58 	 19.2484 	 9346 	 0.785576 	 523.529 	 164.47 	 196.89 	 143.487 	 0.95045 	 198.479 	 194.137 	 62.771 	 0.318813 	  Tumour 
10 	 280.334 	 2487.76 	 154.987 	 219.456 	 3397 	 106.546 	 50.2843 	 0.881625 	 0.736557 	 313.421 	 1898.83 	 530.632 	 0.279452 	 383.637 	 1767.05 	 985.594 	 445.465 	 55.5696 	 0.0502246 	 1106.42 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 4376 	 0.775611 	 350.392 	 166.046 	 181.378 	 127.976 	 0.8125 	 180.777 	 181.413 	 45.9017 	 0.253072 	  Tumour 
