rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NucAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 84.9323 	 628.692 	 95.2733 	 416.915 	 5335 	 88.3853 	 78.9727 	 0.449054 	 0.960569 	 287.38 	 1725.73 	 356.325 	 0.206478 	 941.542 	 1641.84 	 9132 	 0.961668 	 382.434 	 504.585 	 735.334 	 680.018 	 0.234043 	 938.753 	 700.718 	 512.173 	 0.696518 	 181 	 182 	 285.243 	 74.2846 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 181 	 181 	 181 	 0 	 40.8794 	 -46.7884 	 16.6045 	 0.206234 	 80.5127 	 887 	 1300 	 329.337 	 250.947 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 887 	 887 	 887 	 0 	  Tumour 
2 	 125.859 	 542.713 	 91.7824 	 327.391 	 7302 	 114.028 	 84.5366 	 0.671102 	 0.942924 	 352.534 	 911.153 	 256.675 	 0.281704 	 429.187 	 827.263 	 11895 	 0.878638 	 469.789 	 602.948 	 852.217 	 796.901 	 0.637931 	 1004.41 	 782.806 	 389.592 	 0.457151 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 68.9664 	 -18.3004 	 31.542 	 0.290444 	 108.6 	 813 	 1065 	 216.721 	 138.331 	 2 	 481.879 	 0.0659927 	 28.4154 	 28.4154 	 28.4154 	 0 	 510 	 303 	 406.5 	 146.371 	  Tumour 
3 	 144.107 	 453.284 	 185.626 	 237.008 	 9706 	 129.167 	 95.999 	 0.669049 	 0.981197 	 379.99 	 831.766 	 192.474 	 0.231404 	 271.61 	 747.876 	 14864 	 0.940462 	 495.227 	 657.862 	 1166.04 	 1110.72 	 0.668305 	 1314.51 	 1109.36 	 481.768 	 0.413167 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 39.3557 	 -59.1162 	 26.4001 	 0.334225 	 78.9889 	 1191 	 2584 	 165.447 	 87.0567 	 2 	 1953.84 	 0.201302 	 54.5419 	 54.5419 	 54.5419 	 0 	 1109 	 82 	 595.5 	 726.199 	  Tumour 
4 	 159.584 	 290.879 	 346.221 	 77.1298 	 5314 	 98.3197 	 69.4481 	 0.707863 	 0.959552 	 294.149 	 999.107 	 322.903 	 0.323191 	 610.844 	 915.217 	 7518 	 0.893405 	 378.375 	 796.697 	 987.965 	 932.649 	 0.428571 	 1037.52 	 975.183 	 383.474 	 0.388145 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 98.1483 	 -20.916 	 29.6055 	 0.214873 	 137.782 	 997 	 1438 	 357.325 	 278.935 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 997 	 997 	 997 	 0 	  Tumour 
5 	 141.746 	 215.936 	 548.774 	 77.1298 	 1154 	 51.3118 	 28.94 	 0.825773 	 0.950577 	 141.782 	 788.316 	 326.856 	 0.414626 	 356.796 	 704.426 	 2970 	 0.950704 	 214.108 	 871.367 	 769.386 	 714.07 	 0.323864 	 1093.11 	 703.671 	 417.535 	 0.542686 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 74.3581 	 -1.7382 	 22.7712 	 0.199762 	 113.991 	 240 	 323 	 94.4792 	 16.0892 	 2 	 458.049 	 0.396923 	 15.1902 	 15.1902 	 15.1902 	 0 	 130 	 110 	 120 	 14.1421 	  Other 
6 	 216.955 	 356.85 	 302.338 	 159.706 	 7622 	 108.307 	 90.2766 	 0.55248 	 0.977179 	 336.434 	 999.652 	 270.544 	 0.270638 	 726.518 	 915.762 	 14034 	 0.955409 	 483.997 	 793.579 	 1294.85 	 1239.54 	 0.67013 	 1301.21 	 1305.04 	 502.385 	 0.387986 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 45.1453 	 -38.325 	 32.5252 	 0.383649 	 84.7785 	 927 	 1255 	 320.513 	 242.124 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 927 	 0 	  Tumour 
7 	 230.584 	 516.824 	 184.011 	 313.882 	 9981 	 117.568 	 108.982 	 0.375129 	 0.958329 	 399.446 	 912.345 	 198.115 	 0.217149 	 648.059 	 828.456 	 20278 	 0.956104 	 576.399 	 846.245 	 1187.28 	 1131.97 	 0.321063 	 1170.39 	 1205.75 	 408.522 	 0.344081 	 338 	 1789 	 211.494 	 0.535634 	 3 	 4879.43 	 0.488871 	 47.8686 	 37.1471 	 43.625 	 5.09755 	 129 	 96 	 112.667 	 16.5025 	 35.7424 	 -29.0162 	 22.7083 	 0.301269 	 75.3756 	 852 	 1378 	 156.592 	 78.2016 	 3 	 2561.61 	 0.256649 	 44.6683 	 19.9515 	 29.7813 	 11.7273 	 429 	 95 	 284 	 171.292 	  Tumour 
8 	 266.941 	 718.487 	 202.596 	 313.551 	 3474 	 87.5313 	 51.4871 	 0.808706 	 0.973655 	 237.823 	 1535.07 	 266.197 	 0.173411 	 919.525 	 1451.18 	 16003 	 0.968411 	 525.73 	 813.778 	 750.21 	 694.894 	 0 	 0 	 759.409 	 528.387 	 0.704319 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 72.1066 	 -31.7004 	 31.9678 	 0.286091 	 111.74 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
9 	 277.494 	 166.719 	 500.308 	 143.618 	 2680 	 84.7014 	 41.3408 	 0.872801 	 0.942335 	 225.966 	 733.918 	 213.367 	 0.290724 	 449.966 	 650.028 	 9420 	 0.823859 	 483.529 	 703.798 	 781.391 	 726.075 	 0.160891 	 790.446 	 774.294 	 512.205 	 0.655504 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 67.5888 	 -6.66481 	 28.3093 	 0.264025 	 107.222 	 418 	 672 	 129.366 	 50.9761 	 2 	 939.657 	 0.350618 	 23.9378 	 23.9378 	 23.9378 	 0 	 261 	 157 	 209 	 73.5391 	  Tumour 
10 	 328.623 	 206.618 	 487.463 	 187.216 	 6538 	 107.527 	 78.0969 	 0.68738 	 0.965874 	 328.007 	 790.901 	 410.272 	 0.51874 	 551.263 	 707.011 	 9107 	 0.862079 	 450.718 	 587.114 	 731.977 	 676.661 	 0.460154 	 1029.82 	 646.115 	 607.756 	 0.830294 	 129 	 129 	 190.341 	 -20.6174 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 129 	 129 	 129 	 0 	 55.019 	 -47.4337 	 52.5624 	 0.555321 	 94.6522 	 203 	 224 	 89.3941 	 11.0041 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 203 	 203 	 203 	 0 	  Tumour 
