rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NucAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
11 	 267.696 	 505.015 	 154.149 	 83.6481 	 2841 	 77.4412 	 48.4445 	 0.780172 	 0.926614 	 234.451 	 1271.92 	 346.358 	 0.272312 	 615.358 	 912.713 	 3798 	 0.90666 	 303.865 	 818.312 	 973.966 	 157.145 	 0.464419 	 1116.99 	 907.303 	 411.906 	 0.422916 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 32.5241 	 -9.25493 	 31.4145 	 0.273092 	 115.032 	 29 	 29 	 82.1724 	 16.8519 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 29 	 29 	 29 	 0 	  DCIS 
12 	 278.782 	 368.317 	 428.439 	 107.935 	 4906 	 84.1236 	 77.1775 	 0.397897 	 0.93787 	 287.421 	 1464.3 	 410.935 	 0.280636 	 848.741 	 1105.1 	 6244 	 0.909012 	 356.853 	 948.672 	 1042.14 	 225.314 	 0.364458 	 1240.21 	 998.024 	 248.506 	 0.238459 	 90 	 246 	 282.622 	 49.3028 	 2 	 420.301 	 0.0856708 	 27.1662 	 27.1662 	 27.1662 	 0 	 45 	 45 	 45 	 0 	 100.159 	 28.2156 	 32.4071 	 0.177411 	 182.667 	 188 	 304 	 103.351 	 38.0305 	 2 	 1547.43 	 0.315416 	 12.7321 	 12.7321 	 12.7321 	 0 	 152 	 36 	 94 	 82.0244 	  Tumour 
13 	 307.025 	 611.107 	 261.926 	 112.947 	 6306 	 121.493 	 69.4805 	 0.820331 	 0.895739 	 355.404 	 1521.25 	 322.728 	 0.212146 	 891.082 	 1162.05 	 8101 	 0.834123 	 476.25 	 1179.8 	 1413.63 	 596.808 	 0.665899 	 1410.39 	 1423.09 	 181.519 	 0.128407 	 90 	 243 	 277.433 	 44.1139 	 2 	 540.534 	 0.0857174 	 24.5967 	 24.5967 	 24.5967 	 0 	 45 	 45 	 45 	 0 	 107.315 	 -2.58794 	 19.6481 	 0.103507 	 189.824 	 215 	 894 	 97.6837 	 32.3632 	 3 	 1412.63 	 0.224014 	 48.5724 	 14.9793 	 35.3201 	 15.9952 	 91 	 45 	 71.6667 	 23.8607 	  Tumour 
14 	 340.313 	 326.341 	 494.774 	 106.607 	 5021 	 106.646 	 61.4671 	 0.817193 	 0.935009 	 323.019 	 1554.49 	 480.62 	 0.309181 	 848.995 	 1195.29 	 6976 	 0.905739 	 396.167 	 1074.67 	 1148.13 	 331.307 	 0.233696 	 1353.7 	 1116.52 	 269.811 	 0.235001 	 45 	 45 	 297.6 	 64.2806 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 100.289 	 3.54944 	 38.6878 	 0.211644 	 182.797 	 276 	 861 	 105.609 	 40.2881 	 3 	 2135.74 	 0.425361 	 62.6977 	 31.4235 	 41.9505 	 16.0713 	 135 	 46 	 92 	 44.5758 	  Tumour 
15 	 336.6 	 64.6916 	 464.415 	 200.412 	 1336 	 64.1571 	 26.8599 	 0.908144 	 0.958393 	 160.995 	 878.282 	 86.2045 	 0.0981512 	 406.774 	 519.079 	 2598 	 0.964723 	 213.154 	 744.843 	 728.65 	 -88.1713 	 0 	 0 	 0 	 115.371 	 0.158335 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 -2.09659 	 -0.72888 	 6.42535 	 0.0799056 	 80.4117 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
16 	 370.675 	 632.81 	 309.006 	 164.295 	 3830 	 97.9899 	 52.8308 	 0.842213 	 0.854529 	 302.534 	 1514.45 	 328.649 	 0.217009 	 848.171 	 1155.25 	 6076 	 0.809701 	 443.078 	 1293.8 	 1440.82 	 624.001 	 0.76 	 1493.51 	 1387.35 	 223.152 	 0.154878 	 90 	 379 	 338.289 	 104.969 	 2 	 564.281 	 0.147332 	 43.1741 	 43.1741 	 43.1741 	 0 	 45 	 45 	 45 	 0 	 121.624 	 13.2102 	 39.624 	 0.194109 	 204.133 	 193 	 261 	 105.591 	 40.2701 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 193 	 193 	 193 	 0 	  Tumour 
17 	 424.907 	 585.264 	 377.922 	 176.207 	 6269 	 128.594 	 62.6823 	 0.873155 	 0.95288 	 345.019 	 1617.28 	 502.05 	 0.310428 	 1018.73 	 1258.08 	 7761 	 0.933598 	 424.066 	 1013.21 	 1238.27 	 421.449 	 0.473282 	 1520.45 	 1132.54 	 367.883 	 0.297095 	 45 	 45 	 300.844 	 67.525 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 138.182 	 57.5253 	 43.2074 	 0.195783 	 220.691 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
18 	 418.94 	 664.457 	 344.894 	 164.149 	 4540 	 111.591 	 57.5973 	 0.856499 	 0.851782 	 325.563 	 1845.09 	 450.005 	 0.243894 	 1082.62 	 1485.88 	 5808 	 0.795616 	 403.924 	 1367.79 	 1620.4 	 803.579 	 0.779841 	 1598.08 	 1611.93 	 323.605 	 0.199707 	 45 	 45 	 319.733 	 86.4139 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 199.312 	 50.6788 	 27.3269 	 0.0969658 	 281.82 	 274 	 551 	 125.566 	 60.2451 	 2 	 1429.84 	 0.314943 	 26.4533 	 26.4533 	 26.4533 	 0 	 159 	 115 	 137 	 31.1127 	  Tumour 
19 	 422.355 	 286.012 	 573.468 	 112.112 	 3555 	 111.997 	 43.3998 	 0.921866 	 0.873035 	 285.12 	 1020.67 	 153.405 	 0.150298 	 311.481 	 661.468 	 8713 	 0.936076 	 428.25 	 1044.05 	 1120.75 	 303.93 	 0.121762 	 1119.72 	 1122.21 	 263.94 	 0.235503 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 97.4794 	 -13.6165 	 15.6493 	 0.0869467 	 179.988 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
20 	 416.766 	 174.09 	 424.264 	 65.2993 	 1874 	 68.8883 	 36.116 	 0.851553 	 0.943605 	 183.338 	 1021.4 	 172.184 	 0.168576 	 513.474 	 662.199 	 5547 	 0.977101 	 296.492 	 904.656 	 907.862 	 91.0406 	 0.185771 	 932.745 	 890.852 	 305.994 	 0.337049 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 68.1758 	 5.0776 	 28.245 	 0.187445 	 150.684 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
