rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 65.0808 	 44.4383 	 115.109 	 257.793 	 5393 	 119.863 	 60.8317 	 0.861646 	 0.913294 	 326.35 	 1254.08 	 527.776 	 0.420848 	 475.9 	 1128.31 	 6276 	 0.909038 	 344.492 	 708.857 	 592.322 	 478.931 	 0 	 0 	 0 	 169.356 	 0.285919 	 57 	 58 	 265.158 	 18.2145 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 57 	 57 	 57 	 0 	 134.037 	 -93.9808 	 35.2052 	 0.163699 	 215.06 	 111 	 150 	 299.378 	 -76.2536 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 111 	 111 	 111 	 0 	  Tumour 
2 	 64.387 	 850.808 	 129.252 	 190.118 	 6783 	 117.446 	 84.9598 	 0.690434 	 0.837304 	 400.777 	 1195.98 	 553.001 	 0.462384 	 369.621 	 1070.21 	 13522 	 0.826579 	 615.026 	 1177.37 	 1429.8 	 1316.41 	 0.24952 	 1629.62 	 1385.05 	 473.826 	 0.331393 	 93 	 97 	 248.667 	 1.72327 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 93 	 93 	 93 	 0 	 247.472 	 -37.9801 	 32.2265 	 0.0981037 	 328.495 	 172 	 290 	 361.843 	 -13.789 	 2 	 1894.99 	 0.279373 	 21.1333 	 21.1333 	 21.1333 	 0 	 143 	 29 	 86 	 80.6102 	  Tumour 
3 	 101.993 	 152.795 	 115.109 	 183.992 	 5626 	 105.985 	 69.5782 	 0.754336 	 0.96534 	 302.35 	 1315.08 	 520.125 	 0.395507 	 337.185 	 1189.32 	 7458 	 0.88638 	 401.505 	 1091.6 	 1107.47 	 994.079 	 0.135838 	 1393.04 	 1090.59 	 736.872 	 0.665365 	 65 	 67 	 274.015 	 27.072 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 65 	 65 	 65 	 0 	 404.594 	 64.8402 	 153.787 	 0.316685 	 485.616 	 220 	 833 	 322.505 	 -53.1275 	 4 	 252.06 	 0.0448027 	 45.9468 	 10.2137 	 28.1081 	 12.5389 	 73 	 39 	 55 	 16.1452 	  Tumour 
4 	 122.518 	 736.377 	 694.426 	 118.004 	 8373 	 165.879 	 67.8302 	 0.912573 	 0.903626 	 436.96 	 1193.66 	 533.478 	 0.446927 	 647.789 	 1067.89 	 11869 	 0.780291 	 638.642 	 1086.05 	 1198.43 	 1085.04 	 0.161818 	 1766.42 	 1139.22 	 529.673 	 0.441972 	 138 	 199 	 247.848 	 0.90443 	 2 	 5379.15 	 0.64244 	 13.151 	 13.151 	 13.151 	 0 	 91 	 47 	 69 	 31.1127 	 174.444 	 -33.1416 	 62.0989 	 0.243081 	 255.466 	 251 	 3236 	 325.932 	 -49.6997 	 5 	 1545.42 	 0.184572 	 109.883 	 17.305 	 63.8796 	 36.1058 	 65 	 36 	 50.2 	 10.9864 	  Tumour 
5 	 105.15 	 634.362 	 591.354 	 188.831 	 4497 	 84.6425 	 68.4146 	 0.588802 	 0.980807 	 257.421 	 1239.42 	 637.513 	 0.514362 	 883.711 	 1113.66 	 5146 	 0.984692 	 271.179 	 435.215 	 440.823 	 327.431 	 0 	 0 	 0 	 228.483 	 0.51831 	 52 	 63 	 375.269 	 128.326 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 52 	 52 	 52 	 0 	 87.601 	 11.7266 	 31.3346 	 0.185826 	 168.623 	 89 	 529 	 356.101 	 -19.5309 	 2 	 184.971 	 0.0411322 	 51.4045 	 51.4045 	 51.4045 	 0 	 64 	 25 	 44.5 	 27.5772 	  Tumour 
6 	 111.245 	 397.889 	 356.976 	 52.3546 	 3878 	 87.4244 	 57.5692 	 0.752578 	 0.936715 	 259.765 	 997.121 	 348.872 	 0.349879 	 511.353 	 871.357 	 5476 	 0.801405 	 379.262 	 1515.12 	 1444.91 	 1331.52 	 0.249231 	 1503.81 	 1424.86 	 543.931 	 0.376447 	 51 	 52 	 222.176 	 -24.7669 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 51 	 51 	 51 	 0 	 471.128 	 148.031 	 83.4566 	 0.151148 	 552.15 	 268 	 424 	 327.451 	 -48.1805 	 2 	 2279.3 	 0.587751 	 21.8203 	 21.8203 	 21.8203 	 0 	 190 	 78 	 134 	 79.196 	  Tumour 
7 	 128.004 	 527.351 	 487.091 	 107.968 	 3925 	 96.0172 	 56.8726 	 0.805705 	 0.931419 	 267.279 	 2016.44 	 544.922 	 0.27024 	 1354.36 	 1890.67 	 8100 	 0.953614 	 376.919 	 493.447 	 463.885 	 350.493 	 0 	 0 	 0 	 114.084 	 0.245933 	 94 	 132 	 175.787 	 -71.1562 	 2 	 884.601 	 0.225376 	 9.06006 	 9.06006 	 9.06006 	 0 	 47 	 47 	 47 	 0 	 98.4421 	 8.59798 	 24.6498 	 0.137352 	 179.464 	 184 	 669 	 259.391 	 -116.241 	 3 	 904.967 	 0.230565 	 43.898 	 11.848 	 30.6374 	 14.9593 	 69 	 56 	 61.3333 	 6.80686 	  Tumour 
8 	 207.437 	 330.489 	 319.312 	 105.589 	 11062 	 174.126 	 82.4498 	 0.88079 	 0.929189 	 476.517 	 1317.56 	 472.625 	 0.358713 	 777.683 	 1191.8 	 7685 	 0.884452 	 402.233 	 1550.24 	 1918.95 	 1805.56 	 0.450292 	 2022.69 	 1872.46 	 709.649 	 0.369811 	 155 	 1777 	 280.432 	 33.4889 	 3 	 1477.71 	 0.133584 	 124.498 	 61.5107 	 83.7046 	 31.6391 	 55 	 48 	 51.6667 	 3.51188 	 491.946 	 80.6704 	 78.1923 	 0.136469 	 572.968 	 808 	 4139 	 410.864 	 35.2319 	 9 	 2569.87 	 0.232315 	 112.43 	 9.81459 	 51.0527 	 27.3149 	 254 	 42 	 89.7778 	 73.4077 	  Tumour 
9 	 156.762 	 422.502 	 248.685 	 52.3546 	 1290 	 52.5791 	 31.4027 	 0.802057 	 0.966292 	 141.054 	 722.704 	 162.783 	 0.225241 	 115.883 	 596.94 	 2234 	 0.966263 	 187.782 	 832.4 	 1220.96 	 1107.57 	 0.721212 	 1534.03 	 1037.81 	 625.372 	 0.512195 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 208.573 	 -165.68 	 40.5588 	 0.140054 	 289.595 	 54 	 54 	 201 	 -174.632 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 54 	 54 	 54 	 0 	  Other 
10 	 233.995 	 835.215 	 808.852 	 65.0308 	 9262 	 198.819 	 69.744 	 0.936453 	 0.78233 	 519.688 	 1857.15 	 679.738 	 0.366012 	 914.268 	 1731.38 	 17287 	 0.809089 	 736.323 	 1307.24 	 1325.55 	 1212.16 	 0.373591 	 1472.24 	 1279.91 	 388.662 	 0.293208 	 222 	 1065 	 273.495 	 26.5521 	 3 	 347.403 	 0.0375084 	 89.7246 	 9.21954 	 59.8194 	 39.4103 	 108 	 57 	 74 	 29.4449 	 274.051 	 -10.7077 	 37.2234 	 0.104833 	 355.073 	 548 	 4434 	 443.743 	 68.1107 	 6 	 3749.94 	 0.404874 	 132.543 	 17.4486 	 65.0246 	 32.3864 	 175 	 18 	 91.3333 	 68.0666 	  Tumour 
