rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 	
1 	 42.2698 	 945.319 	 60.0167 	 843.263 	 3892 	 93.6339 	 56.5527 	 0.797002 	 0.873429 	 294.492 	 1102.65 	 305.538 	 0.277094 	 216.486 	 981.894 	 867.323 	 -12.4228 	 123.148 	 0.111973 	 1099.8 	 8492 	 0.887264 	 434.267 	 639.893 	 893.154 	 810.147 	 0.349633 	 1010.3 	 884.242 	 301.581 	 0.337659 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
2 	 52.6928 	 885.896 	 60.0167 	 814.686 	 2712 	 65.2103 	 54.1241 	 0.557772 	 0.92057 	 216.267 	 1151.55 	 268.345 	 0.233029 	 214.672 	 1030.8 	 798.729 	 -134.486 	 127.35 	 0.123496 	 1031.21 	 7341 	 0.912492 	 402.953 	 678.877 	 1062.14 	 979.134 	 0.435696 	 1295.75 	 998.63 	 561.312 	 0.528472 	 182 	 208 	 305.247 	 174.997 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 182 	 182 	 182 	 0 	 36 	 38 	 128.194 	 14.7807 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 36 	 36 	 36 	 0 	  Tumour 
3 	 77.8386 	 59.1036 	 886.731 	 584.219 	 6128 	 117.099 	 67.3128 	 0.818269 	 0.953181 	 336.191 	 1526.79 	 483.623 	 0.316758 	 621.269 	 1406.03 	 883.48 	 -4.29658 	 165.358 	 0.148176 	 1115.96 	 7669 	 0.91352 	 399.095 	 499.749 	 811.777 	 728.77 	 0.321716 	 1472.78 	 657.972 	 594.933 	 0.732877 	 468 	 2105 	 287.724 	 157.474 	 6 	 669.773 	 0.109297 	 72.0778 	 11.8527 	 39.5491 	 19.5977 	 198 	 28 	 78 	 61.9258 	 152 	 868 	 144.842 	 31.4283 	 3 	 380.989 	 0.0621719 	 44.0454 	 28.2424 	 33.9418 	 7.84763 	 62 	 45 	 50.6667 	 9.81495 	  Tumour 
4 	 80.2877 	 427.217 	 519.392 	 664.116 	 7262 	 100.486 	 92.4914 	 0.390874 	 0.965691 	 332.735 	 1109.04 	 195.627 	 0.176393 	 208.428 	 988.284 	 838.249 	 -60.7555 	 93.3106 	 0.0871468 	 1070.73 	 9816 	 0.820393 	 489.238 	 1016.71 	 1473.22 	 1390.21 	 0.366013 	 1747.1 	 1405.39 	 563.838 	 0.382725 	 708 	 3033 	 209.194 	 78.9435 	 8 	 1182.24 	 0.162799 	 59.0184 	 11.8767 	 36.4051 	 13.6772 	 272 	 7 	 88.5 	 79.6869 	 60 	 61 	 135.417 	 22.0029 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 60 	 60 	 60 	 0 	  Tumour 
5 	 125.535 	 699.295 	 259.946 	 711.016 	 13526 	 153.015 	 112.647 	 0.676783 	 0.987443 	 454.416 	 1316.14 	 275.274 	 0.209152 	 608.719 	 1195.39 	 770.283 	 -224.407 	 164.49 	 0.164036 	 1002.76 	 21466 	 0.943353 	 636.794 	 648.217 	 1442.45 	 1359.44 	 0.174419 	 1147.28 	 1454.06 	 401.163 	 0.278112 	 1351 	 5406 	 285.241 	 154.991 	 9 	 5701.64 	 0.421532 	 94.1913 	 7.87464 	 50.323 	 22.4865 	 815 	 31 	 150.111 	 250.705 	 212 	 912 	 156.528 	 43.1145 	 3 	 4731.38 	 0.349799 	 50.1422 	 15.1203 	 35.8747 	 16.4485 	 74 	 64 	 70.6667 	 5.7735 	  Tumour 
6 	 131.378 	 175.326 	 775.126 	 540.334 	 6519 	 98.9259 	 84.1923 	 0.525063 	 0.967929 	 313.806 	 1266.32 	 303.897 	 0.239984 	 396.397 	 1145.57 	 835.198 	 -86.1745 	 179.558 	 0.168176 	 1067.68 	 12828 	 0.917006 	 515.966 	 891.09 	 1469.04 	 1386.03 	 0.475104 	 1735.68 	 1351.76 	 806.475 	 0.54898 	 543 	 1743 	 235.114 	 104.864 	 7 	 1860.97 	 0.285469 	 62.0264 	 10.5524 	 30.8914 	 13.5139 	 151 	 24 	 77.5714 	 48.466 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
7 	 165.004 	 294.342 	 662.518 	 534.434 	 14569 	 145.052 	 128.409 	 0.465103 	 0.978508 	 482.742 	 1674.12 	 473.213 	 0.282665 	 790.802 	 1553.36 	 753.234 	 -181.216 	 105.092 	 0.106615 	 985.714 	 18174 	 0.92663 	 607.806 	 629.007 	 1724.94 	 1641.93 	 0.7041 	 1770.95 	 1674.07 	 704.143 	 0.408214 	 1830 	 9233 	 282.078 	 151.828 	 15 	 3516.46 	 0.241366 	 112.602 	 8.4917 	 62.4708 	 26.8223 	 591 	 33 	 122 	 149.883 	 549 	 5861 	 152.725 	 39.3112 	 9 	 1526.18 	 0.104755 	 101.883 	 9.86746 	 54.5812 	 22.3318 	 112 	 43 	 61 	 22.6164 	  Tumour 
8 	 169.292 	 421.453 	 539.171 	 582.979 	 8422 	 110.816 	 101.852 	 0.39402 	 0.939641 	 376.434 	 1262.31 	 296.967 	 0.235256 	 685.012 	 1141.56 	 718.825 	 -358.245 	 136.938 	 0.143947 	 951.304 	 11870 	 0.941316 	 475.581 	 981.83 	 1661.56 	 1578.55 	 0.662192 	 1513.96 	 1732.97 	 541.141 	 0.325683 	 1184 	 4415 	 261.661 	 131.411 	 8 	 1598.54 	 0.189805 	 84.7835 	 10.5064 	 46.7228 	 22.1837 	 396 	 44 	 148 	 129.057 	 61 	 62 	 138.852 	 25.4387 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 61 	 61 	 61 	 0 	  Tumour 
9 	 208.886 	 838.723 	 197.8 	 651.777 	 10099 	 128.577 	 100.895 	 0.619873 	 0.957433 	 428.073 	 1031.47 	 212.949 	 0.206453 	 529.597 	 910.711 	 663.296 	 -28.4786 	 162.173 	 0.181043 	 895.775 	 34027 	 0.922816 	 827.262 	 523.296 	 1303.64 	 1220.63 	 0.534282 	 1358.5 	 1264.11 	 378.621 	 0.290435 	 495 	 1923 	 162.071 	 31.8207 	 4 	 3099.13 	 0.306875 	 50.9778 	 13.6683 	 33.8114 	 12.295 	 208 	 27 	 99 	 73.5493 	 91 	 98 	 135.242 	 21.828 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 91 	 91 	 91 	 0 	  Tumour 
10 	 186.005 	 45.3133 	 911.447 	 476.944 	 3977 	 85.6333 	 59.7566 	 0.716274 	 0.9567 	 256.35 	 1297.96 	 361.794 	 0.278741 	 657.353 	 1177.21 	 675.845 	 -130.332 	 134.269 	 0.147821 	 908.324 	 6628 	 0.91019 	 373.439 	 695.996 	 1140.34 	 1057.33 	 0.501433 	 1414.42 	 1046.08 	 550.816 	 0.483028 	 443 	 2497 	 195.361 	 65.1112 	 9 	 1037.74 	 0.260935 	 60.3415 	 6.64835 	 33.0516 	 14.1311 	 108 	 6 	 49.2222 	 31.5507 	 42 	 44 	 131.714 	 18.3005 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 42 	 42 	 42 	 0 	  Tumour 
