rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
11 	 307.538 	 698.961 	 244.248 	 162.29 	 1876 	 60.9847 	 40.0873 	 0.7536 	 0.947954 	 181.439 	 843.344 	 206.156 	 0.24445 	 569.966 	 762.824 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3466 	 0.898626 	 271.279 	 1636.44 	 1643.4 	 1590.01 	 0.410256 	 1424.59 	 1707.87 	 610.279 	 0.371351 	 274.769 	 -59.5718 	 49.0377 	 0.151013 	 324.725 	 254 	 277 	 306.449 	 186.85 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 254 	 254 	 254 	 0 	  Tumour 
12 	 354.702 	 584.1 	 184.491 	 88.7694 	 5471 	 97.0055 	 77.2734 	 0.604523 	 0.884989 	 321.664 	 1167.37 	 328.019 	 0.280991 	 830.353 	 1086.85 	 30 	 30 	 518.8 	 89.566 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 30 	 30 	 30 	 0 	 9190 	 0.832578 	 450.291 	 786.006 	 1358.76 	 1305.37 	 0.568293 	 1432.46 	 1310.69 	 670.692 	 0.493605 	 264.533 	 -39.2855 	 58.1653 	 0.184952 	 314.489 	 346 	 1392 	 254.072 	 134.473 	 3 	 1749.75 	 0.319823 	 51.5364 	 26.8509 	 37.8186 	 11.2433 	 175 	 60 	 115.333 	 57.6223 	  Tumour 
13 	 356.456 	 523.131 	 158.521 	 118.802 	 3715 	 79.144 	 60.438 	 0.645635 	 0.972259 	 240.409 	 1340.35 	 483.889 	 0.361018 	 1036.06 	 1259.83 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 6839 	 0.95264 	 339.421 	 885.705 	 1070.08 	 1016.69 	 0.389262 	 1222.34 	 1027.71 	 648.024 	 0.605586 	 244.553 	 -61.549 	 51.6962 	 0.175533 	 294.51 	 288 	 1414 	 280.392 	 160.793 	 3 	 473.216 	 0.12738 	 43.2213 	 35.4005 	 38.539 	 3.69634 	 139 	 28 	 96 	 59.5735 	  Tumour 
14 	 367.951 	 681.12 	 260.969 	 104.661 	 6762 	 98.8202 	 88.4037 	 0.446885 	 0.95603 	 331.463 	 1276.7 	 419.171 	 0.328323 	 943.381 	 1196.18 	 152 	 1335 	 523.855 	 94.6212 	 4 	 1131.66 	 0.167356 	 47.8774 	 13.3625 	 35.8643 	 12.091 	 45 	 26 	 38 	 8.3666 	 9178 	 0.898483 	 417.362 	 688.654 	 1397.81 	 1344.42 	 0.338798 	 1154.76 	 1429.39 	 558.329 	 0.39943 	 220.543 	 -55.8183 	 61.7537 	 0.228295 	 270.499 	 500 	 2242 	 225.64 	 106.041 	 5 	 879.412 	 0.130052 	 65.8772 	 14.9926 	 36.7765 	 13.5371 	 152 	 71 	 100 	 32.4885 	  Tumour 
15 	 368.453 	 226.369 	 345.743 	 214.217 	 4149 	 91.9248 	 58.9405 	 0.767389 	 0.926944 	 276.735 	 891.74 	 323.147 	 0.362378 	 596.617 	 811.22 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 4921 	 0.951286 	 283.279 	 157.947 	 151.106 	 97.7146 	 0 	 0 	 152.4 	 90.8194 	 0.601032 	 54.077 	 17.2908 	 17.0116 	 0.16352 	 104.033 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
16 	 404.767 	 156.26 	 350.721 	 293.373 	 4369 	 122.858 	 46.8958 	 0.924283 	 0.90568 	 312.09 	 898.493 	 319.433 	 0.35552 	 635.057 	 817.974 	 45 	 45 	 445.622 	 16.3882 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 5303 	 0.92162 	 329.806 	 123.087 	 106.064 	 52.6725 	 0 	 0 	 106.389 	 35.8196 	 0.337718 	 48.5162 	 14.398 	 20.0835 	 0.203951 	 98.4724 	 70 	 71 	 137.6 	 18.0011 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 70 	 70 	 70 	 0 	  DCIS 
17 	 441.271 	 605.77 	 668.692 	 88.7694 	 1067 	 49.4189 	 27.8578 	 0.825975 	 0.960396 	 135.841 	 507.227 	 120.668 	 0.237898 	 315.106 	 426.707 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3167 	 0.96057 	 229.095 	 1344.55 	 1245.92 	 1192.53 	 0.172414 	 2130.46 	 1147.02 	 853.862 	 0.685326 	 178.042 	 -57.9408 	 48.797 	 0.214024 	 227.998 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
18 	 467.24 	 95.5836 	 398.779 	 375.926 	 1035 	 52.759 	 28.758 	 0.838383 	 0.822734 	 155.196 	 600.81 	 138.707 	 0.230867 	 410.811 	 520.29 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 1496 	 0.894737 	 165.882 	 87.4953 	 90.0068 	 36.6157 	 0 	 0 	 0 	 41.6232 	 0.462445 	 18.438 	 0.134015 	 13.4585 	 0.196778 	 68.3942 	 36 	 40 	 141.528 	 21.9289 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 36 	 36 	 36 	 0 	  Other 
19 	 644.931 	 147.252 	 582.306 	 460.245 	 2579 	 66.3147 	 49.97 	 0.657416 	 0.96773 	 198.066 	 979.293 	 366.726 	 0.37448 	 729.292 	 898.774 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3154 	 0.975866 	 213.581 	 114.659 	 92.2432 	 38.8521 	 0 	 0 	 0 	 19.382 	 0.210119 	 46.9034 	 25.6921 	 15.4633 	 0.159647 	 96.8596 	 97 	 185 	 128.32 	 8.72072 	 2 	 689.393 	 0.26731 	 16.9395 	 16.9395 	 16.9395 	 0 	 59 	 38 	 48.5 	 14.8492 	  DCIS 
20 	 719.048 	 750.555 	 955.358 	 357.912 	 3740 	 113.611 	 42.46 	 0.927537 	 0.953838 	 283.12 	 869.138 	 321.173 	 0.369531 	 630.469 	 788.619 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 4561 	 0.957188 	 298.149 	 113.482 	 94.6047 	 41.2136 	 0 	 0 	 0 	 42.1753 	 0.445805 	 47.3841 	 23.4325 	 20.3779 	 0.209347 	 97.3404 	 65 	 68 	 114.662 	 -4.93733 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 65 	 65 	 65 	 0 	  DCIS 
