rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NucAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 53.0299 	 849.19 	 69.3181 	 183.33 	 3448 	 75.8816 	 59.6573 	 0.617986 	 0.951697 	 240.492 	 1987.97 	 590.307 	 0.296939 	 605.302 	 1543.11 	 5479 	 0.913623 	 326.125 	 1021.46 	 1195.51 	 581.842 	 0.236066 	 1169.85 	 1194.92 	 232.091 	 0.194136 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 58.0051 	 -12.3969 	 20.3566 	 0.138785 	 146.677 	 104 	 109 	 95.5577 	 29.0696 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 104 	 104 	 104 	 0 	  Tumour 
2 	 83.8103 	 787.194 	 69.3181 	 128.082 	 6546 	 98.2301 	 86.9038 	 0.466168 	 0.936079 	 326.635 	 1853.27 	 484.853 	 0.261621 	 347.767 	 1408.4 	 9291 	 0.900989 	 438.309 	 1251.45 	 1438.78 	 825.112 	 0.179803 	 1144.88 	 1467.87 	 317.009 	 0.220332 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 48.2173 	 -50.6695 	 20.64 	 0.150779 	 136.889 	 513 	 1213 	 86.193 	 19.7048 	 3 	 1493.26 	 0.228118 	 35.3889 	 20.2472 	 29.0753 	 7.04612 	 214 	 102 	 171 	 60.3573 	  Tumour 
3 	 114.75 	 216.9 	 188.799 	 172.557 	 3636 	 83.7551 	 56.5474 	 0.737679 	 0.95962 	 243.179 	 1943.5 	 713.807 	 0.36728 	 809.84 	 1498.63 	 5786 	 0.921044 	 342.51 	 952.604 	 1002.77 	 389.103 	 0 	 0 	 0 	 122.218 	 0.12188 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 -0.966369 	 -67.6151 	 11.236 	 0.128111 	 87.7054 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
4 	 119.566 	 415.072 	 134.974 	 81.2527 	 3204 	 87.3036 	 49.1677 	 0.826333 	 0.938214 	 251.765 	 1678.64 	 414.18 	 0.246735 	 346.912 	 1233.78 	 5602 	 0.877231 	 363.966 	 1052.58 	 1129.72 	 516.049 	 0.324242 	 1341.27 	 1086.06 	 259.599 	 0.229792 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 48.4696 	 5.00456 	 19.5987 	 0.142909 	 137.141 	 57 	 60 	 92.5088 	 26.0206 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 57 	 57 	 57 	 0 	  DCIS 
5 	 121.827 	 661.722 	 445.055 	 130.648 	 3589 	 101.803 	 46.4269 	 0.889956 	 0.948217 	 263.765 	 1622.33 	 561.403 	 0.346047 	 647.785 	 1177.47 	 6423 	 0.916393 	 370.167 	 1188.73 	 1336.15 	 722.486 	 0 	 0 	 1335.2 	 353.705 	 0.264719 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 -4.04462 	 -40.823 	 18.5234 	 0.218883 	 84.6272 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
6 	 142.932 	 548.052 	 332.182 	 161.988 	 3117 	 76.913 	 53.3654 	 0.720129 	 0.943688 	 231.037 	 1557.22 	 462.235 	 0.296834 	 723.165 	 1112.35 	 5549 	 0.858447 	 369.581 	 992.743 	 1056.33 	 442.665 	 0 	 0 	 1057.95 	 191.462 	 0.181252 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 4.84342 	 -5.91522 	 16.7491 	 0.179106 	 93.5152 	 248 	 696 	 93.4153 	 26.9272 	 2 	 123.821 	 0.0397243 	 42.0115 	 42.0115 	 42.0115 	 0 	 125 	 123 	 124 	 1.41421 	  DCIS 
7 	 199.449 	 395.72 	 475.946 	 81.2527 	 7098 	 101.653 	 91.4844 	 0.435948 	 0.965977 	 339.019 	 3143.4 	 512.983 	 0.163194 	 1572.88 	 2698.54 	 9834 	 0.908117 	 476.35 	 903.29 	 1091.69 	 478.027 	 0.533181 	 1159.48 	 1067.72 	 229.196 	 0.209945 	 69 	 69 	 387.87 	 13.8696 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 69 	 69 	 69 	 0 	 47.5683 	 -36.7477 	 20.9473 	 0.153753 	 136.24 	 240 	 418 	 99.4792 	 32.991 	 2 	 1473.69 	 0.207621 	 22.4644 	 22.4644 	 22.4644 	 0 	 171 	 69 	 120 	 72.1249 	  Tumour 
8 	 206.346 	 747.595 	 538.741 	 128.082 	 3818 	 99.2779 	 49.9227 	 0.864369 	 0.951882 	 267.806 	 1599.37 	 402.271 	 0.251518 	 746.442 	 1154.51 	 9364 	 0.791413 	 556.735 	 1525.06 	 1728.24 	 1114.57 	 0 	 0 	 1726.69 	 300.019 	 0.173598 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 23.0972 	 -29.4243 	 14.8995 	 0.133306 	 111.769 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
9 	 239.436 	 336.744 	 544.738 	 113.159 	 5547 	 114.566 	 67.0853 	 0.81063 	 0.949504 	 314.049 	 2526.87 	 484.67 	 0.191807 	 943.904 	 2082 	 6826 	 0.886839 	 401.22 	 863.677 	 1022.92 	 409.255 	 0.621469 	 1076.89 	 993.943 	 263.064 	 0.257169 	 69 	 69 	 446 	 72 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 69 	 69 	 69 	 0 	 67.2564 	 -8.16424 	 26.4024 	 0.169324 	 155.928 	 619 	 1931 	 99.315 	 32.8269 	 4 	 559.193 	 0.10081 	 71.0224 	 17.5522 	 40.6109 	 20.5078 	 226 	 69 	 154.75 	 65.3777 	  Tumour 
10 	 291.344 	 884.363 	 689.83 	 228.6 	 4571 	 117.48 	 51.1078 	 0.900415 	 0.921016 	 302.434 	 2130.74 	 697.118 	 0.327171 	 1264.22 	 1685.88 	 6628 	 0.940275 	 361.848 	 1268.45 	 1530.14 	 916.475 	 0.260479 	 1178.18 	 1576.43 	 292.752 	 0.191324 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 29.3479 	 -0.912554 	 13.7417 	 0.116435 	 118.02 	 39 	 39 	 87.0769 	 20.5888 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 39 	 39 	 39 	 0 	  Fib 
