rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	CellLabels 	
1 	 51.1182 	 2390.87 	 71.8679 	 553.189 	 3350 	 68.9125 	 62.1485 	 0.432056 	 0.981254 	 219.823 	 1635.4 	 716.868 	 0.438343 	 435.924 	 1505.3 	 254.609 	 -32.6302 	 51.3402 	 0.152004 	 337.754 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 155 	 222 	 134.703 	 32.0255 	 2 	 122.202 	 0.0364781 	 11.5354 	 11.5354 	 11.5354 	 0 	 88 	 67 	 77.5 	 14.8492 	 4048 	 0.979434 	 240.267 	 81.294 	 62.014 	 8.05333 	 0 	 0 	 61.5674 	 11.2663 	 0.181674 	  DCIS 
2 	 52.054 	 1448.94 	 42.9535 	 823.751 	 1686 	 72.1665 	 35.2096 	 0.872903 	 0.830542 	 202.551 	 1138.61 	 292.641 	 0.257016 	 12.7806 	 1008.51 	 309.908 	 -40.5838 	 69.6493 	 0.177201 	 393.053 	 111 	 115 	 311.432 	 97.8821 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 111 	 111 	 111 	 0 	 87 	 93 	 140.793 	 38.1154 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 87 	 87 	 87 	 0 	 2892 	 0.778256 	 278.225 	 116.713 	 113.277 	 59.3163 	 0.261538 	 123.515 	 110.818 	 42.5678 	 0.375785 	  DCIS 
3 	 76.0216 	 631.503 	 1759.18 	 1270.86 	 3474 	 142.11 	 37.1577 	 0.965211 	 0.806969 	 321.404 	 1305.95 	 376.167 	 0.288042 	 320.27 	 1175.85 	 373.225 	 58.469 	 50.0097 	 0.109581 	 456.37 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 68 	 69 	 125.853 	 23.1752 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 68 	 68 	 68 	 0 	 6042 	 0.875145 	 390.51 	 65.2572 	 55.5577 	 1.59707 	 0 	 0 	 0 	 5.68885 	 0.102395 	  Fib 
4 	 61.3398 	 145.068 	 2246.02 	 1655.28 	 2699 	 78.0463 	 44.6045 	 0.820593 	 0.979673 	 210.551 	 1826.89 	 742.233 	 0.406281 	 735.392 	 1696.8 	 256.035 	 -37.9198 	 47.9199 	 0.141281 	 339.18 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 84 	 90 	 140.131 	 37.4532 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 84 	 84 	 84 	 0 	 4288 	 0.974545 	 270.912 	 67.1588 	 53.0078 	 -0.952809 	 0 	 0 	 0 	 4.0429 	 0.0762699 	  DCIS 
5 	 64.4264 	 1972.17 	 419.202 	 676.528 	 584 	 36.0957 	 21.3122 	 0.807084 	 0.957377 	 97.0122 	 999.339 	 179.528 	 0.179647 	 -500.744 	 869.241 	 186.627 	 -131.335 	 31.9237 	 0.118336 	 269.772 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 67 	 70 	 92.1045 	 -10.5732 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 67 	 67 	 67 	 0 	 1345 	 0.96902 	 145.456 	 72.0803 	 67.7319 	 13.7713 	 0 	 0 	 0 	 20.7254 	 0.305991 	  Other 
6 	 85.9628 	 1244.96 	 1146.53 	 890.434 	 3871 	 101.784 	 55.8198 	 0.836208 	 0.8314 	 284.049 	 1793.77 	 736.147 	 0.410392 	 622.84 	 1663.67 	 310.666 	 -17.5712 	 45.2472 	 0.114896 	 393.811 	 68 	 236 	 254.721 	 41.1703 	 2 	 1101.84 	 0.284639 	 28.7465 	 28.7465 	 28.7465 	 0 	 42 	 26 	 34 	 11.3137 	 232 	 627 	 133.181 	 30.5033 	 3 	 328.83 	 0.0849471 	 28.4324 	 16.0643 	 23.047 	 5.6679 	 124 	 45 	 77.3333 	 41.4045 	 5403 	 0.825263 	 355.439 	 89.1068 	 79.4864 	 25.5258 	 0.480363 	 89.9434 	 75.9508 	 26.5093 	 0.333507 	  DCIS 
7 	 88.6591 	 2329.57 	 71.8679 	 545.389 	 2904 	 67.5499 	 58.2201 	 0.507108 	 0.954008 	 217.48 	 1203.61 	 575.864 	 0.478449 	 301.716 	 1073.51 	 282.966 	 26.8703 	 51.2357 	 0.139946 	 366.111 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 166 	 446 	 109.548 	 6.87049 	 2 	 415.327 	 0.143019 	 34.2225 	 34.2225 	 34.2225 	 0 	 109 	 57 	 83 	 36.7696 	 3610 	 0.960106 	 236.167 	 90.5978 	 77.7692 	 23.8086 	 0 	 0 	 78.7163 	 43.2009 	 0.555501 	  DCIS 
8 	 99.5645 	 1169.33 	 1222.98 	 924.885 	 2450 	 75.6897 	 41.7651 	 0.83398 	 0.968379 	 204.066 	 1461.41 	 584.577 	 0.40001 	 339.83 	 1331.31 	 228.504 	 -50.2751 	 29.1706 	 0.0936009 	 311.649 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 4260 	 0.956444 	 274.225 	 71.4047 	 69.7344 	 15.7738 	 0.222656 	 64.4912 	 69.8769 	 19.7932 	 0.283838 	  Lymph 
9 	 94.2051 	 1440.29 	 951.972 	 788.365 	 1497 	 60.7368 	 32.8776 	 0.840821 	 0.943289 	 164.61 	 1348.35 	 424.065 	 0.314506 	 428.449 	 1218.25 	 222.805 	 -44.0534 	 23.0856 	 0.0754554 	 305.951 	 53 	 55 	 217.453 	 3.90252 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 53 	 53 	 53 	 0 	 90 	 209 	 122.522 	 19.8445 	 2 	 82.5379 	 0.0551355 	 20.6155 	 20.6155 	 20.6155 	 0 	 45 	 45 	 45 	 0 	 2595 	 0.959689 	 210.426 	 97.921 	 105.48 	 51.5192 	 0.353535 	 122.571 	 105.951 	 38.3379 	 0.363462 	  DCIS 
10 	 98.9316 	 2051.48 	 343.372 	 638.078 	 1330 	 62.9192 	 27.5223 	 0.899256 	 0.956147 	 161.782 	 1054.14 	 238.02 	 0.225795 	 241.827 	 924.043 	 249.274 	 -11.3208 	 67.1983 	 0.202149 	 332.42 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 90 	 198 	 111.511 	 8.8334 	 2 	 250.888 	 0.188638 	 19.2094 	 19.2094 	 19.2094 	 0 	 45 	 45 	 45 	 0 	 2415 	 0.951537 	 207.113 	 84.7839 	 72.6667 	 18.706 	 0 	 0 	 0 	 10.3306 	 0.142164 	  DCIS 
