rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 67.9303 	 729.033 	 74.7061 	 406.617 	 5598 	 113.437 	 63.7549 	 0.827117 	 0.93487 	 328.25 	 1447.19 	 302.201 	 0.208819 	 335.338 	 1294.32 	 6844 	 0.885382 	 424.208 	 301.469 	 327.622 	 245.049 	 0.506427 	 342.284 	 319.767 	 67.3244 	 0.205494 	 45 	 45 	 225.4 	 -24.9574 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 42.6694 	 4.44393 	 11.3333 	 0.134171 	 84.4693 	 90 	 176 	 87.9444 	 24.5862 	 2 	 180.278 	 0.0322039 	 16.4012 	 16.4012 	 16.4012 	 0 	 45 	 45 	 45 	 0 	  Tumour 
2 	 102.493 	 504.985 	 64.5368 	 427.177 	 4557 	 87.8672 	 66.2521 	 0.656871 	 0.97664 	 265.321 	 1645.43 	 323.148 	 0.196392 	 552.421 	 1492.56 	 6557 	 0.828218 	 422.794 	 268.555 	 306.668 	 224.095 	 0.474227 	 325.783 	 295.779 	 53.5949 	 0.174765 	 45 	 45 	 261.933 	 11.5759 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 43.7898 	 9.42674 	 8.08277 	 0.0944363 	 85.5896 	 90 	 315 	 84.5333 	 21.1751 	 2 	 157.577 	 0.0345791 	 34.0588 	 34.0588 	 34.0588 	 0 	 45 	 45 	 45 	 0 	  Tumour 
3 	 112.131 	 842.1 	 121.264 	 300.416 	 3662 	 85.8962 	 56.2997 	 0.755248 	 0.914585 	 252.794 	 1386.27 	 451.258 	 0.325521 	 268.035 	 1233.4 	 6231 	 0.836151 	 434.51 	 460.026 	 434.179 	 351.606 	 0.460784 	 382.84 	 452.46 	 75.3922 	 0.173643 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 52.7785 	 14.8383 	 10.2711 	 0.108599 	 94.5784 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
4 	 105.331 	 587.415 	 146.741 	 495.976 	 3490 	 72.3013 	 64.7898 	 0.443836 	 0.911941 	 244.451 	 1278.37 	 221.031 	 0.172901 	 151.565 	 1125.5 	 4400 	 0.843558 	 338.267 	 292.689 	 296.958 	 214.386 	 0.5623 	 316.438 	 287.229 	 56.2804 	 0.189523 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 45.8214 	 6.71135 	 8.34893 	 0.0952843 	 87.6212 	 90 	 124 	 84.0444 	 20.6862 	 2 	 193.093 	 0.0553276 	 9.84886 	 9.84886 	 9.84886 	 0 	 45 	 45 	 45 	 0 	  Tumour 
5 	 108.034 	 796.134 	 78.032 	 331.798 	 1867 	 55.5123 	 45.1672 	 0.581365 	 0.913405 	 182.125 	 1120.76 	 288.714 	 0.257606 	 19.4183 	 967.89 	 5929 	 0.878631 	 408.066 	 339.622 	 389.724 	 307.151 	 0.795756 	 393.54 	 390.032 	 51.4644 	 0.132054 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 51.4396 	 9.37031 	 9.52894 	 0.102199 	 93.2394 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
6 	 133.719 	 694.122 	 74.7061 	 390.366 	 5989 	 101.466 	 77.3661 	 0.647006 	 0.941223 	 312.191 	 1243.08 	 242.138 	 0.194788 	 359.699 	 1090.22 	 9736 	 0.81201 	 536.593 	 250.93 	 283.341 	 200.768 	 0.633065 	 310.411 	 269.346 	 68.5062 	 0.24178 	 45 	 45 	 216.578 	 -33.7796 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 29.2908 	 -5.67539 	 8.68261 	 0.122134 	 71.0907 	 45 	 45 	 81.5556 	 18.1973 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Tumour 
7 	 140.023 	 367.982 	 368.11 	 287.341 	 4652 	 99.9068 	 62.1682 	 0.782809 	 0.932451 	 293.907 	 1218.24 	 280.774 	 0.230476 	 485.303 	 1065.37 	 6419 	 0.798185 	 442.794 	 257.171 	 271.076 	 188.503 	 0.318627 	 284.308 	 269.486 	 67.1994 	 0.247899 	 90 	 281 	 279.478 	 29.1204 	 2 	 915.976 	 0.196899 	 29.4109 	 29.4109 	 29.4109 	 0 	 45 	 45 	 45 	 0 	 37.66 	 -0.780878 	 9.73106 	 0.122465 	 79.4598 	 45 	 45 	 74.8 	 11.4417 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Tumour 
8 	 167.212 	 934.156 	 227.653 	 207.617 	 4836 	 99.8058 	 63.608 	 0.770601 	 0.936665 	 298.777 	 1276.53 	 355.715 	 0.278658 	 562.478 	 1123.66 	 9629 	 0.805437 	 530.007 	 283.33 	 311.327 	 228.754 	 0.210634 	 427.534 	 297.336 	 77.1346 	 0.247761 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 11.4802 	 -8.32002 	 3.87437 	 0.0727172 	 53.28 	 45 	 45 	 86.4 	 23.0417 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Tumour 
9 	 150.871 	 546.645 	 200.032 	 462.001 	 3540 	 74.9307 	 61.3343 	 0.574441 	 0.949826 	 236.693 	 1270.38 	 237.269 	 0.18677 	 780.978 	 1117.51 	 5262 	 0.86107 	 372.551 	 286.438 	 326.248 	 243.675 	 0.80236 	 333.945 	 320.046 	 43.0897 	 0.132077 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 44.6027 	 -14.6831 	 12.8404 	 0.148611 	 86.4025 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
10 	 162.811 	 465.532 	 279.632 	 385.105 	 4534 	 82.6627 	 71.0566 	 0.510973 	 0.94262 	 268.007 	 1575.04 	 373.222 	 0.23696 	 686.337 	 1422.17 	 5510 	 0.938991 	 326.267 	 249.695 	 288.824 	 206.251 	 0.803987 	 296.504 	 282.164 	 44.6213 	 0.154493 	 45 	 45 	 289.022 	 38.6648 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 52.4181 	 14.3873 	 9.39466 	 0.099712 	 94.2179 	 90 	 190 	 108.511 	 45.1528 	 2 	 149.817 	 0.0330429 	 19.2354 	 19.2354 	 19.2354 	 0 	 45 	 45 	 45 	 0 	  Tumour 
