rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NucAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 
1	48.9642	34.2645	168.573	404.432	1172	42.0078	35.778	0.524033	0.975042	131.296	1288.88	264.169	0.204961	426.776	828.88	1688	0.955832	163.782	986.04	1125.49	413.49	0	0	0	168.367	0.149595	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	-6.7841	-44.391	6.37421	0.0814951	78.2159	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
2	52.7085	931.064	264.093	350.407	1372	64.0356	27.56	0.902645	0.962807	158.853	1035.22	117.216	0.113229	168.711	575.22	2661	0.916638	245.037	999.447	1017.38	305.38	0	0	0	200.669	0.19724	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	2.2843	-24.7094	8.0098	0.0917669	87.2843	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Lymph 
3	81.5984	268.736	237.306	271.14	4549	86.781	67.5788	0.627362	0.966023	273.907	1657.66	499.234	0.301169	930.062	1197.66	8342	0.917006	388.475	1067.45	1270.38	558.38	0.115854	1238.18	1270.67	180.675	0.142221	45	45	370.956	105.956	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	45	45	45	0	7.2198	-5.94966	11.2249	0.121719	92.2198	32	37	116.375	27.375	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	32	32	32	0	  DCIS 
4	115.838	196.193	175.308	258.213	3588	81.4376	57.2082	0.711704	0.965295	237.279	1411.19	337.665	0.239276	392.66	951.19	5487	0.916639	322.434	1031.21	1185.98	473.98	0.156134	1222.98	1179.44	136.812	0.115358	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	1.6313	-18.8363	11.1756	0.129002	86.6313	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
5	147.205	447.015	424.468	204.267	4421	104.291	54.6564	0.851671	0.965706	286.291	1517.1	533.693	0.351784	553.908	1057.1	5326	0.870404	335.848	1286.53	1366.89	654.89	0.120567	1458.85	1356.14	114.239	0.0835762	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	10.8898	-41.7252	9.27424	0.0967177	95.8898	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
6	147.079	357.124	337.54	200.262	1422	65.7237	28.4348	0.901566	0.956931	166.51	1261.59	276.145	0.218886	612.684	801.59	4873	0.944929	281.279	1225.67	1326.31	614.31	0	0	1325.2	124.896	0.0941685	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	8.9937	-0.673968	8.17864	0.0870127	93.9937	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Lymph 
7	264.919	652.361	240.333	138.293	16284	230.921	90.4637	0.920071	0.958672	609.411	1991.26	697.876	0.350469	1280.8	1531.26	16696	0.950527	675.345	1359.99	1512.31	800.31	0	0	1509.92	283.017	0.187143	90	785	370.689	105.689	2	2540.48	0.156011	92.1954	92.1954	92.1954	0	45	45	45	0	87.11	32.8517	32.652	0.189716	172.11	333	5127	129.94	40.94	8	4034.93	0.247785	147.458	8.09136	74.658	43.6627	102	13	41.625	29.2621	  Tumour 
8	208.403	89.6633	168.573	256.55	3015	79.6488	51.8467	0.759128	0.889118	248.451	1469.14	361.307	0.245932	731.865	1009.14	6804	0.77327	441.103	1838.86	1932.68	1220.68	0.275401	1881.92	1935.71	180.613	0.0934518	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	17.012	-3.12897	6.455	0.0632772	102.012	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
9	235.485	516.877	517.576	138.293	4143	86.5027	61.7171	0.700686	0.968217	258.25	1765.82	697.188	0.394823	1084.5	1305.82	6122	0.917566	339.362	1084.58	1110.45	398.45	0.118056	1462.62	1085.77	258.979	0.233219	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	7.6647	2.90553	13.4683	0.145344	92.6647	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
10	251.75	93.2309	211.4	232.166	2040	67.4225	39.2466	0.813117	0.958196	186.752	1676.63	575.047	0.342977	987.809	1216.63	4641	0.916831	296.392	1563.13	1665.19	953.19	0.576	1791.92	1615.53	255.821	0.153629	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	10.1343	-1.91761	7.49789	0.0788137	95.1343	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
