rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	CellLabels 	
11 	 154.075 	 1447.5 	 1316.19 	 51.6624 	 2484 	 76.4909 	 44.1348 	 0.816749 	 0.95465 	 209.681 	 1479.46 	 537.455 	 0.363279 	 739.316 	 1379.62 	 67 	 70 	 1132.46 	 868.791 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 67 	 67 	 67 	 0 	 115 	 122 	 184.026 	 46.4399 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 115 	 115 	 115 	 0 	 229.059 	 -128.686 	 75.4569 	 0.265618 	 284.081 	 4338 	 0.845614 	 343.439 	 179.099 	 201.762 	 146.006 	 0.222571 	 386.465 	 174.562 	 117.39 	 0.581824 	  Tumour 
12 	 153.08 	 108.28 	 161.037 	 103.832 	 1476 	 49.4777 	 38.4347 	 0.629736 	 0.947368 	 154.953 	 675.293 	 109.464 	 0.162098 	 29.248 	 575.458 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 37 	 38 	 124.784 	 -12.8024 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 37 	 37 	 37 	 0 	 419.133 	 62.5422 	 34.0726 	 0.0718596 	 474.154 	 3399 	 0.903989 	 276.368 	 411.535 	 440.024 	 384.268 	 0.267717 	 332.941 	 453.205 	 215.324 	 0.489345 	  Other 
13 	 188.157 	 621.743 	 505.487 	 59.2115 	 4193 	 82.6462 	 66.1381 	 0.59966 	 0.968584 	 256.25 	 1310.14 	 430.133 	 0.328312 	 667.136 	 1210.3 	 100 	 474 	 1105.33 	 841.658 	 2 	 154.418 	 0.0368275 	 51.5014 	 51.5014 	 51.5014 	 0 	 55 	 45 	 50 	 7.07107 	 177 	 247 	 200.825 	 63.2387 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 177 	 177 	 177 	 0 	 420.574 	 87.2928 	 68.5451 	 0.144125 	 475.596 	 4868 	 0.933998 	 310.409 	 248.386 	 291.117 	 235.362 	 0.811388 	 302.456 	 290.695 	 117.629 	 0.404059 	  Tumour 
14 	 208.906 	 267.183 	 206.787 	 111.803 	 7405 	 124.828 	 76.7837 	 0.788436 	 0.951922 	 354.818 	 1492.98 	 406.066 	 0.271984 	 848.356 	 1393.14 	 171 	 1852 	 1431.77 	 1168.1 	 3 	 934.783 	 0.126237 	 62.0059 	 39.6231 	 52.2647 	 10.2589 	 69 	 39 	 57 	 15.8745 	 277 	 961 	 184.126 	 46.5401 	 3 	 1062.16 	 0.143438 	 38.0943 	 17.3018 	 30.3464 	 10.1636 	 138 	 40 	 92.3333 	 49.339 	 262.844 	 -86.9696 	 54.2243 	 0.170589 	 317.866 	 9552 	 0.891211 	 494.836 	 195.464 	 293.574 	 237.818 	 0.644592 	 280.644 	 300.348 	 111.073 	 0.378347 	  Tumour 
15 	 206.019 	 435.863 	 338.599 	 129.066 	 3432 	 79.5174 	 56.597 	 0.702427 	 0.947281 	 245.137 	 1572.39 	 746.629 	 0.474836 	 1132.59 	 1472.56 	 16 	 23 	 730.25 	 466.578 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 16 	 16 	 16 	 0 	 119 	 223 	 158.412 	 20.8256 	 2 	 332.769 	 0.0969607 	 17.1549 	 17.1549 	 17.1549 	 0 	 66 	 53 	 59.5 	 9.19239 	 158.633 	 -24.6486 	 40.7704 	 0.190824 	 213.655 	 5143 	 0.860609 	 352.853 	 146.397 	 180.506 	 124.751 	 0.716463 	 189.979 	 177.307 	 67.4399 	 0.373616 	  Tumour 
16 	 194.225 	 373.934 	 278.692 	 189.32 	 3366 	 75.9344 	 57.5415 	 0.652512 	 0.930348 	 240.794 	 1085.34 	 345.928 	 0.318727 	 109.516 	 985.506 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 246.67 	 -69.3471 	 74.5811 	 0.247209 	 301.692 	 5127 	 0.910981 	 329.681 	 227.306 	 309.155 	 253.399 	 0.730263 	 286.73 	 316.357 	 155.337 	 0.502457 	  Tumour 
17 	 183.221 	 562.658 	 1262.21 	 42.9535 	 1100 	 50.3676 	 30.3048 	 0.798743 	 0.896496 	 145.983 	 764.784 	 142.689 	 0.186574 	 223.549 	 664.948 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 390.189 	 19.0174 	 44.3619 	 0.0996424 	 445.211 	 2275 	 0.906014 	 210.326 	 280.889 	 318.195 	 262.439 	 0.671795 	 360.252 	 299.676 	 90.6734 	 0.284962 	  Other 
18 	 189.004 	 1409.62 	 425.208 	 51.6624 	 1250 	 54.5215 	 29.6079 	 0.839701 	 0.935629 	 154.024 	 747.771 	 144.237 	 0.192889 	 232.765 	 647.936 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 506.68 	 100.381 	 90.0954 	 0.160397 	 561.702 	 2124 	 0.932806 	 206.326 	 373.071 	 326.628 	 270.873 	 0.518325 	 333 	 323.721 	 95.1051 	 0.291172 	  Other 
19 	 224.048 	 727.878 	 1102.45 	 100.499 	 1217 	 94.5392 	 17.6627 	 0.982392 	 0.856439 	 223.806 	 613.455 	 103.889 	 0.169351 	 310.94 	 513.62 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 145.925 	 20.2118 	 40.452 	 0.201306 	 200.947 	 4893 	 0.695226 	 496.007 	 202.13 	 212.185 	 156.429 	 0.257143 	 332.368 	 193.136 	 124.482 	 0.586667 	  Other 
20 	 232.848 	 1323.57 	 1202.16 	 96.6023 	 7957 	 115.199 	 97.3049 	 0.535294 	 0.923943 	 375.563 	 2100.35 	 612.652 	 0.29169 	 1320.49 	 2000.52 	 344 	 2628 	 1282.02 	 1018.35 	 4 	 1642.72 	 0.20645 	 79.395 	 22.8438 	 54.3802 	 19.5044 	 215 	 39 	 86 	 86.0465 	 538 	 3991 	 216.667 	 79.0811 	 7 	 1083.17 	 0.136128 	 83.681 	 13.4629 	 48.4245 	 19.7131 	 121 	 21 	 76.8571 	 36.3016 	 455.694 	 6.16542 	 73.3504 	 0.143623 	 510.716 	 10652 	 0.840196 	 508.108 	 291.059 	 433.687 	 377.932 	 0.429787 	 518.446 	 400.379 	 192.704 	 0.44434 	  Tumour 
