rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 
11	196.586	61.5141	214.245	1069.1	8355	138.889	78.8287	0.823329	0.932582	386.191	1200.13	388.989	0.324123	783.665	987.001	695.058	94.8043	90.0912	0.11751	766.666	9423	0.8672	464.794	708.512	998.463	948.633	0.523256	1357.68	907.488	585.451	0.586352	749	2700	143.299	65.1438	6	3481.27	0.416669	93.3395	11.1057	40.1558	26.1029	426	39	124.833	149.488	330	2940	144.018	36.6779	4	1668.38	0.199686	75.1502	32.9438	54.8566	16.4112	99	61	82.5	16.1142	  Tumour 
12	242.123	246.941	170.356	949.796	11053	132.799	107.563	0.586474	0.935664	447.789	1103.59	261.713	0.237147	672.575	890.463	684.023	65.5715	112.701	0.149148	755.63	15719	0.905055	603.463	612.723	923.279	873.449	0.919499	901.802	936.12	346.107	0.374868	949	5889	103.915	25.7594	13	3529.17	0.319296	102.029	10.4892	51.8139	24.9139	368	32	67.7857	86.7216	327	2465	143.229	35.8891	6	2207.29	0.199701	94.0877	10.6331	44.4199	24.0104	85	31	54.5	19.8469	  Tumour 
13	275.088	112.078	237.876	976.631	11120	136.202	105.016	0.6368	0.945337	472.801	1010.02	215.479	0.213342	571.2	796.889	600.701	43.4051	109.08	0.162247	672.308	19351	0.928061	637.647	523.917	994.111	944.281	0.797578	1059.1	952.203	516.467	0.519527	1207	5462	108.867	30.7122	17	2394.75	0.215355	102.424	9.21954	46.9972	23.1964	242	34	67.0556	53.8052	197	3403	121.396	14.0557	3	3303.49	0.297076	89.094	51.9772	75.7864	18.4852	103	13	65.6667	46.9184	  Tumour 
14	293.109	843.927	646.92	876.453	11575	132.301	113.685	0.511498	0.958751	449.546	1012.2	281.044	0.277658	620.537	799.069	526.366	59.5673	102.223	0.17095	597.973	19384	0.955159	582.434	569.378	909.582	859.752	0.491493	865.977	918.913	382.585	0.420616	1102	4187	103.866	25.7104	14	2666.47	0.230365	100.402	10.4438	42.8686	21.2375	225	30	78.7143	53.4422	217	752	151.576	44.2358	3	1042.2	0.090039	34.5028	20.1202	27.264	6.43249	95	58	72.3333	19.8578	  Tumour 
15	289.273	724.557	534.986	852.738	7016	105.803	86.3849	0.57739	0.932483	346.492	1085.76	333.181	0.306864	733.798	872.634	710.889	175.002	127.055	0.162371	782.496	8709	0.879253	439.238	805.071	1028.79	978.965	0.958435	1018.36	1046.51	348.143	0.338399	464	1743	112.42	34.265	5	2126.47	0.303089	67.9469	14.4776	34.7633	17.3214	163	45	92.8	47.4046	51	56	141.392	34.0519	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	51	51	51	0	  Tumour 
16	347.019	174.351	281.902	883.849	12190	149.065	112.25	0.657992	0.8691	538.316	971.046	202.973	0.209026	501.534	757.918	596.052	183.632	115.687	0.173273	667.659	12305	0.801733	612.09	587.004	759.898	710.068	0.971275	728.932	791.662	398.506	0.524421	625	2901	101.138	22.9823	8	4925.85	0.40409	67.0012	10.7446	37.1691	14.7918	220	8	78.125	66.2472	169	2729	131.237	23.8964	3	517.858	0.0424822	77.473	59.1604	66.5653	8.62739	72	37	56.3333	17.7858	  Tumour 
17	328.594	358.279	284.487	832.272	7684	126.529	85.1018	0.740017	0.847002	423.203	933.224	302.543	0.324191	609.677	720.096	595.167	107.261	117.884	0.176798	666.774	13138	0.883405	541.078	580.78	785.892	736.062	0.879518	757.826	798.298	244.69	0.311354	374	2386	96.6016	18.4464	6	2648.8	0.344716	81.5345	17.8647	41.9195	18.6782	131	39	62.3333	35.2288	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Tumour 
18	358.223	599.047	462.131	772.146	13184	140.84	121.102	0.510544	0.948216	498.517	979.03	223.046	0.227823	544.215	765.902	655.503	166.713	117.229	0.161226	727.11	15846	0.91363	586.25	674.244	891.051	841.222	0.913603	896.74	891.456	323.813	0.363405	1367	6798	122.887	44.7314	18	2734.4	0.207403	104.45	7.63734	46.7363	22.2	176	29	75.9444	40.2864	265	1830	151.762	44.422	4	3058.61	0.231994	55.7003	16.3987	40.5806	13.7512	106	41	66.25	28.0164	  Tumour 
19	371.933	466.842	378.63	766.977	11116	131.006	110.027	0.542795	0.959599	422.96	1008.29	263.5	0.261333	633.008	795.162	460.838	86.0722	70.4013	0.132223	532.445	15331	0.898915	582.233	496.628	714.507	664.677	0.75717	764.808	687.241	318.044	0.445124	874	5295	105.008	26.8528	15	2384.09	0.214473	97.7394	10.5875	47.3527	23.2173	109	29	58.2667	25.4066	222	770	129.622	22.2814	3	2229.3	0.200549	40.1761	20.7182	28.3022	9.31474	107	54	74	28.7924	  Tumour 
20	396.793	269.474	326.671	797.818	11181	149.613	99.403	0.747377	0.900097	455.002	1026.74	231.966	0.225926	611.848	813.607	604.203	54.2199	80.4775	0.119083	675.81	13073	0.839627	564.434	704.425	900.628	850.798	0.949119	887.231	921.2	252.618	0.280491	1160	5259	111.932	33.7766	11	2432.88	0.21759	85.6705	12.9232	45.0147	18.7032	377	45	105.455	105.597	171	884	138.474	31.1334	2	1060.67	0.0948638	63.3284	63.3284	63.3284	0	87	84	85.5	2.12132	  Tumour 
