rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NucAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 	
11 	 315.815 	 501.915 	 264.715 	 303.714 	 11131 	 192.801 	 78.7733 	 0.912726 	 0.864409 	 498.115 	 1296.69 	 464.802 	 0.358454 	 835.165 	 1248.21 	 459.439 	 22.5233 	 102.549 	 0.194028 	 528.523 	 15720 	 0.712731 	 687.311 	 661.243 	 806.046 	 741.772 	 0.459829 	 725.803 	 829.922 	 334.055 	 0.414437 	 687 	 2737 	 103.539 	 41.1441 	 8 	 2925.06 	 0.262785 	 88.0506 	 12.5867 	 39.92 	 20.6764 	 137 	 47 	 85.875 	 29.8014 	 219 	 2843 	 127.644 	 41.0327 	 3 	 1811.39 	 0.162734 	 108.67 	 43.0485 	 78.3236 	 29.5942 	 109 	 46 	 73 	 32.45 	  Tumour 
12 	 306.727 	 848.044 	 335.912 	 87.4643 	 5726 	 114.893 	 65.9645 	 0.818759 	 0.969523 	 311.723 	 2115.88 	 564.401 	 0.266745 	 1046.55 	 2067.41 	 625.788 	 64.3212 	 73.9814 	 0.106468 	 694.872 	 8808 	 0.920857 	 399.362 	 845.899 	 877.06 	 812.786 	 0.270115 	 1001.35 	 855.295 	 393.617 	 0.448791 	 799 	 2429 	 144.867 	 82.4728 	 4 	 1038.43 	 0.181353 	 69.5849 	 27.1885 	 41.2746 	 14.0193 	 339 	 46 	 199.75 	 133.906 	 296 	 1618 	 191.97 	 105.358 	 3 	 615.269 	 0.107452 	 74.7123 	 16.6516 	 53.3976 	 28.5847 	 166 	 53 	 98.6667 	 59.5343 	  Tumour 
13 	 314.422 	 286.064 	 401.4 	 244.499 	 2416 	 72.4029 	 46.2806 	 0.769033 	 0.918282 	 209.823 	 608.724 	 174.711 	 0.287012 	 346.643 	 560.251 	 199.638 	 18.6427 	 81.2248 	 0.302263 	 268.722 	 4045 	 0.902902 	 268.593 	 362.896 	 418.386 	 354.112 	 0.666667 	 514.901 	 368.543 	 326.808 	 0.781115 	 410 	 571 	 114.829 	 52.4348 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 410 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
14 	 374.524 	 294.116 	 434.94 	 194.435 	 2492 	 57.44 	 56.0982 	 0.21488 	 0.952235 	 198.409 	 823.203 	 293.594 	 0.356648 	 562.798 	 774.73 	 224.7 	 65.4354 	 40.7137 	 0.138583 	 293.785 	 4204 	 0.940072 	 264.007 	 282.957 	 276.613 	 212.339 	 0.63964 	 262.092 	 283.395 	 123.758 	 0.447407 	 220 	 265 	 113.895 	 51.501 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 220 	 220 	 220 	 0 	 99 	 99 	 114.03 	 27.4192 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 99 	 99 	 99 	 0 	  Tumour 
15 	 381.897 	 892.671 	 645.239 	 87.4643 	 2533 	 60.6801 	 54.3754 	 0.443855 	 0.921091 	 210.752 	 833.665 	 312.132 	 0.37441 	 369.785 	 785.192 	 599.436 	 -14.3368 	 67.4614 	 0.100911 	 668.521 	 7099 	 0.859339 	 376.576 	 741.381 	 954.771 	 890.497 	 0.645768 	 857.058 	 997.667 	 486.818 	 0.509879 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
16 	 424.577 	 765.296 	 385.834 	 135.03 	 11256 	 131.407 	 110.809 	 0.537516 	 0.968675 	 416.233 	 1680.02 	 489.755 	 0.291517 	 853.114 	 1631.55 	 617.965 	 -20.4948 	 127.266 	 0.185235 	 687.05 	 17516 	 0.915774 	 587.571 	 741.942 	 1086.07 	 1021.8 	 0.582834 	 1128.26 	 1070.08 	 373.913 	 0.344281 	 1028 	 4704 	 131.724 	 69.3292 	 9 	 1921.46 	 0.170706 	 80.2842 	 10.4832 	 49.6299 	 20.1787 	 239 	 57 	 114.222 	 70.2011 	 538 	 2928 	 182.589 	 95.9781 	 5 	 3748.88 	 0.333056 	 85.0583 	 15.9181 	 44.7348 	 22.0773 	 186 	 70 	 107.6 	 45.6103 	  Tumour 
17 	 454.128 	 590.747 	 381.336 	 310.464 	 18638 	 161.959 	 147.899 	 0.407543 	 0.977347 	 550.316 	 1958.17 	 700.854 	 0.357913 	 1266.3 	 1909.7 	 669.921 	 12.5221 	 67.1174 	 0.0908212 	 739.006 	 26139 	 0.855782 	 760.548 	 819.229 	 983.255 	 918.981 	 0.506369 	 1083.36 	 948.171 	 331.101 	 0.33674 	 2069 	 8767 	 142.97 	 80.5751 	 12 	 4881.78 	 0.261926 	 117.666 	 14.921 	 53.6903 	 24.6502 	 428 	 41 	 172.417 	 129.369 	 495 	 6321 	 181.087 	 94.4758 	 5 	 2420.04 	 0.129845 	 109.52 	 45.4612 	 70.0013 	 22.133 	 138 	 49 	 99 	 32.4577 	  Tumour 
18 	 432.751 	 298.186 	 474.427 	 152.069 	 3953 	 87.4464 	 61.6238 	 0.709502 	 0.898613 	 271.865 	 744.19 	 259.508 	 0.348712 	 514.506 	 695.717 	 156.312 	 45.4577 	 45.7718 	 0.203072 	 225.396 	 4968 	 0.865958 	 310.309 	 200.747 	 261.108 	 196.834 	 0.751799 	 281.502 	 253.583 	 137.326 	 0.525935 	 56 	 57 	 67.375 	 4.9805 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 56 	 56 	 56 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
19 	 446.461 	 229.35 	 531.049 	 100.722 	 4802 	 114.962 	 54.7698 	 0.879221 	 0.972065 	 294.735 	 907.119 	 380.457 	 0.419412 	 691.088 	 858.646 	 238.489 	 87.7187 	 40.6561 	 0.132183 	 307.574 	 6458 	 0.893717 	 371.161 	 359.495 	 450.201 	 385.927 	 0.576433 	 637.238 	 353.317 	 386.371 	 0.858219 	 78 	 78 	 82.4872 	 20.0927 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 78 	 78 	 78 	 0 	 107 	 108 	 108.636 	 22.0244 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 107 	 107 	 107 	 0 	  Tumour 
20 	 478.129 	 389.799 	 459.471 	 210.723 	 10102 	 125.403 	 106.592 	 0.526799 	 0.956176 	 420.132 	 562.851 	 207.779 	 0.369155 	 341.098 	 514.378 	 150.81 	 -39.003 	 86.5493 	 0.393594 	 219.895 	 15115 	 0.814254 	 599.512 	 402.506 	 703.429 	 639.155 	 0.497018 	 981.196 	 594.348 	 667.834 	 0.949398 	 178 	 618 	 81.5393 	 19.1448 	 2 	 1481.81 	 0.146685 	 47.3237 	 47.3237 	 47.3237 	 0 	 91 	 87 	 89 	 2.82843 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
