rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NucAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 	
31 	 682.052 	 198.066 	 733.595 	 144.347 	 6352 	 106.26 	 76.9775 	 0.689351 	 0.972295 	 313.12 	 622.727 	 171.325 	 0.275121 	 451.723 	 574.253 	 113.039 	 -25.6407 	 29.0269 	 0.159381 	 182.123 	 13752 	 0.861816 	 538.742 	 315.619 	 440.572 	 376.298 	 0.443459 	 420.595 	 442.797 	 263.124 	 0.597232 	 1036 	 2046 	 105.266 	 42.8719 	 3 	 1937.08 	 0.304956 	 53.9068 	 20.0475 	 35.4287 	 13.4929 	 460 	 72 	 259 	 202.91 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
32 	 689.681 	 524.026 	 622.558 	 368.782 	 7569 	 117.66 	 86.2037 	 0.680604 	 0.922711 	 377.546 	 1042.4 	 225.015 	 0.215861 	 459.345 	 993.93 	 721.51 	 41.6835 	 106.251 	 0.134394 	 790.595 	 11148 	 0.842121 	 502.801 	 1031.34 	 1341.88 	 1277.6 	 0.92723 	 1429.01 	 1252.6 	 683.957 	 0.509701 	 339 	 2502 	 100.28 	 37.8857 	 5 	 1241.34 	 0.164004 	 79.0342 	 24.6709 	 43.808 	 16.2956 	 91 	 52 	 67.8 	 14.481 	 69 	 71 	 126.203 	 39.5918 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 69 	 69 	 69 	 0 	  Tumour 
33 	 719.215 	 626.029 	 646.279 	 429.951 	 15831 	 147.001 	 138.815 	 0.329053 	 0.966484 	 498.801 	 1493.36 	 391.484 	 0.26215 	 911.405 	 1444.89 	 833.931 	 84.4208 	 120.379 	 0.133308 	 903.015 	 16459 	 0.924611 	 527.487 	 1117.25 	 1465.78 	 1401.5 	 0.914286 	 1519.25 	 1437.42 	 775.412 	 0.529011 	 1742 	 8907 	 144.661 	 82.2662 	 11 	 2260.35 	 0.14278 	 115.252 	 10.8802 	 56.5016 	 24.5012 	 420 	 42 	 158.364 	 123.174 	 410 	 1554 	 196.771 	 110.16 	 5 	 4173.59 	 0.263634 	 75.6328 	 12.69 	 39.203 	 18.927 	 134 	 59 	 82 	 30.6431 	  Tumour 
34 	 762.616 	 388.166 	 723.921 	 301.04 	 14047 	 142.705 	 125.954 	 0.470094 	 0.978476 	 457.789 	 1113.31 	 396.258 	 0.355929 	 806.121 	 1064.83 	 284.749 	 -17.0918 	 70.8449 	 0.200221 	 353.834 	 22423 	 0.919013 	 644.174 	 410.007 	 864.122 	 799.848 	 0.866087 	 886.127 	 826.451 	 477.324 	 0.552381 	 1834 	 5678 	 104.863 	 42.4686 	 12 	 2340.5 	 0.166619 	 101.73 	 11.9472 	 45.4622 	 23.14 	 438 	 50 	 152.833 	 118.523 	 464 	 3072 	 124.054 	 37.4428 	 4 	 1938.93 	 0.138032 	 77.4594 	 26.7096 	 51.952 	 15.4098 	 198 	 68 	 116 	 56.7979 	  Tumour 
35 	 794.339 	 164.654 	 845.698 	 257.031 	 4148 	 91.6067 	 59.2131 	 0.763012 	 0.966674 	 258.794 	 602.634 	 205.855 	 0.341593 	 431.963 	 554.161 	 143.502 	 45.6434 	 35.9836 	 0.169266 	 212.586 	 6385 	 0.948173 	 341.664 	 193.35 	 269.759 	 205.485 	 0.41806 	 416.96 	 224.795 	 205.504 	 0.761805 	 73 	 74 	 69.6027 	 7.20824 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 73 	 73 	 73 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
36 	 816.556 	 529.218 	 748.078 	 440.593 	 14498 	 148.797 	 125.067 	 0.541779 	 0.969571 	 477.245 	 1449.02 	 505.623 	 0.348942 	 1021.99 	 1400.54 	 853.652 	 118.289 	 106.336 	 0.11524 	 922.737 	 19460 	 0.948898 	 574.098 	 947.945 	 1341.37 	 1277.1 	 0.964435 	 1384.26 	 1306.64 	 471.064 	 0.351181 	 1478 	 5008 	 138.526 	 76.1319 	 9 	 3655.7 	 0.252152 	 82.9884 	 14.088 	 44.976 	 18.4179 	 296 	 55 	 147.8 	 95.9812 	 380 	 2267 	 158.771 	 72.1599 	 4 	 2306.12 	 0.159065 	 84.4555 	 26.8408 	 48.3157 	 19.7034 	 115 	 75 	 95 	 19.4765 	  Tumour 
37 	 809.347 	 260.885 	 813.272 	 280.66 	 5098 	 123.968 	 54.9813 	 0.896268 	 0.937994 	 326.191 	 464.563 	 167.172 	 0.359849 	 261.207 	 416.089 	 132.116 	 46.4878 	 40.1026 	 0.199317 	 201.2 	 20629 	 0.968498 	 614.357 	 227.51 	 549.373 	 485.099 	 0.926966 	 587.572 	 506.152 	 326.373 	 0.594084 	 577 	 2200 	 137.414 	 75.0197 	 4 	 1229.06 	 0.241086 	 79.2969 	 15.689 	 47.0328 	 24.2876 	 437 	 36 	 144.25 	 195.34 	 98 	 102 	 96.9592 	 10.3481 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 98 	 98 	 98 	 0 	  Tumour 
38 	 847.978 	 654.088 	 776.424 	 523.715 	 10996 	 151.128 	 97.1262 	 0.766138 	 0.935989 	 463.203 	 1723.66 	 546.75 	 0.317203 	 1167.44 	 1675.19 	 799.536 	 70.9246 	 121.404 	 0.139766 	 868.621 	 12271 	 0.879452 	 512.215 	 908.992 	 1388.81 	 1324.54 	 1.00917 	 1426.4 	 1336.53 	 465.572 	 0.335231 	 1323 	 5251 	 129.907 	 67.5125 	 10 	 1153.67 	 0.104918 	 91.885 	 13.3713 	 43.4753 	 20.2155 	 335 	 44 	 132.3 	 106.891 	 442 	 2150 	 173.247 	 86.6355 	 4 	 1332.61 	 0.121191 	 58.12 	 15.1256 	 41.1103 	 16.2811 	 176 	 84 	 110.5 	 44.0643 	  Tumour 
39 	 877.432 	 727.215 	 812.906 	 522.093 	 9885 	 166.046 	 77.7553 	 0.883583 	 0.939371 	 437.747 	 1923.56 	 638.262 	 0.331813 	 1396.26 	 1875.09 	 762.29 	 53.458 	 90.6573 	 0.109045 	 831.375 	 9403 	 0.769224 	 547.931 	 1191.16 	 1500.73 	 1436.46 	 1.00208 	 1459.28 	 1512.22 	 530.231 	 0.353315 	 1309 	 3086 	 158.365 	 95.9707 	 5 	 2641.07 	 0.26718 	 71.2942 	 10.9066 	 35.3023 	 15.0487 	 535 	 40 	 187 	 168.907 	 427 	 1768 	 178.918 	 92.3069 	 4 	 2749.48 	 0.278147 	 90.9365 	 17.0398 	 48.935 	 23.3195 	 143 	 84 	 106.75 	 26.8623 	  Tumour 
40 	 871.47 	 786.753 	 818.049 	 500.357 	 4300 	 138.752 	 43.7231 	 0.949052 	 0.820141 	 341.706 	 900.874 	 375.358 	 0.41666 	 599.393 	 852.4 	 484.571 	 161.362 	 157.78 	 0.284978 	 553.656 	 7929 	 0.837984 	 475.002 	 1014.17 	 1113.37 	 1049.09 	 0.553086 	 1550.6 	 932.943 	 726.253 	 0.652304 	 338 	 488 	 136.077 	 73.6824 	 2 	 1054.24 	 0.245173 	 21.8542 	 21.8542 	 21.8542 	 0 	 244 	 94 	 169 	 106.066 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
41 	 904.438 	 245.535 	 906.025 	 370.567 	 5232 	 87.2919 	 78.5884 	 0.43528 	 0.969607 	 283.907 	 814.295 	 339.628 	 0.417082 	 611.876 	 765.822 	 272.042 	 24.2151 	 93.202 	 0.273218 	 341.127 	 8150 	 0.843423 	 406.96 	 495.939 	 560.096 	 495.822 	 0.584302 	 736.985 	 493.682 	 395.648 	 0.706394 	 423 	 1656 	 102.168 	 39.7734 	 3 	 958.041 	 0.183112 	 44.595 	 35.6236 	 40.1495 	 4.01262 	 225 	 39 	 141 	 94.2974 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
42 	 949.456 	 586.818 	 876.228 	 572.819 	 11340 	 129.987 	 112.243 	 0.504356 	 0.962894 	 434.617 	 1557.46 	 408.648 	 0.262382 	 880.715 	 1508.98 	 799.051 	 115.314 	 122.359 	 0.140945 	 868.136 	 15597 	 0.911732 	 530.742 	 791.317 	 1093.15 	 1028.88 	 1.00674 	 1103.53 	 1082.69 	 337.026 	 0.308307 	 1153 	 4225 	 151.744 	 89.3497 	 4 	 3137.57 	 0.276682 	 76.5897 	 31.4142 	 52.3569 	 15.1034 	 702 	 64 	 288.25 	 291.806 	 198 	 233 	 192.939 	 106.328 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 198 	 0 	  Tumour 
43 	 943.378 	 433.057 	 887.229 	 473.339 	 10614 	 124.155 	 110.037 	 0.463131 	 0.971355 	 402.676 	 1746.51 	 443.486 	 0.253927 	 1062.2 	 1698.03 	 754.067 	 225.103 	 127.698 	 0.155133 	 823.152 	 17033 	 0.909251 	 568.742 	 559.687 	 891.234 	 826.96 	 0.904762 	 892.709 	 885.374 	 313.239 	 0.351467 	 1553 	 5358 	 138.499 	 76.1045 	 8 	 2378.58 	 0.224098 	 99.5181 	 18.104 	 49.1776 	 22.19 	 537 	 48 	 194.125 	 170.068 	 297 	 2111 	 150.488 	 63.8771 	 3 	 1481.6 	 0.13959 	 73.8752 	 29.6986 	 56.7262 	 21.1865 	 105 	 94 	 99 	 5.56776 	  Tumour 
44 	 957.701 	 347.955 	 922.12 	 449.444 	 9477 	 141.582 	 99.3795 	 0.712255 	 0.77859 	 474.416 	 912.842 	 269.047 	 0.294735 	 609.694 	 864.369 	 470.967 	 52.6222 	 124.124 	 0.229837 	 540.052 	 13562 	 0.830598 	 538.642 	 735.66 	 833.036 	 768.762 	 0.946667 	 819.923 	 855.236 	 396.397 	 0.475846 	 288 	 1357 	 100.76 	 38.3659 	 3 	 2261.91 	 0.238674 	 66.5492 	 34.5393 	 45.7784 	 16.1071 	 166 	 43 	 96 	 63.2376 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
45 	 1012.1 	 651.506 	 940.078 	 663.304 	 6376 	 145.227 	 61.4634 	 0.906025 	 0.854234 	 414.617 	 1145.73 	 299.253 	 0.261189 	 459.299 	 1097.26 	 656.199 	 -37.2572 	 64.5277 	 0.088969 	 725.284 	 5262 	 0.683554 	 427.546 	 1281.24 	 1208.33 	 1144.06 	 1.01096 	 1212.04 	 1207.52 	 364.236 	 0.301437 	 59 	 60 	 99.0678 	 36.6733 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 59 	 59 	 59 	 0 	 230 	 275 	 167.491 	 80.8802 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 230 	 230 	 230 	 0 	  Tumour 
46 	 1048.17 	 705.653 	 980.013 	 691.755 	 8430 	 151.28 	 72.2217 	 0.878683 	 0.93823 	 398.032 	 872.392 	 287.234 	 0.329249 	 603.596 	 823.919 	 225.712 	 14.0968 	 127.453 	 0.432343 	 294.797 	 15152 	 0.87599 	 643.068 	 621.8 	 690.668 	 626.394 	 0.54428 	 1164.57 	 523.816 	 598.391 	 0.866394 	 55 	 56 	 71.8 	 9.4055 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 55 	 55 	 55 	 0 	 22 	 24 	 75.7727 	 -10.8384 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 22 	 22 	 22 	 0 	  Tumour 
47 	 1036.33 	 471.556 	 972.417 	 573.289 	 4012 	 94.1222 	 57.1537 	 0.794527 	 0.88448 	 287.522 	 1527.49 	 284.131 	 0.186012 	 414.059 	 1479.01 	 744.626 	 17.8656 	 82.9309 	 0.101917 	 813.71 	 5140 	 0.758896 	 404.576 	 638.508 	 788.34 	 724.066 	 1.00865 	 807.949 	 770.378 	 271.492 	 0.344385 	 617 	 1819 	 132.833 	 70.4386 	 7 	 1447.88 	 0.360888 	 65.5593 	 13.7445 	 33.0149 	 14.6808 	 302 	 5 	 88.1429 	 103.188 	 97 	 102 	 191.577 	 104.966 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 97 	 97 	 97 	 0 	  Tumour 
48 	 1053.71 	 273.218 	 1036.3 	 522.954 	 9323 	 119.809 	 101.352 	 0.533264 	 0.95376 	 390.032 	 1177.34 	 524.19 	 0.445232 	 881.258 	 1128.87 	 528.308 	 116.049 	 144.246 	 0.241459 	 597.393 	 15743 	 0.750775 	 708.808 	 852.436 	 1039.36 	 975.091 	 0.429054 	 949.984 	 1058 	 669.849 	 0.644479 	 503 	 2091 	 101.505 	 39.1105 	 4 	 1710.94 	 0.183519 	 69.5197 	 18.4744 	 43.6469 	 16.7477 	 212 	 72 	 125.75 	 62.4413 	 89 	 91 	 116.112 	 29.5012 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 89 	 89 	 89 	 0 	  Tumour 
49 	 1094.7 	 541.106 	 1024.13 	 659.438 	 17161 	 197.013 	 117.223 	 0.803726 	 0.886141 	 596.198 	 1904.75 	 667.31 	 0.350341 	 1237.92 	 1856.27 	 828.083 	 174.584 	 125.327 	 0.139691 	 897.167 	 30970 	 0.806699 	 892.531 	 634.713 	 845.057 	 780.783 	 0.814266 	 904.083 	 803.413 	 338.742 	 0.400851 	 1451 	 10142 	 138.637 	 76.243 	 12 	 2627.01 	 0.15308 	 153.153 	 14.2606 	 75.5176 	 38.4984 	 273 	 51 	 111.615 	 72.8761 	 336 	 3729 	 181.265 	 94.6538 	 5 	 5520.45 	 0.321686 	 97.8985 	 28.0335 	 56.2537 	 20.9599 	 122 	 5 	 67.2 	 46.639 	  Tumour 
50 	 1098.55 	 403.979 	 1045.89 	 601.146 	 19861 	 187.155 	 140.053 	 0.66333 	 0.94365 	 600.725 	 1663.82 	 413.851 	 0.248735 	 1029.55 	 1615.35 	 836.597 	 85.8262 	 123.189 	 0.136018 	 905.682 	 20527 	 0.914587 	 615.127 	 798.001 	 1042.35 	 978.077 	 0.94084 	 1030.85 	 1057.44 	 414.034 	 0.397211 	 1378 	 9629 	 127.839 	 65.4444 	 6 	 3142.98 	 0.158249 	 122.882 	 15.3713 	 72.7837 	 31.1977 	 423 	 60 	 172.25 	 119.18 	 332 	 2685 	 167.955 	 81.3437 	 3 	 3270.54 	 0.164671 	 105.41 	 27.0031 	 75.5036 	 37.9075 	 132 	 99 	 110.667 	 18.5023 	  Tumour 
51 	 1222.91 	 388.431 	 1170.67 	 713.6 	 8858 	 132.947 	 89.4024 	 0.740128 	 0.910755 	 416.777 	 848.368 	 321.389 	 0.378832 	 619.734 	 799.895 	 530.129 	 79.9999 	 168.909 	 0.281884 	 599.214 	 13038 	 0.905354 	 510.316 	 766.341 	 817.453 	 753.179 	 0.482838 	 782.327 	 844.624 	 264.296 	 0.323316 	 568 	 2494 	 99.1919 	 36.7974 	 4 	 961.961 	 0.108598 	 54.7272 	 24.2143 	 38.4412 	 11.6641 	 176 	 50 	 142 	 61.384 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
52 	 1265.93 	 471.594 	 1200.61 	 781.435 	 7660 	 123.587 	 79.9556 	 0.762527 	 0.972328 	 353.22 	 606.553 	 225.725 	 0.372145 	 383.896 	 558.079 	 422.786 	 41.8028 	 121.848 	 0.247723 	 491.871 	 14674 	 0.897053 	 538.843 	 658.643 	 716.952 	 652.678 	 0.548246 	 830.796 	 676.648 	 292.099 	 0.407418 	 226 	 681 	 87.3805 	 24.986 	 4 	 1109.04 	 0.144784 	 38.4336 	 12.8222 	 23.4377 	 9.41354 	 110 	 33 	 56.5 	 35.949 	 175 	 810 	 101.303 	 14.6917 	 2 	 1647.98 	 0.215142 	 64.6803 	 64.6803 	 64.6803 	 0 	 89 	 86 	 87.5 	 2.12132 	  Tumour 
