rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 38.0934 	 533.694 	 124.74 	 1127.54 	 4079 	 96.3578 	 56.7894 	 0.80787 	 0.949709 	 265.622 	 1680 	 374.372 	 0.222841 	 160.33 	 1435.31 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 6601 	 0.857161 	 396.392 	 211.51 	 222.234 	 149.487 	 0 	 0 	 0 	 61.6454 	 0.277389 	 35.9942 	 -53.8342 	 10.8107 	 0.128157 	 84.3545 	 39 	 40 	 84.6154 	 7.2264 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 39 	 39 	 39 	 0 	  DCIS 
2 	 29.7867 	 734.443 	 85.0882 	 1085.36 	 4164 	 85.1291 	 62.7425 	 0.675863 	 0.983003 	 249.622 	 1715.81 	 476.366 	 0.277633 	 330.112 	 1471.12 	 66 	 66 	 403.864 	 163.657 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 66 	 66 	 66 	 0 	 5282 	 0.929112 	 343.179 	 182.52 	 208.865 	 136.117 	 0 	 0 	 204.644 	 65.6393 	 0.314267 	 54.8227 	 -31.7385 	 15.803 	 0.153155 	 103.183 	 99 	 206 	 90.4747 	 13.0858 	 2 	 142.127 	 0.0341324 	 19.0793 	 19.0793 	 19.0793 	 0 	 54 	 45 	 49.5 	 6.36396 	  DCIS 
3 	 64.2287 	 656.084 	 124.74 	 1067.65 	 3765 	 86.102 	 57.6992 	 0.742248 	 0.948124 	 254.877 	 1609.72 	 470.212 	 0.292108 	 546.09 	 1365.03 	 90 	 105 	 444.467 	 204.26 	 2 	 718.479 	 0.190831 	 8.06226 	 8.06226 	 8.06226 	 0 	 45 	 45 	 45 	 0 	 5079 	 0.868502 	 345.848 	 158.923 	 170.962 	 98.2151 	 0 	 0 	 169.301 	 60.7963 	 0.355612 	 91.4636 	 -4.46751 	 42.9488 	 0.307164 	 139.824 	 68 	 71 	 98.0735 	 20.6845 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 68 	 68 	 68 	 0 	  DCIS 
4 	 90.9962 	 207.378 	 331.267 	 1230.57 	 4223 	 92.9202 	 58.4962 	 0.776975 	 0.973266 	 260.693 	 1954.32 	 631.22 	 0.322987 	 627.329 	 1709.63 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 5692 	 0.858522 	 384.475 	 180.412 	 213.888 	 141.141 	 0 	 0 	 0 	 60.9505 	 0.284965 	 28.9966 	 -48.078 	 9.72793 	 0.125754 	 77.3569 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
5 	 137.762 	 65.1516 	 479.542 	 1281.17 	 4031 	 97.6439 	 53.7925 	 0.834568 	 0.925603 	 279.421 	 1552.53 	 479.45 	 0.308818 	 473.515 	 1307.85 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 4817 	 0.943031 	 294.208 	 106.118 	 105.259 	 32.5114 	 0 	 0 	 0 	 29.6964 	 0.282128 	 25.4812 	 -30.8094 	 12.0771 	 0.163555 	 73.8415 	 45 	 45 	 71.8889 	 -5.5001 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  DCIS 
6 	 179.478 	 392.061 	 200.112 	 1057.55 	 5337 	 94.4519 	 75.8749 	 0.595551 	 0.933368 	 319.12 	 1507.39 	 313.207 	 0.20778 	 618.601 	 1262.71 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 6746 	 0.91434 	 370.978 	 150.898 	 164.222 	 91.4743 	 0 	 0 	 0 	 48.2725 	 0.293947 	 21.7568 	 -26.9973 	 7.90799 	 0.112783 	 70.1171 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
7 	 177.086 	 918.236 	 408.383 	 924.035 	 3447 	 93.226 	 48.4361 	 0.854437 	 0.948542 	 265.522 	 1502.38 	 402.184 	 0.267698 	 694.19 	 1257.69 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 5343 	 0.827987 	 414.09 	 165.642 	 172.939 	 100.191 	 0 	 0 	 0 	 54.8449 	 0.317135 	 31.3302 	 0.564703 	 9.5512 	 0.119854 	 79.6905 	 53 	 227 	 83.8868 	 6.49781 	 2 	 145.186 	 0.0421195 	 27.3499 	 27.3499 	 27.3499 	 0 	 40 	 13 	 26.5 	 19.0919 	  DCIS 
8 	 247.828 	 524.846 	 210.193 	 935.86 	 9454 	 130.183 	 97.242 	 0.664864 	 0.917063 	 413.848 	 1025.16 	 219.246 	 0.213864 	 435.003 	 780.478 	 90 	 370 	 594.611 	 354.404 	 2 	 241.868 	 0.0255836 	 40.3113 	 40.3113 	 40.3113 	 0 	 45 	 45 	 45 	 0 	 12899 	 0.831925 	 614.441 	 183.054 	 204.279 	 131.532 	 0 	 0 	 0 	 48.4848 	 0.237346 	 28.0989 	 -3.87298 	 8.36455 	 0.109399 	 76.4592 	 45 	 45 	 77.3111 	 -0.0778734 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  DCIS 
9 	 236.279 	 687.811 	 250.839 	 893.034 	 3463 	 90.9353 	 49.392 	 0.839633 	 0.942057 	 253.907 	 1415.87 	 575.479 	 0.406449 	 712.86 	 1171.19 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 4180 	 0.95412 	 266.693 	 139.9 	 136.45 	 63.7025 	 0 	 0 	 0 	 48.37 	 0.354489 	 25.5011 	 -10.74 	 9.65379 	 0.130701 	 73.8614 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
10 	 262.221 	 111.754 	 477.766 	 1157.9 	 4724 	 84.3674 	 72.3722 	 0.513948 	 0.958993 	 281.806 	 1598.54 	 491.131 	 0.307238 	 967.666 	 1353.85 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 6485 	 0.83505 	 396.919 	 202.422 	 217.751 	 145.003 	 0 	 0 	 0 	 71.6201 	 0.328909 	 39.1556 	 5.55455 	 8.17941 	 0.093462 	 87.5159 	 83 	 87 	 92.3976 	 15.0086 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 83 	 83 	 83 	 0 	  DCIS 
