rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 107.106 	 199.611 	 160.751 	 166.643 	 6160 	 130.814 	 61.9261 	 0.880853 	 0.953856 	 356.233 	 934.985 	 266.332 	 0.284852 	 523.906 	 799.748 	 152 	 596 	 332.875 	 151.121 	 2 	 673.85 	 0.109391 	 49.2502 	 49.2502 	 49.2502 	 0 	 82 	 70 	 76 	 8.48528 	 45 	 45 	 120.2 	 27.6718 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Fib 
2 	 150.058 	 810.502 	 63.1269 	 612.511 	 3884 	 78.37 	 63.9295 	 0.578419 	 0.962101 	 247.179 	 1133.11 	 406.08 	 0.358377 	 571.977 	 997.873 	 130 	 671 	 331.354 	 149.6 	 2 	 246.528 	 0.0634727 	 60.3847 	 60.3847 	 60.3847 	 0 	 66 	 64 	 65 	 1.41421 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
3 	 190.66 	 858.576 	 63.1269 	 664.332 	 3118 	 83.7832 	 51.6788 	 0.787107 	 0.892387 	 258.108 	 1086.28 	 424.983 	 0.391229 	 632.189 	 951.039 	 121 	 138 	 423.777 	 242.023 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 121 	 121 	 121 	 0 	 132 	 359 	 159.076 	 66.5476 	 3 	 487.96 	 0.156498 	 27.9695 	 8.94427 	 19.9239 	 8.80666 	 45 	 42 	 44 	 1.73205 	  Tumour 
4 	 209.819 	 331.306 	 483.735 	 166.643 	 6159 	 114.386 	 70.7189 	 0.785985 	 0.929099 	 337.019 	 859.528 	 220.736 	 0.256811 	 541.341 	 724.292 	 81 	 83 	 318.296 	 136.542 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 81 	 81 	 81 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
5 	 247.233 	 120.776 	 160.751 	 213.235 	 6795 	 142.774 	 61.3495 	 0.902974 	 0.97266 	 357.789 	 1617.33 	 820.965 	 0.507606 	 1242.36 	 1482.09 	 170 	 599 	 515.665 	 333.91 	 2 	 2542.92 	 0.374233 	 46.831 	 46.831 	 46.831 	 0 	 87 	 83 	 85 	 2.82843 	 45 	 45 	 162.689 	 70.1607 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Fib 
6 	 308.099 	 451.847 	 392.231 	 322.343 	 12205 	 139.965 	 112.514 	 0.594798 	 0.95441 	 457.144 	 1105.16 	 356.377 	 0.322468 	 674.158 	 969.919 	 163 	 258 	 423.472 	 241.718 	 2 	 1792.13 	 0.146835 	 17.4154 	 17.4154 	 17.4154 	 0 	 89 	 74 	 81.5 	 10.6066 	 221 	 1428 	 107.041 	 14.5125 	 4 	 3772.59 	 0.309102 	 46.8303 	 17.1351 	 34.8861 	 12.129 	 68 	 45 	 55.25 	 12.0104 	  Tumour 
7 	 298.026 	 867.266 	 158.24 	 693.808 	 6200 	 108.747 	 72.8627 	 0.742345 	 0.97469 	 318.434 	 713.818 	 129.554 	 0.181495 	 379.265 	 578.581 	 66 	 66 	 301.985 	 120.231 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 66 	 66 	 66 	 0 	 86 	 279 	 113.198 	 20.6695 	 2 	 316.519 	 0.0510515 	 30.498 	 30.498 	 30.498 	 0 	 45 	 41 	 43 	 2.82843 	  Tumour 
8 	 379.782 	 354.144 	 511.614 	 268.287 	 18144 	 180.114 	 128.823 	 0.698888 	 0.980174 	 533.772 	 1258.32 	 369.568 	 0.2937 	 819.789 	 1123.08 	 73 	 75 	 338.74 	 156.985 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 73 	 73 	 73 	 0 	 82 	 346 	 104.659 	 12.1303 	 2 	 4197.82 	 0.231361 	 39.2801 	 39.2801 	 39.2801 	 0 	 45 	 37 	 41 	 5.65685 	  Tumour 
9 	 348.362 	 968.466 	 252.692 	 804.925 	 9742 	 139.654 	 89.1902 	 0.769495 	 0.96762 	 403.99 	 697.774 	 120.889 	 0.17325 	 330.719 	 562.537 	 249 	 2821 	 238.378 	 56.6233 	 4 	 2867.41 	 0.294335 	 66.9088 	 28.0401 	 51.4982 	 13.2564 	 75 	 39 	 62.25 	 16.7606 	 133 	 768 	 86.1353 	 -6.39287 	 2 	 4101.61 	 0.421024 	 67.574 	 67.574 	 67.574 	 0 	 88 	 45 	 66.5 	 30.4056 	  Tumour 
10 	 462.716 	 279.923 	 616.385 	 268.211 	 7917 	 141.049 	 77.3103 	 0.836407 	 0.847463 	 426.558 	 1268.93 	 491.21 	 0.387107 	 820.792 	 1133.69 	 176 	 841 	 338.909 	 157.155 	 3 	 2883.08 	 0.364163 	 46.5257 	 17.1694 	 34.3144 	 13.6735 	 80 	 45 	 58.6667 	 18.7172 	 114 	 293 	 116.386 	 23.8578 	 2 	 1791.43 	 0.226277 	 24.151 	 24.151 	 24.151 	 0 	 69 	 45 	 57 	 16.9706 	  Tumour 
