rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 210.785 	 88.9516 	 NaN 	 118.849 	 4197 	 90.1172 	 59.9288 	 0.746835 	 0.966605 	 261.865 	 1584.61 	 848.577 	 0.535512 	 919.411 	 1467.61 	 90 	 283 	 1339.42 	 860.557 	 2 	 1018.04 	 0.242565 	 30.8058 	 30.8058 	 30.8058 	 0 	 45 	 45 	 45 	 0 	 227 	 573 	 391.705 	 -42.7094 	 3 	 512.308 	 0.122065 	 23.0784 	 17.6486 	 20.7344 	 2.49535 	 99 	 37 	 75.6667 	 33.7244 	  DCIS 
2 	 285.509 	 453.344 	 104.403 	 371.646 	 7797 	 137.162 	 73.4262 	 0.844646 	 0.971952 	 361.889 	 1184.22 	 396.376 	 0.334714 	 748.77 	 1067.22 	 135 	 2034 	 1886.1 	 1407.24 	 3 	 867.999 	 0.111325 	 85.9127 	 34.2345 	 64.4098 	 24.0677 	 45 	 45 	 45 	 0 	 681 	 1655 	 592.159 	 157.744 	 3 	 3509.81 	 0.450148 	 64.1356 	 26.8407 	 43.0365 	 17.1058 	 359 	 105 	 227 	 127.295 	  Tumour 
3 	 304.459 	 162.532 	 170.423 	 118.849 	 6620 	 107.922 	 79.7275 	 0.673977 	 0.96897 	 325.019 	 865.393 	 274.808 	 0.317553 	 539.9 	 748.395 	 135 	 709 	 1770.96 	 1292.1 	 3 	 643.879 	 0.0972627 	 55.0818 	 26 	 37.6208 	 13.7701 	 45 	 45 	 45 	 0 	 511 	 982 	 508.454 	 74.0397 	 3 	 1575.94 	 0.238057 	 46.4077 	 19.3075 	 31.2181 	 12.3828 	 236 	 57 	 170.333 	 98.5613 	  Tumour 
4 	 315.676 	 352.715 	 104.403 	 284.114 	 6738 	 111.138 	 77.7158 	 0.714853 	 0.97638 	 330.919 	 1867.19 	 900.891 	 0.482485 	 1317.25 	 1750.19 	 135 	 1640 	 2193 	 1714.14 	 3 	 1158.67 	 0.17196 	 60.1082 	 44.1814 	 50.4441 	 7.59439 	 45 	 45 	 45 	 0 	 589 	 1277 	 673.333 	 238.918 	 3 	 1235.22 	 0.183322 	 34.458 	 16.7309 	 28.3045 	 8.97092 	 310 	 69 	 196.333 	 121.08 	  Tumour 
5 	 417.781 	 423.064 	 135.366 	 392.944 	 10742 	 141.065 	 97.3807 	 0.7235 	 0.981812 	 407.446 	 932.173 	 265.698 	 0.285031 	 373.064 	 815.175 	 180 	 2757 	 1788.52 	 1309.66 	 4 	 872.625 	 0.0812349 	 88.3912 	 20.5183 	 62.0535 	 25.6947 	 45 	 45 	 45 	 0 	 723 	 3193 	 401.007 	 -33.4074 	 6 	 3526.87 	 0.328325 	 69.9546 	 9.61233 	 41.0068 	 21.1776 	 291 	 35 	 120.5 	 109.506 	  Tumour 
6 	 442.22 	 263.445 	 245.837 	 289.201 	 9537 	 134.992 	 90.6757 	 0.740815 	 0.975054 	 390.233 	 1709.88 	 551.368 	 0.322459 	 1037.01 	 1592.89 	 180 	 3294 	 1931.32 	 1452.45 	 4 	 1500.67 	 0.157353 	 75.0067 	 38 	 58.4582 	 14.2882 	 45 	 45 	 45 	 0 	 651 	 2762 	 569.837 	 135.423 	 3 	 2145.83 	 0.225 	 59.9922 	 17.852 	 42.958 	 14.5893 	 269 	 57 	 162.75 	 107.698 	  Tumour 
7 	 451.945 	 533.461 	 184.272 	 505.19 	 6470 	 124.013 	 68.7206 	 0.832424 	 0.957384 	 349.99 	 1041.52 	 419.89 	 0.40315 	 724.947 	 924.526 	 156 	 1185 	 2012.75 	 1533.89 	 3 	 1984.51 	 0.306725 	 76.896 	 25.8118 	 52.8646 	 22.9651 	 66 	 45 	 52 	 12.1244 	 669 	 1884 	 440.523 	 6.10888 	 6 	 1575.29 	 0.243476 	 71.1188 	 10.5351 	 32.6868 	 19.9192 	 227 	 45 	 111.5 	 74.8271 	  Tumour 
8 	 507.9 	 899.837 	 499.092 	 863.672 	 7696 	 139.057 	 70.7751 	 0.860787 	 0.97901 	 364.291 	 889.159 	 279.942 	 0.314839 	 649.671 	 772.161 	 90 	 218 	 1835.72 	 1356.86 	 2 	 1590.55 	 0.206673 	 21.4709 	 21.4709 	 21.4709 	 0 	 45 	 45 	 45 	 0 	 669 	 3266 	 335.943 	 -98.4711 	 7 	 2347.04 	 0.304969 	 76.5647 	 14.2367 	 40.3307 	 15.5529 	 183 	 40 	 95.5714 	 56.249 	  Tumour 
9 	 564.254 	 121.283 	 433.022 	 354.447 	 10549 	 145.053 	 92.9049 	 0.767966 	 0.971989 	 421.345 	 1641.65 	 679.738 	 0.414058 	 1267.27 	 1524.65 	 180 	 4290 	 1909.15 	 1430.29 	 4 	 742.791 	 0.0704134 	 97.6934 	 33.7343 	 68.5268 	 21.0083 	 45 	 45 	 45 	 0 	 634 	 2739 	 723.793 	 289.379 	 4 	 3133.6 	 0.297052 	 67.973 	 28.5116 	 43.9241 	 12.5185 	 272 	 72 	 158.5 	 101.812 	  Tumour 
10 	 551.729 	 204.932 	 363.676 	 360.19 	 6353 	 113.412 	 75.6836 	 0.744757 	 0.868846 	 358.191 	 1140.51 	 433.176 	 0.379809 	 625.155 	 1023.51 	 45 	 45 	 2243.56 	 1764.69 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 93 	 715 	 460.753 	 26.3384 	 2 	 708.21 	 0.111476 	 70.1222 	 70.1222 	 70.1222 	 0 	 53 	 40 	 46.5 	 9.19239 	  Tumour 
