rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	CellLabels 	
1 	 62.7971 	 180.201 	 305.439 	 94.921 	 5480 	 99.8704 	 70.5464 	 0.707834 	 0.971287 	 298.25 	 709.839 	 236.858 	 0.333678 	 -511.673 	 488.392 	 261.821 	 -329.588 	 117.795 	 0.328928 	 358.117 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 8190 	 0.921986 	 428.167 	 253.832 	 321.473 	 238.637 	 0.08 	 760.5 	 301.332 	 226.003 	 0.703024 	  DCIS 
2 	 129.712 	 478.155 	 176.695 	 160.056 	 4730 	 112.064 	 54.795 	 0.872305 	 0.973251 	 299.12 	 1364.28 	 435.83 	 0.319459 	 197.794 	 1142.83 	 592.877 	 5.60632 	 74.4432 	 0.108018 	 689.174 	 58 	 61 	 175.569 	 29.615 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 58 	 58 	 58 	 0 	 124 	 308 	 155.847 	 21.8711 	 3 	 1310.09 	 0.276974 	 19.4627 	 9.42286 	 15.6768 	 4.87998 	 61 	 23 	 41.3333 	 19.0351 	 7005 	 0.972376 	 362.024 	 226.667 	 260.479 	 177.644 	 0 	 0 	 0 	 117.127 	 0.449661 	  DCIS 
3 	 131.161 	 739.413 	 117.388 	 198.91 	 6917 	 120.314 	 73.9404 	 0.788868 	 0.966601 	 348.576 	 1079.23 	 306.582 	 0.284076 	 -107.476 	 857.778 	 613.759 	 50.0329 	 85.6465 	 0.12062 	 710.055 	 124 	 226 	 167.492 	 21.538 	 2 	 2632.88 	 0.380639 	 19.1467 	 19.1467 	 19.1467 	 0 	 72 	 52 	 62 	 14.1421 	 463 	 707 	 231.153 	 97.1776 	 4 	 3989.53 	 0.576772 	 33.9143 	 14.5361 	 21.0216 	 7.10361 	 368 	 27 	 115.75 	 168.199 	 8950 	 0.95589 	 420.551 	 976.435 	 1042.2 	 959.364 	 0.139535 	 1997.2 	 952.583 	 560.968 	 0.538254 	  Tumour 
4 	 160.621 	 225.995 	 65.192 	 108.259 	 3182 	 78.7656 	 55.4544 	 0.710158 	 0.922319 	 242.794 	 1192.41 	 300.105 	 0.251679 	 -33.1013 	 970.965 	 681.414 	 90.8362 	 96.8019 	 0.12447 	 777.711 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 172 	 564 	 139.145 	 5.16964 	 2 	 737.25 	 0.231694 	 40.5761 	 40.5761 	 40.5761 	 0 	 152 	 20 	 86 	 93.3381 	 3923 	 0.856924 	 305.539 	 1089.98 	 1442.37 	 1359.53 	 0.612676 	 1853.77 	 1198.68 	 648.184 	 0.449389 	  Tumour 
5 	 156.397 	 160.675 	 578.54 	 94.921 	 3280 	 75.651 	 56.5151 	 0.664768 	 0.955154 	 238.309 	 1226.69 	 345.33 	 0.281515 	 1.84251 	 1005.24 	 725.142 	 146.487 	 74.4697 	 0.0906577 	 821.438 	 37 	 39 	 132.838 	 -13.1161 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 37 	 37 	 37 	 0 	 59 	 60 	 125.864 	 -8.1113 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 59 	 59 	 59 	 0 	 4739 	 0.87082 	 328.267 	 1117.46 	 1416.82 	 1333.98 	 0.537954 	 1442.54 	 1379.21 	 521.284 	 0.367926 	  Tumour 
6 	 177.174 	 630.748 	 117.388 	 96.2549 	 6733 	 97.5125 	 88.7429 	 0.414462 	 0.974949 	 319.262 	 860.623 	 163.806 	 0.190334 	 -232.539 	 639.176 	 791.673 	 236.784 	 154.995 	 0.17455 	 887.969 	 55 	 57 	 159.4 	 13.4461 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 55 	 55 	 55 	 0 	 370 	 1839 	 138.735 	 4.75943 	 6 	 1447.75 	 0.215023 	 82.8856 	 8.75826 	 41.4205 	 21.9967 	 129 	 19 	 61.6667 	 37.6493 	 10323 	 0.920218 	 482.25 	 1054.28 	 1316.5 	 1233.66 	 0.322727 	 1435.68 	 1278.17 	 519.044 	 0.394262 	  Tumour 
7 	 210.615 	 270.988 	 474.788 	 173.738 	 5151 	 95.0175 	 70.7489 	 0.667524 	 0.957435 	 288.492 	 1388.77 	 400.45 	 0.288349 	 216.681 	 1167.32 	 808.239 	 236.166 	 76.7885 	 0.0848928 	 904.535 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 60 	 302 	 159 	 25.0243 	 2 	 2987.73 	 0.580028 	 44.5753 	 44.5753 	 44.5753 	 0 	 53 	 7 	 30 	 32.5269 	 5834 	 0.913847 	 338.953 	 1482.52 	 2136.05 	 2053.22 	 0.744479 	 2463.19 	 1865.4 	 825.925 	 0.38666 	  Tumour 
8 	 228.73 	 96.9396 	 649.437 	 185.594 	 9366 	 117.248 	 104.572 	 0.452261 	 0.958649 	 382.676 	 1105.76 	 265.774 	 0.240354 	 336.848 	 884.316 	 522.637 	 -23.1923 	 119.858 	 0.193653 	 618.933 	 62 	 66 	 155.113 	 9.15896 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 62 	 62 	 62 	 0 	 503 	 1020 	 201.074 	 67.0979 	 3 	 3716.36 	 0.396793 	 41.0895 	 17.8594 	 27.983 	 10.6426 	 400 	 30 	 167.667 	 202.352 	 12953 	 0.920611 	 540.735 	 1005.68 	 1721.82 	 1638.99 	 0.28629 	 1980 	 1670.49 	 491.421 	 0.285407 	  Tumour 
9 	 229.327 	 206.637 	 540.951 	 168.181 	 3160 	 84.0586 	 49.7868 	 0.805727 	 0.852441 	 251.238 	 1667.35 	 380.295 	 0.228084 	 512.028 	 1445.9 	 776.87 	 223.978 	 74.1253 	 0.0848925 	 873.166 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 241 	 850 	 179.398 	 45.4226 	 5 	 915.909 	 0.289845 	 37.3915 	 12.6694 	 22.7521 	 7.7255 	 89 	 32 	 48.2 	 24.0354 	 3792 	 0.887018 	 287.296 	 1424.37 	 1984.89 	 1902.05 	 0.640449 	 2193.72 	 1856.43 	 581.046 	 0.292735 	  Tumour 
10 	 264.883 	 592.407 	 458.855 	 96.2549 	 4072 	 98.8608 	 53.3731 	 0.841741 	 0.944341 	 277.664 	 867.115 	 163.082 	 0.188074 	 246.323 	 645.667 	 434.975 	 -42.0249 	 86.0673 	 0.162003 	 531.271 	 58 	 60 	 132.034 	 -13.9195 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 58 	 58 	 58 	 0 	 102 	 294 	 116.931 	 -17.0443 	 2 	 680.582 	 0.167137 	 29.7366 	 29.7366 	 29.7366 	 0 	 59 	 43 	 51 	 11.3137 	 6433 	 0.921105 	 350.711 	 387.728 	 484.742 	 401.907 	 0.266667 	 1086.98 	 392.752 	 451.02 	 0.930432 	  DCIS 
