rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 	
11 	 309.34 	 461.312 	 233.549 	 73.8173 	 17233 	 202.749 	 110.193 	 0.839413 	 0.950576 	 581.588 	 1964.02 	 640.234 	 0.325982 	 1282.51 	 1899.38 	 503.312 	 -123.663 	 129.863 	 0.20353 	 638.052 	 21046 	 0.853724 	 825.446 	 394.082 	 574.133 	 505.411 	 0.811842 	 596.005 	 557.08 	 156.534 	 0.272644 	 520 	 6522 	 235.706 	 86.4253 	 10 	 1828.3 	 0.106093 	 126.472 	 12.8062 	 61.1461 	 30.1324 	 86 	 45 	 52 	 15.0259 	 309 	 3593 	 221.424 	 73.9852 	 6 	 3456.15 	 0.200554 	 87.9464 	 9.53539 	 49.7262 	 24.0114 	 93 	 34 	 51.5 	 22.0794 	  Tumour 
12 	 248.861 	 418.414 	 291.343 	 73.8173 	 1049 	 58.9051 	 24.1323 	 0.912229 	 0.909801 	 156.267 	 1206.3 	 309.253 	 0.256364 	 573.456 	 1141.67 	 548.292 	 -70.2349 	 80.0246 	 0.117161 	 683.032 	 1766 	 0.916926 	 196.569 	 400.018 	 439.239 	 370.517 	 0.638889 	 527.357 	 397.065 	 221.5 	 0.504282 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Fib 
13 	 365.75 	 609.962 	 189.908 	 219.911 	 21335 	 174.224 	 156.467 	 0.439833 	 0.98128 	 562.801 	 1430.75 	 397.606 	 0.277901 	 793.054 	 1366.11 	 442.348 	 -205.272 	 133.136 	 0.230703 	 577.089 	 35055 	 0.875784 	 959.487 	 347.768 	 503.977 	 435.256 	 0.410372 	 495.613 	 505.859 	 100.799 	 0.200007 	 406 	 4265 	 220.244 	 70.9634 	 6 	 3066.22 	 0.143718 	 104.806 	 12.0416 	 59.9473 	 27.5306 	 90 	 45 	 67.6667 	 19.1485 	 144 	 3607 	 222.083 	 74.6446 	 3 	 19150.8 	 0.897625 	 166.68 	 71.0106 	 114.779 	 43.246 	 121 	 4 	 48 	 63.6632 	  Tumour 
14 	 378.604 	 373.218 	 416.252 	 86.954 	 2851 	 98.2545 	 38.1914 	 0.921365 	 0.904505 	 241.924 	 808.494 	 384.731 	 0.475861 	 510.281 	 743.859 	 571.356 	 -50.4865 	 148.866 	 0.210829 	 706.097 	 4470 	 0.812137 	 334.225 	 352.734 	 376.756 	 308.035 	 0.458861 	 514.131 	 332.212 	 191.375 	 0.507953 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Fib 
15 	 414.58 	 125.008 	 580.787 	 250.599 	 3750 	 75.7939 	 63.7729 	 0.540415 	 0.981418 	 231.338 	 1374.17 	 275.182 	 0.200253 	 892.377 	 1309.53 	 599.532 	 64.7965 	 127.749 	 0.173981 	 734.272 	 5043 	 0.966092 	 319.681 	 540.503 	 533.793 	 465.071 	 0 	 0 	 0 	 395.184 	 0.740333 	 90 	 183 	 280.989 	 131.708 	 2 	 213.581 	 0.056955 	 17.2047 	 17.2047 	 17.2047 	 0 	 45 	 45 	 45 	 0 	 140 	 177 	 247.179 	 99.7398 	 2 	 772.71 	 0.206056 	 10.4002 	 10.4002 	 10.4002 	 0 	 77 	 63 	 70 	 9.89949 	  Tumour 
16 	 422.645 	 448.479 	 319.002 	 86.954 	 5750 	 100.732 	 73.1806 	 0.687183 	 0.972105 	 299.522 	 1024 	 444.276 	 0.433864 	 783.82 	 959.365 	 528.933 	 42.6752 	 109.996 	 0.165737 	 663.674 	 8306 	 0.952523 	 413.137 	 435.026 	 489.2 	 420.478 	 0.442105 	 568.244 	 466.046 	 192.659 	 0.393824 	 85 	 87 	 198.788 	 49.5078 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 85 	 85 	 85 	 0 	 126 	 328 	 209.857 	 62.4184 	 2 	 1148.71 	 0.199776 	 25.405 	 25.405 	 25.405 	 0 	 65 	 61 	 63 	 2.82843 	  Tumour 
17 	 449.367 	 984.201 	 522.108 	 268.991 	 1894 	 84.3459 	 29.1384 	 0.938432 	 0.964358 	 198.51 	 489.091 	 210.983 	 0.431377 	 375.111 	 424.456 	 85.8541 	 18.3339 	 74.3607 	 0.337092 	 220.595 	 3186 	 0.94372 	 257.255 	 98.1146 	 95.1516 	 26.4301 	 0 	 0 	 0 	 35.8006 	 0.376248 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 44 	 46 	 130.455 	 -16.9842 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 44 	 44 	 44 	 0 	  Fib 
18 	 489.458 	 717.553 	 313.002 	 196.726 	 9720 	 119.904 	 103.579 	 0.503752 	 0.984603 	 374.676 	 1486.94 	 379.163 	 0.254996 	 1019.58 	 1422.31 	 478.498 	 -117.915 	 126.304 	 0.205962 	 613.239 	 15944 	 0.899368 	 624.049 	 441.295 	 557.851 	 489.129 	 0.142361 	 478.207 	 561.25 	 220.643 	 0.395524 	 225 	 1559 	 246.387 	 97.1062 	 4 	 1641.09 	 0.168836 	 44.2295 	 17 	 35.2018 	 9.30071 	 90 	 45 	 56.25 	 22.5 	 233 	 765 	 249.322 	 101.883 	 3 	 533.541 	 0.0548911 	 37.1112 	 13.2225 	 28.9097 	 12.1555 	 110 	 47 	 77.6667 	 31.5331 	  Tumour 
19 	 558.969 	 1016.86 	 628.205 	 307.085 	 1152 	 41.6246 	 35.3067 	 0.529649 	 0.983775 	 124.569 	 431.441 	 139.473 	 0.323272 	 317.076 	 366.806 	 354.596 	 -168.84 	 285.192 	 0.582814 	 489.336 	 2512 	 0.947925 	 210.77 	 376.466 	 391.91 	 323.188 	 0 	 0 	 0 	 299.459 	 0.764103 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 45 	 45 	 160.778 	 13.339 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Other 
20 	 564.651 	 950.658 	 595.834 	 245.082 	 926 	 42.7994 	 27.9748 	 0.756818 	 0.958592 	 117.497 	 483.378 	 194.808 	 0.403013 	 318.684 	 418.743 	 217.864 	 26.4302 	 49.05 	 0.139108 	 352.605 	 1713 	 0.987889 	 161.456 	 159.342 	 158.929 	 90.2071 	 0 	 0 	 0 	 65.4035 	 0.411528 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
