rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 124.715 	 255.071 	 110.887 	 NaN 	 6759 	 129.335 	 70.3303 	 0.839226 	 0.933692 	 370.032 	 972.712 	 446.885 	 0.459422 	 497.621 	 843.631 	 144 	 520 	 682.264 	 135.218 	 2 	 1723.6 	 0.255008 	 45.999 	 45.999 	 45.999 	 0 	 75 	 69 	 72 	 4.24264 	 46 	 48 	 233.174 	 5.90861 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 46 	 46 	 46 	 0 	  Tumour 
2 	 134.334 	 104.267 	 111.759 	 NaN 	 3556 	 69.2367 	 65.7959 	 0.311327 	 0.975583 	 233.522 	 910.843 	 317.398 	 0.348466 	 510.908 	 781.762 	 57 	 59 	 582.877 	 35.8311 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 57 	 57 	 57 	 0 	 77 	 89 	 199.052 	 -28.2134 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 77 	 77 	 77 	 0 	  Tumour 
3 	 211.412 	 184.851 	 110.887 	 NaN 	 7038 	 103.456 	 87.5647 	 0.532555 	 0.96636 	 334.919 	 1028.85 	 344.004 	 0.334359 	 569.242 	 899.765 	 130 	 586 	 660.531 	 113.485 	 2 	 854.778 	 0.121452 	 53.4404 	 53.4404 	 53.4404 	 0 	 70 	 60 	 65 	 7.07107 	 124 	 326 	 228.403 	 1.13792 	 3 	 2176.24 	 0.309213 	 27.2144 	 11.8017 	 18.8226 	 6.97408 	 49 	 30 	 41.3333 	 10.0167 	  Tumour 
4 	 249.62 	 268.977 	 125.782 	 NaN 	 3836 	 93.497 	 54.1337 	 0.815336 	 0.934015 	 275.12 	 902.636 	 405.105 	 0.448802 	 550.941 	 773.555 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
5 	 286.944 	 667.576 	 443.636 	 NaN 	 8306 	 146.7 	 75.7521 	 0.856364 	 0.954493 	 421.446 	 815.75 	 220.862 	 0.270747 	 539.144 	 686.669 	 136 	 687 	 542.324 	 -4.72252 	 2 	 3269.3 	 0.393607 	 64.4731 	 64.4731 	 64.4731 	 0 	 107 	 29 	 68 	 55.1543 	 222 	 1124 	 220.126 	 -7.13918 	 5 	 968.331 	 0.116582 	 78.2934 	 12.1141 	 37.5889 	 19.6679 	 52 	 36 	 44.4 	 5.77062 	  Tumour 
6 	 379.021 	 385.589 	 285.792 	 NaN 	 6320 	 95.3362 	 84.741 	 0.45817 	 0.968879 	 317.12 	 1135.53 	 473.194 	 0.416717 	 764.894 	 1006.45 	 144 	 549 	 734.34 	 187.294 	 3 	 1737.22 	 0.274877 	 36.1451 	 17.5582 	 26.1115 	 8.39101 	 60 	 37 	 48 	 11.5326 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
7 	 396.282 	 812.2 	 619.427 	 NaN 	 8834 	 144.902 	 79.0555 	 0.83806 	 0.945015 	 400.659 	 977.812 	 342.299 	 0.350066 	 695.965 	 848.731 	 127 	 663 	 569.835 	 22.7886 	 2 	 1711.37 	 0.193726 	 64.043 	 64.043 	 64.043 	 0 	 67 	 60 	 63.5 	 4.94975 	 289 	 2238 	 232.758 	 5.49248 	 4 	 1402.3 	 0.158739 	 99.1475 	 14.9434 	 56.6216 	 30.3601 	 90 	 40 	 57.8 	 21.2532 	  Tumour 
8 	 414.506 	 131.948 	 315.006 	 NaN 	 4773 	 85.7025 	 73.0095 	 0.523713 	 0.967762 	 275.179 	 1758.84 	 603.015 	 0.342848 	 1036.41 	 1629.76 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
9 	 513.523 	 57.5973 	 436.039 	 NaN 	 5732 	 91.9601 	 79.5964 	 0.500815 	 0.984034 	 285.137 	 1422.2 	 376.789 	 0.264934 	 868.175 	 1293.12 	 149 	 296 	 871.799 	 324.753 	 2 	 2263.25 	 0.394846 	 23.3518 	 23.3518 	 23.3518 	 0 	 100 	 49 	 74.5 	 36.0624 	 118 	 628 	 258.949 	 31.6838 	 3 	 421.539 	 0.0735413 	 36.5188 	 17.3886 	 28.2602 	 8.79147 	 46 	 29 	 39.3333 	 9.07377 	  Tumour 
10 	 544.879 	 958.864 	 819.766 	 NaN 	 11356 	 140.786 	 102.964 	 0.682004 	 0.971595 	 427.245 	 814.573 	 234.645 	 0.288058 	 530.69 	 685.492 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 54 	 54 	 191.926 	 -35.3394 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 54 	 54 	 54 	 0 	  Tumour 
