rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	CellLabels 	
11 	 517.965 	 906.43 	 268.822 	 199.484 	 5426 	 141.477 	 50.4775 	 0.934185 	 0.943652 	 358.659 	 999.806 	 405.198 	 0.405277 	 688.5 	 899.424 	 238.283 	 113.572 	 81.72 	 0.255622 	 319.69 	 90 	 150 	 107.467 	 -21.9426 	 2 	 532.234 	 0.0980896 	 13.0384 	 13.0384 	 13.0384 	 0 	 45 	 45 	 45 	 0 	 44 	 44 	 112 	 21.4746 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 44 	 44 	 44 	 0 	 6607 	 0.953391 	 373.404 	 89.6136 	 79.5524 	 -0.553991 	 0 	 0 	 0 	 25.1705 	 0.316402 	  Fib 
12 	 641.744 	 318.384 	 278.959 	 76.1577 	 6505 	 117.007 	 71.5962 	 0.790937 	 0.961709 	 341.404 	 1799.52 	 980.977 	 0.545131 	 1414.68 	 1699.14 	 504.656 	 187.823 	 149.451 	 0.255008 	 586.064 	 111 	 413 	 161.369 	 31.9601 	 2 	 594.115 	 0.0913321 	 38.7538 	 38.7538 	 38.7538 	 0 	 80 	 31 	 55.5 	 34.6482 	 74 	 76 	 165.5 	 74.9746 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 74 	 74 	 74 	 0 	 10293 	 0.89958 	 522.6 	 213.159 	 244.534 	 164.428 	 0.188636 	 307.831 	 234.499 	 188.142 	 0.769389 	  DCIS 
13 	 680.242 	 252.24 	 923.916 	 76.1577 	 3177 	 81.8001 	 52.8752 	 0.763003 	 0.883973 	 257.238 	 1048.36 	 289.37 	 0.276022 	 506.1 	 947.977 	 721.986 	 242.189 	 149.976 	 0.186678 	 803.394 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3868 	 0.859365 	 298.208 	 417.975 	 470.711 	 390.605 	 0.787072 	 500.227 	 441.776 	 283.378 	 0.602021 	  Tumour 
14 	 708.739 	 200.521 	 981.736 	 134.826 	 9030 	 139.399 	 90.8463 	 0.758479 	 0.837896 	 460.676 	 1413.77 	 552.05 	 0.39048 	 679.056 	 1313.39 	 1046.37 	 216.468 	 169.472 	 0.150271 	 1127.78 	 129 	 132 	 280.101 	 150.692 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 129 	 129 	 129 	 0 	 78 	 80 	 138.359 	 47.8336 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 78 	 78 	 78 	 0 	 14684 	 0.796528 	 658.843 	 730.566 	 824.615 	 744.508 	 0.210069 	 625.479 	 840.649 	 480.365 	 0.582533 	  Tumour 
15 	 830.321 	 267.66 	 1015.2 	 121.696 	 8620 	 116.567 	 97.3831 	 0.549602 	 0.939202 	 433.73 	 862.394 	 254.497 	 0.295105 	 410.29 	 762.011 	 586.054 	 47.9483 	 81.5377 	 0.122161 	 667.462 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 10785 	 0.932152 	 472.233 	 311.777 	 291.477 	 211.371 	 0.0475059 	 489.8 	 288.04 	 110.826 	 0.380223 	  Tumour 
16 	 899.972 	 114.001 	 1173.41 	 71.5891 	 5541 	 98.0232 	 73.1765 	 0.66536 	 0.961478 	 302.593 	 2340.08 	 727.56 	 0.310913 	 1277.95 	 2239.69 	 923.066 	 49.3792 	 122.538 	 0.121992 	 1004.47 	 59 	 62 	 184.22 	 54.8111 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 59 	 59 	 59 	 0 	 249 	 457 	 251.743 	 161.218 	 2 	 382.147 	 0.0689671 	 19.9057 	 19.9057 	 19.9057 	 0 	 164 	 85 	 124.5 	 55.8614 	 8169 	 0.914167 	 394.09 	 490.961 	 552.469 	 472.363 	 0.0914454 	 500.968 	 557.941 	 263.726 	 0.477359 	  Tumour 
17 	 897.869 	 921.013 	 380.296 	 129.711 	 3171 	 90.0415 	 49.6206 	 0.834449 	 0.841784 	 279.806 	 933.008 	 298.402 	 0.319827 	 453.281 	 832.626 	 342.594 	 62.711 	 75.3843 	 0.177792 	 424.002 	 57 	 59 	 128.246 	 -1.16365 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 57 	 57 	 57 	 0 	 86 	 173 	 101.663 	 11.1374 	 2 	 325.238 	 0.102566 	 17.5214 	 17.5214 	 17.5214 	 0 	 50 	 36 	 43 	 9.89949 	 4977 	 0.890659 	 329.421 	 318.589 	 472.111 	 392.005 	 0 	 0 	 0 	 431.5 	 0.913981 	  DCIS 
18 	 918.727 	 350.514 	 684.709 	 75.6637 	 2163 	 62.9146 	 45.671 	 0.687778 	 0.965625 	 187.823 	 1256.5 	 448.364 	 0.356835 	 475.847 	 1156.12 	 798.621 	 56.6584 	 166.3 	 0.188971 	 880.028 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3606 	 0.743505 	 309.907 	 827.649 	 959.534 	 879.427 	 0.665414 	 1242.74 	 808.856 	 598.218 	 0.623446 	  Other 
19 	 949.704 	 450.251 	 1001.38 	 103.74 	 4950 	 131.756 	 53.4069 	 0.914162 	 0.866597 	 337.505 	 1203.1 	 482.853 	 0.401341 	 821.397 	 1102.72 	 765.229 	 248.152 	 145.412 	 0.171752 	 846.636 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 5673 	 0.840694 	 374.09 	 1118.01 	 1068.98 	 988.872 	 0.413793 	 1464.7 	 950.694 	 547.517 	 0.512187 	  Tumour 
20 	 949.359 	 258.543 	 1110.63 	 96.7678 	 7223 	 108.636 	 86.5119 	 0.604839 	 0.946286 	 351.362 	 1761.33 	 681.234 	 0.386772 	 1048.42 	 1660.95 	 847.525 	 206.166 	 185.832 	 0.200049 	 928.933 	 58 	 60 	 211.379 	 81.97 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 58 	 58 	 58 	 0 	 250 	 460 	 251.54 	 161.015 	 3 	 1767.52 	 0.244708 	 34.4373 	 17.1499 	 23.2836 	 8.65394 	 171 	 34 	 83.3333 	 76.1205 	 10133 	 0.900391 	 451.99 	 935.471 	 929.056 	 848.949 	 0.418782 	 1007.82 	 907.546 	 552.781 	 0.594992 	  Tumour 
21 	 972.006 	 405.453 	 1043.69 	 75.6637 	 6464 	 131.137 	 64.3868 	 0.871167 	 0.947245 	 352.96 	 1518.4 	 370.069 	 0.243723 	 815.397 	 1418.02 	 933.535 	 218.204 	 130.064 	 0.128149 	 1014.94 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 7656 	 0.939732 	 389.889 	 1038.49 	 1269.85 	 1189.75 	 0.586626 	 1387.06 	 1203.35 	 493.432 	 0.388573 	  Tumour 
22 	 969.861 	 99.0577 	 924.961 	 71.5891 	 1351 	 59.3681 	 32.0755 	 0.841485 	 0.916554 	 167.782 	 877.278 	 292.702 	 0.333648 	 397.75 	 776.895 	 359.17 	 13.8792 	 146.756 	 0.3331 	 440.577 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 136 	 180 	 95.3971 	 4.87165 	 2 	 253.106 	 0.187347 	 12.6993 	 12.6993 	 12.6993 	 0 	 94 	 42 	 68 	 36.7696 	 1960 	 0.915033 	 206.51 	 268.432 	 285.606 	 205.499 	 0.405556 	 473.356 	 236.162 	 180.559 	 0.632198 	  Other 
23 	 1004 	 162.914 	 1214.66 	 72.4707 	 8264 	 128.017 	 84.3065 	 0.75253 	 0.945754 	 382.86 	 1335.86 	 515.285 	 0.385734 	 1000.53 	 1235.48 	 621.424 	 387.507 	 189.839 	 0.270106 	 702.831 	 38 	 41 	 149.158 	 19.7486 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 38 	 38 	 38 	 0 	 367 	 840 	 144.104 	 53.5781 	 4 	 2287.31 	 0.27678 	 41.9766 	 14.1587 	 24.4039 	 10.6733 	 163 	 45 	 91.75 	 55.3376 	 9509 	 0.93657 	 412.617 	 314.462 	 311.796 	 231.69 	 0.301724 	 483.314 	 283.623 	 170.914 	 0.548159 	  Tumour 
24 	 1015.36 	 865.4 	 930.177 	 102.421 	 9081 	 123.116 	 97.2504 	 0.613222 	 0.930716 	 400.475 	 979.282 	 253.891 	 0.259263 	 564.703 	 878.899 	 617.674 	 80.9578 	 72.671 	 0.103952 	 699.081 	 62 	 64 	 152.5 	 23.0907 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 62 	 62 	 62 	 0 	 61 	 65 	 141.607 	 51.0812 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 61 	 61 	 61 	 0 	 13068 	 0.938726 	 480.558 	 1325.81 	 1553.97 	 1473.86 	 0.369458 	 1995.11 	 1436.78 	 839.49 	 0.540225 	  Tumour 
25 	 1079.88 	 761.302 	 1010.4 	 94.1541 	 10126 	 133.415 	 99.4831 	 0.666316 	 0.969088 	 412.86 	 1456.1 	 538.604 	 0.369895 	 1026.07 	 1355.72 	 805.353 	 259.425 	 140.62 	 0.158577 	 886.76 	 120 	 285 	 163.05 	 33.6407 	 2 	 242.088 	 0.0239076 	 26.024 	 26.024 	 26.024 	 0 	 68 	 52 	 60 	 11.3137 	 614 	 1728 	 206.495 	 115.97 	 7 	 4220.17 	 0.416766 	 56.4862 	 13.6936 	 28.5723 	 11.4414 	 255 	 38 	 87.7143 	 74.8459 	 12205 	 0.944659 	 483.387 	 1026.12 	 1229.63 	 1149.53 	 0.421569 	 2256.62 	 936.269 	 1005.34 	 0.817596 	  Tumour 
26 	 1116.02 	 848.169 	 600.806 	 94.1541 	 8513 	 150.651 	 75.1488 	 0.866701 	 0.883275 	 458.073 	 848.217 	 232.242 	 0.2738 	 477.629 	 747.835 	 512.709 	 83.1083 	 91.8906 	 0.154668 	 594.116 	 76 	 107 	 118.382 	 -11.0277 	 2 	 2442.95 	 0.286967 	 9.67935 	 9.67935 	 9.67935 	 0 	 45 	 31 	 38 	 9.89949 	 93 	 266 	 92.3548 	 1.82943 	 2 	 1220.41 	 0.143358 	 27.3581 	 27.3581 	 27.3581 	 0 	 48 	 45 	 46.5 	 2.12132 	 15226 	 0.865901 	 610.642 	 1228.83 	 1361.49 	 1281.39 	 0.471264 	 2012.76 	 1142.34 	 1000.01 	 0.734493 	  DCIS 
27 	 1204.11 	 959.333 	 688.044 	 150.987 	 10014 	 127.766 	 102.131 	 0.600855 	 0.953805 	 412.517 	 922.761 	 250.501 	 0.271469 	 527.552 	 822.378 	 358.605 	 23.328 	 49.1628 	 0.11173 	 440.012 	 95 	 228 	 129.832 	 0.422311 	 2 	 3210.56 	 0.320607 	 24.0374 	 24.0374 	 24.0374 	 0 	 54 	 41 	 47.5 	 9.19239 	 107 	 315 	 113.009 	 22.4839 	 2 	 842.102 	 0.0840924 	 33.3079 	 33.3079 	 33.3079 	 0 	 73 	 34 	 53.5 	 27.5772 	 15441 	 0.926108 	 508.416 	 233.959 	 405.263 	 325.156 	 0.148402 	 1000.66 	 360.383 	 353.806 	 0.873029 	  DCIS 
28 	 1212.38 	 765.927 	 1139.16 	 126.254 	 5046 	 112.743 	 60.4176 	 0.844288 	 0.909189 	 317.404 	 741.426 	 184.493 	 0.248836 	 368.699 	 641.043 	 428.143 	 57.6936 	 60.8406 	 0.119401 	 509.55 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 7490 	 0.740045 	 517.044 	 288.38 	 352.016 	 271.91 	 0.131818 	 530.138 	 336.852 	 286.353 	 0.813467 	  Tumour 
29 	 1303.04 	 845.16 	 1218.73 	 150.987 	 6919 	 108.623 	 83.2164 	 0.642717 	 0.955135 	 343.747 	 950.961 	 285.333 	 0.300047 	 435.411 	 850.579 	 601.254 	 150.57 	 151.552 	 0.222002 	 682.661 	 117 	 456 	 149.043 	 19.6335 	 2 	 2939.65 	 0.424866 	 41.3435 	 41.3435 	 41.3435 	 0 	 60 	 57 	 58.5 	 2.12132 	 449 	 777 	 163.229 	 72.704 	 2 	 1355.47 	 0.195905 	 21.523 	 15.6673 	 18.6035 	 2.61877 	 316 	 63 	 149.667 	 144.091 	 7996 	 0.926535 	 380.191 	 1083.21 	 697.436 	 617.33 	 0.179878 	 488.458 	 714.985 	 286.697 	 0.411073 	  Tumour 
30 	 1509.51 	 270.658 	 1579.64 	 512.197 	 8713 	 115.651 	 97.0687 	 0.543634 	 0.985076 	 359.463 	 918.204 	 219.192 	 0.238719 	 644.065 	 817.822 	 339.593 	 71.5624 	 59.9262 	 0.142342 	 421 	 108 	 336 	 126.028 	 -3.38149 	 2 	 1911.92 	 0.219433 	 31.5448 	 31.5448 	 31.5448 	 0 	 58 	 50 	 54 	 5.65685 	 596 	 1741 	 160.745 	 70.2196 	 8 	 2202.59 	 0.252794 	 47.2109 	 11.1325 	 24.8566 	 9.11338 	 183 	 31 	 74.5 	 48.7794 	 12265 	 0.942157 	 473.446 	 579.868 	 793.853 	 713.747 	 0 	 0 	 0 	 390.305 	 0.491659 	  Tumour 
31 	 1692.9 	 268.06 	 1747.18 	 330.194 	 4435 	 125.178 	 45.6155 	 0.931241 	 0.967285 	 296.409 	 827.807 	 355.79 	 0.429798 	 514.8 	 727.425 	 383.739 	 134.792 	 144.125 	 0.309848 	 465.146 	 45 	 45 	 102.778 	 -26.6315 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 429 	 721 	 178.214 	 87.689 	 3 	 656.975 	 0.148134 	 39.8771 	 15.479 	 26.6161 	 11.0345 	 290 	 34 	 143 	 132.163 	 5565 	 0.88841 	 356.208 	 1073.47 	 1099.9 	 1019.79 	 0.392523 	 1319.59 	 1034.27 	 847.829 	 0.770823 	  Tumour 
32 	 1736.67 	 324.773 	 1766.25 	 284.635 	 9835 	 157.6 	 88.6691 	 0.826714 	 0.857529 	 461.061 	 1388.32 	 397.335 	 0.286199 	 1012.6 	 1287.93 	 540.185 	 192.796 	 101.15 	 0.162728 	 621.593 	 156 	 362 	 177.583 	 48.1741 	 2 	 2844.34 	 0.289206 	 25.5353 	 25.5353 	 25.5353 	 0 	 81 	 75 	 78 	 4.24264 	 647 	 1274 	 251.807 	 161.281 	 3 	 4909.12 	 0.499148 	 32.1113 	 11.2708 	 23.6905 	 8.13932 	 493 	 39 	 161.75 	 221.006 	 12735 	 0.808777 	 584.357 	 1272.6 	 1868.2 	 1788.09 	 0.714286 	 2238.35 	 1636.64 	 1055.02 	 0.564725 	  Tumour 
