rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 138.726 	 403.257 	 65.7647 	 405.498 	 8422 	 206.569 	 53.8867 	 0.965375 	 0.893676 	 488.174 	 1533.22 	 532.753 	 0.347474 	 986.963 	 1373.62 	 45 	 45 	 273.822 	 63.3446 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 9623 	 0.904928 	 499.747 	 90.2764 	 87.4379 	 -1.47667 	 0.108352 	 81.5 	 87.7133 	 13.0911 	 0.149719 	 29.0452 	 10.2897 	 18.406 	 0.228432 	 80.5754 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Fib 
2 	 93.1134 	 449.818 	 65.7647 	 412.698 	 2099 	 76.8224 	 35.9058 	 0.884053 	 0.891295 	 225.037 	 1001.09 	 251.276 	 0.251003 	 -53.9496 	 841.488 	 45 	 45 	 219.111 	 8.6335 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 2784 	 0.936428 	 235.622 	 85.3933 	 86.3 	 -2.61459 	 0.24 	 82.25 	 87.3835 	 13.6245 	 0.157874 	 17.3307 	 -76.0711 	 9.72534 	 0.141232 	 68.8609 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
3 	 134.081 	 842.116 	 439.028 	 322.407 	 5280 	 142.145 	 50.9527 	 0.933547 	 0.902718 	 348.534 	 1301.98 	 701.574 	 0.538853 	 948.925 	 1142.38 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 6246 	 0.906794 	 365.078 	 117.064 	 93.795 	 4.88044 	 0 	 0 	 0 	 14.0815 	 0.15013 	 29.8001 	 19.6594 	 18.1541 	 0.223214 	 81.3303 	 157 	 276 	 97.8025 	 22.3686 	 2 	 1578.96 	 0.299045 	 20.8594 	 20.8594 	 20.8594 	 0 	 95 	 62 	 78.5 	 23.3345 	  Fib 
4 	 219.984 	 754.95 	 361.199 	 225.009 	 2515 	 69.2321 	 48.7507 	 0.710038 	 0.913217 	 208.894 	 1038.02 	 289.157 	 0.278566 	 636.203 	 878.423 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3115 	 0.93656 	 224.024 	 94.7894 	 109.065 	 20.1504 	 0 	 0 	 0 	 49.3508 	 0.45249 	 10.7533 	 -19.4987 	 8.2274 	 0.132096 	 62.2835 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
5 	 237.574 	 308.445 	 137.208 	 420.12 	 2554 	 70.4021 	 46.5038 	 0.750786 	 0.968892 	 207.966 	 993.917 	 286.577 	 0.288331 	 484.963 	 834.319 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3160 	 0.978025 	 217.782 	 121.946 	 114.338 	 25.4239 	 0 	 0 	 0 	 32.3867 	 0.283252 	 31.8382 	 5.17043 	 20.8688 	 0.250321 	 83.3684 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
6 	 354.729 	 568.214 	 271.811 	 137.201 	 5778 	 116.373 	 63.7798 	 0.836438 	 0.964608 	 314.676 	 1915.91 	 993.804 	 0.518712 	 1472.4 	 1756.31 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 6720 	 0.964547 	 333.563 	 123.029 	 104.642 	 15.7278 	 0 	 0 	 104.988 	 11.8239 	 0.112994 	 18.3228 	 8.68105 	 10.6904 	 0.153042 	 69.8531 	 242 	 498 	 149.24 	 73.8057 	 2 	 1029.23 	 0.17813 	 29.9156 	 29.9156 	 29.9156 	 0 	 180 	 62 	 121 	 83.4386 	  DCIS 
7 	 436.971 	 678.294 	 79.404 	 137.201 	 8944 	 125.09 	 92.2915 	 0.675019 	 0.974929 	 383.019 	 2173.52 	 825.576 	 0.379834 	 1728.53 	 2013.92 	 45 	 45 	 268.333 	 57.8557 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 15514 	 0.932668 	 559.647 	 567.356 	 582.952 	 494.037 	 0.24 	 658.842 	 571.192 	 200.727 	 0.344328 	 142.386 	 16.3643 	 23.4707 	 0.121035 	 193.916 	 389 	 2599 	 141.087 	 65.6534 	 4 	 1899.53 	 0.212381 	 64.6627 	 14.6963 	 48.3393 	 17.3335 	 120 	 51 	 97.25 	 31.5317 	  Tumour 
8 	 425.916 	 120.265 	 403.061 	 558.108 	 5884 	 102.949 	 72.8946 	 0.706149 	 0.976598 	 306.191 	 1733.61 	 968.177 	 0.558474 	 1286.25 	 1574.01 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 6816 	 0.970802 	 326.149 	 136.863 	 125.214 	 36.2989 	 0 	 0 	 0 	 51.7847 	 0.413571 	 28.4511 	 12.1073 	 16.0987 	 0.201281 	 79.9813 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
9 	 445.406 	 756.895 	 79.404 	 209.335 	 7880 	 123.792 	 85.606 	 0.722348 	 0.939773 	 378.676 	 2353.5 	 889.765 	 0.378061 	 1867.11 	 2193.9 	 90 	 459 	 283.444 	 72.9668 	 2 	 1293.81 	 0.16419 	 58.0345 	 58.0345 	 58.0345 	 0 	 45 	 45 	 45 	 0 	 8461 	 0.941262 	 439.789 	 572.75 	 661.84 	 572.926 	 0.510638 	 687.896 	 649.199 	 258.48 	 0.390547 	 123.806 	 39.9699 	 29.1352 	 0.166168 	 175.336 	 412 	 2248 	 140.583 	 65.1486 	 8 	 1256.72 	 0.159483 	 67.5609 	 8.94427 	 36.855 	 17.3203 	 57 	 45 	 51.5 	 5.70714 	  Tumour 
10 	 445.393 	 500.796 	 321.31 	 177.181 	 4423 	 112.82 	 51.5834 	 0.889354 	 0.947312 	 294.877 	 1406.78 	 626.321 	 0.445218 	 975.216 	 1247.18 	 45 	 45 	 227.844 	 17.3668 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 5340 	 0.942797 	 321.563 	 116.369 	 128.569 	 39.6543 	 0 	 0 	 128.886 	 94.6288 	 0.736017 	 25.4185 	 13.4193 	 11.978 	 0.155662 	 76.9487 	 84 	 89 	 117.714 	 42.2803 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 84 	 84 	 84 	 0 	  DCIS 
