rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 82.5441 	 124.159 	 81.8413 	 1051.11 	 3209 	 94.1685 	 43.6902 	 0.885857 	 0.959056 	 255.522 	 1558.06 	 480.321 	 0.308282 	 509.326 	 1310.8 	 9273 	 0.842847 	 513.245 	 627.141 	 741.43 	 579.201 	 0.190045 	 686.524 	 746.299 	 147.551 	 0.199009 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 30.9204 	 -17.3467 	 9.8481 	 0.10796 	 91.2197 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
2 	 129.998 	 190.586 	 81.8413 	 982.56 	 2458 	 81.5023 	 38.56 	 0.881001 	 0.962789 	 211.865 	 1296.67 	 340.652 	 0.262713 	 196.428 	 1049.41 	 5712 	 0.910279 	 333.563 	 599.486 	 628.347 	 466.118 	 0.291667 	 677.155 	 617.683 	 173.767 	 0.276547 	 108 	 118 	 292.611 	 167.166 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 108 	 108 	 108 	 0 	 70.2784 	 5.34704 	 12.2249 	 0.0936213 	 130.578 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
3 	 291.056 	 911.679 	 814.99 	 652.665 	 2737 	 71.1588 	 49.5912 	 0.717159 	 0.966796 	 211.966 	 1410.79 	 368.186 	 0.260979 	 554.68 	 1163.53 	 3562 	 0.976158 	 226.51 	 280.974 	 298.425 	 136.196 	 0 	 0 	 0 	 91.94 	 0.308084 	 45 	 45 	 105.022 	 -20.4232 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 28.4435 	 -4.76027 	 7.41504 	 0.0835565 	 88.7428 	 130 	 248 	 120.846 	 10.4315 	 2 	 666.372 	 0.243468 	 20.1985 	 20.1985 	 20.1985 	 0 	 70 	 60 	 65 	 7.07107 	  DCIS 
4 	 346.224 	 719.961 	 651.448 	 595.245 	 3190 	 71.4034 	 57.6341 	 0.590331 	 0.973451 	 217.137 	 1506.92 	 460.236 	 0.305415 	 404.26 	 1259.66 	 4685 	 0.947039 	 276.25 	 351.821 	 350.829 	 188.6 	 0.0940171 	 485.636 	 345.354 	 108.41 	 0.30901 	 45 	 45 	 153.689 	 28.2435 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 37.7769 	 -18.1315 	 11.16 	 0.113789 	 98.0762 	 71 	 74 	 149.648 	 39.2333 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 71 	 71 	 71 	 0 	  DCIS 
5 	 398.31 	 323.987 	 373.129 	 685.6 	 3487 	 78.262 	 57.8678 	 0.673253 	 0.959021 	 253.924 	 1613.59 	 467.06 	 0.289455 	 565.48 	 1366.32 	 4420 	 0.955263 	 259.723 	 355.211 	 373.251 	 211.022 	 0.242291 	 354.018 	 375.634 	 58.8631 	 0.157704 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 35.8151 	 -0.783424 	 11.7232 	 0.121971 	 96.1144 	 97 	 319 	 133.186 	 22.7709 	 2 	 156.501 	 0.0448814 	 29.5286 	 29.5286 	 29.5286 	 0 	 50 	 47 	 48.5 	 2.12132 	  DCIS 
6 	 433.323 	 734.919 	 704.146 	 506.996 	 4946 	 86.8048 	 73.2054 	 0.53739 	 0.973047 	 276.593 	 1143.23 	 292.413 	 0.255777 	 393.172 	 895.973 	 7420 	 0.856615 	 409.647 	 445.327 	 562.466 	 400.237 	 0.214286 	 913.947 	 520.782 	 378.836 	 0.673528 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 39.6327 	 -6.13285 	 8.88979 	 0.0889583 	 99.9321 	 82 	 413 	 118.012 	 7.59756 	 2 	 271.901 	 0.0549739 	 50.9094 	 50.9094 	 50.9094 	 0 	 41 	 41 	 41 	 0 	  DCIS 
7 	 419.793 	 394.431 	 431.821 	 645.805 	 2740 	 72.8965 	 48.157 	 0.750719 	 0.983136 	 200.61 	 1997.6 	 274.765 	 0.137547 	 525.11 	 1750.34 	 3323 	 0.952149 	 230.267 	 367.974 	 367.115 	 204.886 	 0.258373 	 372.537 	 367.948 	 49.9167 	 0.13597 	 75 	 287 	 146.307 	 20.8613 	 2 	 461.91 	 0.16858 	 36.886 	 36.886 	 36.886 	 0 	 45 	 30 	 37.5 	 10.6066 	 56.3817 	 -7.90014 	 9.87681 	 0.084648 	 116.681 	 29 	 29 	 129.034 	 18.6198 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 29 	 29 	 29 	 0 	  DCIS 
8 	 417.274 	 627.11 	 603.792 	 548.056 	 2300 	 81.4801 	 36.4164 	 0.894566 	 0.966387 	 202.811 	 2231.62 	 299.018 	 0.133992 	 578.377 	 1984.35 	 4956 	 0.833361 	 336.593 	 575.419 	 610.818 	 448.589 	 0.179054 	 1113.21 	 563.978 	 360.379 	 0.589995 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 67.4742 	 -10.2458 	 20.3096 	 0.15895 	 127.773 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
9 	 435.787 	 833.109 	 792.016 	 499.73 	 4528 	 79.2916 	 73.4754 	 0.37593 	 0.986922 	 253.782 	 829.62 	 246.468 	 0.297086 	 452.687 	 582.358 	 5500 	 0.987255 	 279.196 	 382.168 	 396.309 	 234.08 	 0 	 0 	 0 	 53.4016 	 0.134747 	 45 	 45 	 161.667 	 36.2213 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 82.9156 	 21.1116 	 26.7001 	 0.186434 	 143.215 	 180 	 554 	 132.011 	 21.5965 	 4 	 1124.31 	 0.248301 	 29.4109 	 10.4403 	 19.6074 	 6.60995 	 45 	 45 	 45 	 0 	  DCIS 
10 	 458.005 	 335.641 	 430.777 	 624.871 	 2705 	 68.051 	 51.3501 	 0.656204 	 0.985069 	 197.095 	 2168.28 	 262.378 	 0.121007 	 401.901 	 1921.02 	 3602 	 0.976681 	 226.51 	 366.086 	 376.81 	 214.581 	 0.285 	 394.456 	 373.085 	 30.8791 	 0.0819488 	 45 	 45 	 145.578 	 20.1324 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 58.2083 	 -3.61564 	 10.0635 	 0.0849188 	 118.508 	 44 	 45 	 139.523 	 29.1081 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 44 	 44 	 44 	 0 	  DCIS 
