rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 414.33 	 133.687 	 72.111 	 NaN 	 5393 	 92.4544 	 75.7662 	 0.573082 	 0.929507 	 302.25 	 1521.92 	 469.524 	 0.308507 	 766.1 	 1450.32 	 6190 	 0.891545 	 340.877 	 2762.46 	 3410.95 	 3137.54 	 0.633562 	 3777.1 	 3243.56 	 558.472 	 0.163729 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 300.755 	 -70.7034 	 49.4939 	 0.135025 	 366.553 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
2 	 425.347 	 213.974 	 77.666 	 NaN 	 5179 	 88.3675 	 74.8428 	 0.531674 	 0.976433 	 280.108 	 1697.75 	 623.169 	 0.367057 	 1000.55 	 1626.14 	 7445 	 0.907263 	 366.635 	 2476.16 	 3294.82 	 3021.4 	 0.526646 	 3838.18 	 3078.52 	 644.123 	 0.195496 	 115 	 297 	 260.522 	 45.7505 	 2 	 505.691 	 0.0976427 	 29.3812 	 29.3812 	 29.3812 	 0 	 58 	 57 	 57.5 	 0.707107 	 316.791 	 -37.0042 	 53.4188 	 0.139624 	 382.589 	 163 	 470 	 433.914 	 94.8516 	 3 	 1105.55 	 0.213468 	 29.7491 	 17.3238 	 21.628 	 6.29434 	 76 	 39 	 54.3333 	 19.2959 	  Tumour 
3 	 438.38 	 65.7329 	 72.111 	 NaN 	 4391 	 93.384 	 60.1104 	 0.765285 	 0.975995 	 262.007 	 1300.73 	 371.835 	 0.285867 	 729.599 	 1229.13 	 5974 	 0.921061 	 333.12 	 2737.09 	 3003.84 	 2730.42 	 0.279152 	 3728.01 	 2877.71 	 806.511 	 0.268494 	 45 	 45 	 228.6 	 13.8288 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 356.463 	 28.4101 	 77.0216 	 0.182403 	 422.261 	 223 	 666 	 465.004 	 125.942 	 2 	 1611.71 	 0.367048 	 55.5672 	 55.5672 	 55.5672 	 0 	 162 	 61 	 111.5 	 71.4178 	  Tumour 
4 	 485.689 	 911.369 	 780.329 	 NaN 	 5425 	 92.6451 	 74.7601 	 0.590618 	 0.98511 	 279.865 	 2151.34 	 787.367 	 0.365989 	 1377.91 	 2079.74 	 11943 	 0.945231 	 453.588 	 2468.12 	 3093.58 	 2820.16 	 0.15625 	 3712.2 	 3027.6 	 628.353 	 0.203115 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 634.652 	 178.244 	 111.891 	 0.159741 	 700.451 	 226 	 250 	 739.336 	 400.274 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 226 	 226 	 226 	 0 	  Tumour 
5 	 488.678 	 169.705 	 83.1925 	 NaN 	 5127 	 90.5633 	 72.9911 	 0.59196 	 0.958139 	 290.149 	 1384.16 	 406.159 	 0.293434 	 924.705 	 1312.56 	 11138 	 0.908113 	 450.375 	 2305.55 	 3040.49 	 2767.07 	 0.583979 	 3401.62 	 2892.43 	 740.646 	 0.243594 	 113 	 188 	 250.15 	 35.3792 	 2 	 495.845 	 0.0967125 	 15.0676 	 15.0676 	 15.0676 	 0 	 57 	 56 	 56.5 	 0.707107 	 580.821 	 335.259 	 182.639 	 0.282452 	 646.619 	 89 	 150 	 352.202 	 13.1397 	 2 	 1095.6 	 0.213693 	 14.0629 	 14.0629 	 14.0629 	 0 	 47 	 42 	 44.5 	 3.53553 	  Tumour 
6 	 515.879 	 235.592 	 144.25 	 NaN 	 3965 	 80.1014 	 65.5191 	 0.575288 	 0.93382 	 266.007 	 1115.29 	 277.579 	 0.248885 	 673.561 	 1043.69 	 8050 	 0.897436 	 418.96 	 2726.57 	 3416.05 	 3142.64 	 0.789326 	 3555.93 	 3313.39 	 561.558 	 0.164388 	 56 	 58 	 231.375 	 16.6038 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 56 	 56 	 56 	 0 	 966.318 	 544.593 	 288.724 	 0.27974 	 1032.12 	 51 	 52 	 373.216 	 34.1532 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 51 	 51 	 51 	 0 	  Tumour 
7 	 542.977 	 521.323 	 407.934 	 NaN 	 4648 	 86.0518 	 68.8248 	 0.600257 	 0.983496 	 260.492 	 1235.49 	 373.119 	 0.302 	 882.22 	 1163.89 	 13464 	 0.975016 	 452.659 	 2222.31 	 2855.41 	 2582 	 0.170604 	 3774.92 	 2756.17 	 1122.06 	 0.392958 	 113 	 422 	 229.903 	 15.1314 	 2 	 1510.12 	 0.324896 	 40.5256 	 40.5256 	 40.5256 	 0 	 68 	 45 	 56.5 	 16.2635 	 549.163 	 294.469 	 189.181 	 0.307632 	 614.961 	 411 	 1059 	 486.114 	 147.052 	 4 	 1739.4 	 0.374226 	 52.9394 	 13.6159 	 32.5825 	 15.3033 	 305 	 23 	 102.75 	 135.293 	  Tumour 
8 	 596.451 	 260.241 	 221.359 	 NaN 	 10217 	 118.497 	 110.485 	 0.361451 	 0.983255 	 384.576 	 1949.77 	 672.477 	 0.344901 	 1415.14 	 1878.16 	 18154 	 0.813606 	 664.039 	 2490.83 	 3361.32 	 3087.91 	 0.449821 	 3552.07 	 3285.96 	 577.504 	 0.171809 	 189 	 822 	 271.153 	 56.3822 	 3 	 1746.57 	 0.170947 	 54.2911 	 11.0636 	 37.9277 	 20.9734 	 68 	 59 	 63 	 4.58258 	 631.366 	 310.042 	 201.391 	 0.288871 	 697.164 	 738 	 2991 	 483.881 	 144.818 	 11 	 3563.38 	 0.348769 	 73.893 	 10.3255 	 35.0938 	 16.3167 	 174 	 26 	 67.0909 	 52.6393 	  Tumour 
9 	 579.019 	 836.661 	 722.104 	 NaN 	 4088 	 76.0437 	 68.6696 	 0.42958 	 0.974493 	 245.622 	 906.442 	 204.995 	 0.226154 	 556.561 	 834.837 	 11757 	 0.927281 	 454.032 	 2856.3 	 3503.24 	 3229.83 	 0.327366 	 3657.46 	 3444.61 	 460.775 	 0.131528 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 465.937 	 190.211 	 102.613 	 0.192977 	 531.735 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
10 	 576.958 	 748.104 	 635.268 	 NaN 	 2168 	 58.3136 	 47.7791 	 0.573296 	 0.9627 	 184.309 	 817.659 	 190.071 	 0.232457 	 374.477 	 746.054 	 11512 	 0.933204 	 468.576 	 2820.04 	 3416.17 	 3142.76 	 0.192214 	 3736.04 	 3375.48 	 473.743 	 0.138677 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 338.878 	 87.4469 	 59.055 	 0.145931 	 404.676 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
