rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 
1	37.093	585.087	86.093	224.66	6117	113.601	69.2795	0.792519	0.970182	328.777	1903.2	532.676	0.279884	333.096	1603.92	7606	0.925304	410.877	1593.41	1706.89	251.89	0.19337	1669.46	1705.54	186.681	0.109369	120	288	320.683	75.4673	2	758.44	0.123989	23.4881	23.4881	23.4881	0	60	60	60	0	254.418	-66.2777	29.1743	0.09113	320.139	202	333	581.282	198.189	2	492.193	0.0804632	17.3379	17.3379	17.3379	0	128	74	101	38.1838	  Tumour 
2	80.6519	510.53	86.093	245.284	9914	145.507	88.4978	0.793783	0.945091	423.931	1642.78	463.988	0.282441	251.19	1343.5	11509	0.911387	495.789	1516.21	1602.66	147.66	0.163594	1667.37	1596.13	161.728	0.100912	90	343	313.567	68.3507	2	313.589	0.0316309	37.1618	37.1618	37.1618	0	45	45	45	0	287.307	-6.72719	53.8438	0.15252	353.028	56	58	399.589	16.4958	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	56	56	56	0	  Tumour 
3	107.729	687.768	125.1	117.277	10675	143.877	96.5221	0.74158	0.966676	421.061	1405.5	307.145	0.218531	253.015	1106.22	14051	0.94378	518.86	1752.32	1910.86	455.86	0.258278	2388.37	1838.33	354.568	0.185554	160	1077	307.894	62.6778	3	807.568	0.0756504	57.032	28.8731	41.4067	12.8188	58	45	53.3333	7.23418	457.719	142.329	129.188	0.246807	523.44	254	1106	551.882	168.788	4	1865.25	0.17473	41.4172	11.415	28.9705	11.4507	66	61	63.5	2.08167	  Tumour 
4	124.248	994.295	418.151	165.276	8742	170.988	70.3429	0.911459	0.865459	466.86	1786.21	400.074	0.223979	600.432	1486.93	10046	0.887534	478.333	1208.81	1072.43	-382.57	0	0	0	298.842	0.27866	122	291	298.713	53.4971	2	2228.16	0.25488	27.7711	27.7711	27.7711	0	65	57	61	5.65685	137.201	-135.32	24.9671	0.123038	202.922	79	81	606.595	223.501	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	79	79	79	0	  Tumour 
5	224.177	377.211	279.702	239.927	20944	177.629	151.879	0.518564	0.964983	574.701	2038.07	668.411	0.327963	1060.21	1738.79	22400	0.965309	590.617	1250.15	1029.55	-425.45	0.0931559	1544.88	1002.6	410.352	0.398573	501	4135	316.443	71.2271	6	3181.3	0.151896	102.96	14.3207	56.4733	23.1192	112	49	83.5	25.3041	339.32	95.143	138.838	0.342774	405.041	574	5115	615.531	232.438	7	4072.27	0.194436	100.801	18.728	57.8124	23.8266	114	66	82	18.3757	  Tumour 
6	222.909	711.318	51.0392	80.0812	4092	159.769	36.7269	0.97322	0.770331	410.073	2096.19	293.209	0.139877	634.322	1796.91	5810	0.717727	508.943	2249.16	2256.69	801.69	0.62704	2304.23	2233.35	174.943	0.0775217	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	436.682	86.7964	50.2162	0.099952	502.403	56	56	581.929	198.835	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	56	56	56	0	  Fib 
7	244.556	634.048	213.694	80.0812	8706	145.305	77.6449	0.845257	0.971977	396.818	1845.61	329.678	0.178628	822.907	1546.33	11311	0.898411	532.458	2186.75	2199.44	744.44	0.481319	2353.68	2145.62	283.855	0.129058	215	4049	396.409	151.193	4	1198.3	0.13764	85.1178	39.281	64.6462	19.0194	86	34	53.75	22.4258	575.676	175.083	138.879	0.216526	641.397	247	1610	712.324	329.23	3	964.459	0.110781	72.9623	26.0371	53.0739	21.7038	102	69	82.3333	17.3877	  Tumour 
8	252.062	753.248	51.0392	119.206	3401	107.178	41.4759	0.922088	0.92243	281.563	1679.39	374.03	0.222718	678.148	1380.11	4850	0.885683	331.262	1662.5	1690.43	235.43	0.31769	1989.11	1633.15	253.631	0.150039	122	535	325.279	80.0627	3	573.349	0.168582	45.5433	12.8474	31.0968	14.9158	50	23	40.6667	15.308	176.75	-13.0954	17.9209	0.0739094	242.472	100	106	606.78	223.687	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	100	100	100	0	  Fib 
9	269.778	87.9589	624.77	84.6286	3987	116.68	48.324	0.910205	0.832881	312.919	1605	284.863	0.177484	444.301	1305.72	4727	0.849721	328.978	1316.09	1306.48	-148.52	0.183746	1513.62	1283.8	245.581	0.187972	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	221.212	16.5357	32.3338	0.112688	286.933	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Other 
10	306.636	698.623	84.8528	89.8276	2187	76.3433	37.9907	0.867389	0.878666	216.551	1565.32	270.759	0.172974	414.326	1266.04	4119	0.933379	274.149	1933.74	1948.14	493.14	0.122271	1829.43	1954.08	180.878	0.0928461	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	189.885	-9.43021	23.3086	0.0911894	255.606	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Fib 
