rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
11 	 235.091 	 1001.9 	 721.591 	 736.827 	 2914 	 65.4793 	 57.2647 	 0.484941 	 0.982799 	 207.48 	 1126.13 	 396.57 	 0.352153 	 784.139 	 1020.05 	 4349 	 0.960468 	 274.569 	 348.044 	 303.744 	 175.855 	 0 	 0 	 0 	 50.3647 	 0.165813 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 12.9607 	 5.89815 	 12.1432 	 0.197449 	 61.5003 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
12 	 251.582 	 215.551 	 218.504 	 564.022 	 4146 	 105.074 	 51.2435 	 0.873016 	 0.945712 	 273.321 	 1391.99 	 525.399 	 0.377444 	 1016.39 	 1285.92 	 5296 	 0.912474 	 336.953 	 287.606 	 301.524 	 173.635 	 0.587302 	 328.443 	 289.64 	 58.3532 	 0.193528 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 85.9396 	 -16.5732 	 36.5495 	 0.271785 	 134.479 	 64 	 344 	 88.625 	 1.5027 	 2 	 336.341 	 0.0811241 	 43.7564 	 43.7564 	 43.7564 	 0 	 32 	 32 	 32 	 0 	  DCIS 
13 	 273.014 	 354.291 	 226.586 	 494.54 	 4829 	 108.413 	 59.7426 	 0.834461 	 0.916145 	 301.48 	 1282.89 	 329.282 	 0.256673 	 809.409 	 1176.81 	 5953 	 0.776647 	 400.167 	 360.765 	 391.142 	 263.254 	 0.731183 	 379.154 	 394.948 	 68.2262 	 0.174428 	 45 	 45 	 137.156 	 20.8938 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 168.034 	 36.8544 	 27.2984 	 0.126047 	 216.573 	 84 	 206 	 96.2619 	 9.1396 	 2 	 2574.25 	 0.533081 	 21.8555 	 21.8555 	 21.8555 	 0 	 45 	 39 	 42 	 4.24264 	  DCIS 
14 	 295.186 	 113.706 	 308.462 	 583.625 	 6057 	 136.217 	 57.7076 	 0.905828 	 0.968655 	 349.848 	 1294.95 	 478.165 	 0.369254 	 957.857 	 1188.87 	 8290 	 0.96778 	 399.882 	 228.958 	 208.813 	 80.9243 	 0 	 0 	 0 	 70.4378 	 0.337324 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 19.3775 	 6.25824 	 7.43268 	 0.109438 	 67.9171 	 43 	 44 	 90.0465 	 2.92421 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 43 	 43 	 43 	 0 	  DCIS 
15 	 286.875 	 301.302 	 235.019 	 497.193 	 5092 	 106.365 	 64.0965 	 0.798037 	 0.960573 	 299.765 	 1644.67 	 452.687 	 0.275245 	 1158.98 	 1538.59 	 6506 	 0.916855 	 372.024 	 321.45 	 365.621 	 237.732 	 0.732759 	 384.161 	 356.958 	 71.2408 	 0.194849 	 90 	 366 	 120.867 	 4.60492 	 2 	 684.292 	 0.134386 	 43.2897 	 43.2897 	 43.2897 	 0 	 45 	 45 	 45 	 0 	 389.344 	 201.653 	 113.794 	 0.259873 	 437.884 	 67 	 71 	 115.194 	 28.0717 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 67 	 67 	 67 	 0 	  DCIS 
16 	 276.058 	 444.342 	 264.151 	 477.143 	 1546 	 76.9197 	 27.5618 	 0.933599 	 0.935835 	 192.853 	 810.046 	 165.903 	 0.204807 	 419.839 	 703.968 	 3355 	 0.876895 	 297.054 	 393.175 	 376.59 	 248.701 	 0 	 0 	 0 	 104.303 	 0.276966 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 74.8866 	 -16.1369 	 22.4399 	 0.181808 	 123.426 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Fib 
17 	 320.295 	 1002.96 	 748.615 	 680.661 	 2413 	 74.8838 	 41.6947 	 0.830652 	 0.943315 	 206.066 	 838.928 	 188.505 	 0.224698 	 509.953 	 732.851 	 3763 	 0.960439 	 258.426 	 291.54 	 281.748 	 153.859 	 0 	 0 	 0 	 23.4639 	 0.0832799 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 8.91169 	 3.94333 	 4.43562 	 0.0772067 	 57.4513 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
18 	 320.335 	 215.374 	 282.392 	 505.241 	 2307 	 64.2932 	 46.3671 	 0.692746 	 0.964062 	 193.823 	 913.37 	 216.72 	 0.237275 	 505.269 	 807.293 	 3731 	 0.921007 	 266.811 	 288.119 	 309.799 	 181.91 	 0.248996 	 315 	 309.122 	 48.0099 	 0.154971 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 122.531 	 30.1736 	 18.3315 	 0.107157 	 171.071 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
19 	 348.396 	 519.502 	 366.431 	 406.282 	 3204 	 78.8399 	 53.7087 	 0.732062 	 0.951872 	 226.652 	 1053.11 	 250.606 	 0.237968 	 720.542 	 947.03 	 5074 	 0.933235 	 320.267 	 311.021 	 336.753 	 208.864 	 0.135593 	 405.125 	 330.974 	 68.9973 	 0.20489 	 31 	 35 	 148.839 	 32.577 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 31 	 31 	 31 	 0 	 88.7494 	 -18.7154 	 21.5592 	 0.157035 	 137.289 	 26 	 26 	 99.7308 	 12.6085 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 26 	 26 	 26 	 0 	  DCIS 
20 	 368.137 	 290.44 	 316.31 	 427.112 	 4941 	 99.8264 	 65.1907 	 0.757323 	 0.950192 	 286.593 	 1630.42 	 526.662 	 0.323022 	 1175.13 	 1524.35 	 5990 	 0.940198 	 348.024 	 323.646 	 354.244 	 226.355 	 0.5 	 350.63 	 354.836 	 53.4431 	 0.150865 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 126.431 	 15.224 	 32.3977 	 0.185161 	 174.971 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
