rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	CellLabels 	
1 	 166.266 	 919.022 	 423.68 	 564.228 	 2568 	 66.5007 	 50.1285 	 0.657099 	 0.974203 	 194.711 	 2894.33 	 853.864 	 0.295013 	 1208.19 	 2599.9 	 347.48 	 105.166 	 82.6711 	 0.141562 	 583.994 	 15 	 17 	 399.4 	 222.893 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 15 	 15 	 15 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 4124 	 0.870409 	 312.853 	 129.29 	 113.042 	 48.9843 	 0 	 0 	 0 	 38.48 	 0.340405 	  Other 
2 	 613.827 	 309.816 	 497.009 	 507.97 	 5032 	 93.5568 	 70.0299 	 0.663104 	 0.977657 	 286.735 	 1792.75 	 576.204 	 0.321408 	 504.653 	 1498.32 	 206.004 	 -12.459 	 53.7691 	 0.121507 	 442.517 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 6908 	 0.943974 	 391.48 	 116.93 	 105.306 	 41.2482 	 0 	 0 	 0 	 31.055 	 0.294904 	  DCIS 
3 	 617.249 	 807.271 	 464.699 	 102 	 4372 	 170.838 	 43.387 	 0.967213 	 0.722167 	 383.161 	 785.798 	 195.489 	 0.248777 	 -349.175 	 491.367 	 138.31 	 -65.7966 	 23.703 	 0.0632377 	 374.824 	 90 	 442 	 151.167 	 -25.3403 	 2 	 460.678 	 0.10537 	 49.8197 	 49.8197 	 49.8197 	 0 	 45 	 45 	 45 	 0 	 87 	 390 	 85.8161 	 -53.9869 	 2 	 589.671 	 0.134874 	 45.6118 	 45.6118 	 45.6118 	 0 	 45 	 42 	 43.5 	 2.12132 	 7372 	 0.912376 	 432.558 	 75.517 	 72.0615 	 8.00408 	 0 	 0 	 72.1218 	 7.16837 	 0.0994758 	  Fib 
4 	 718.953 	 806.775 	 1249.65 	 102 	 9609 	 127.365 	 96.555 	 0.652142 	 0.967869 	 392.233 	 1142.82 	 257.609 	 0.225415 	 85.9911 	 848.393 	 120.88 	 -48.0884 	 17.6375 	 0.0493503 	 357.393 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 45 	 45 	 104.4 	 -35.403 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 12302 	 0.961394 	 488.451 	 71.472 	 70.354 	 6.29661 	 0 	 0 	 70.5542 	 5.44868 	 0.0774467 	  Tumour 
5 	 971.018 	 746.337 	 823.38 	 259.278 	 6540 	 99.9001 	 83.9712 	 0.541732 	 0.972057 	 322.09 	 1425.78 	 328.227 	 0.230209 	 379.55 	 1131.35 	 117.999 	 -1.01332 	 20.9376 	 0.0590603 	 354.513 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 8760 	 0.964758 	 418.794 	 76.661 	 76.0729 	 12.0155 	 0 	 0 	 0 	 5.35769 	 0.0704284 	  DCIS 
6 	 1183.07 	 494.039 	 1102.23 	 559.701 	 5217 	 113.63 	 58.8797 	 0.855278 	 0.977515 	 293.421 	 2235.69 	 285.405 	 0.127659 	 550.205 	 1941.26 	 154.02 	 21.5248 	 35.3884 	 0.0906156 	 390.533 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 8545 	 0.847718 	 490.593 	 135.557 	 126.587 	 62.5293 	 0 	 0 	 0 	 26.9527 	 0.212919 	  DCIS 
7 	 1510.13 	 673.903 	 1366.15 	 802.103 	 2379 	 80.4619 	 38.6547 	 0.877044 	 0.938091 	 215.723 	 1461.09 	 315.96 	 0.216249 	 673.224 	 1166.66 	 95.7584 	 21.2395 	 25.8025 	 0.0776548 	 332.272 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3905 	 0.939832 	 286.167 	 70.7805 	 67.8643 	 3.80696 	 0.166667 	 69.5581 	 67.9746 	 4.49568 	 0.066245 	  DCIS 
8 	 1523.62 	 456.567 	 1434.44 	 877.796 	 7227 	 189.969 	 52.9608 	 0.960353 	 0.858008 	 478.558 	 1971.19 	 867.193 	 0.439933 	 1010.5 	 1676.76 	 178.689 	 35.0703 	 37.5265 	 0.0903813 	 415.202 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 10285 	 0.869841 	 612.534 	 102.203 	 94.589 	 30.5316 	 0 	 0 	 0 	 25.88 	 0.273604 	  Fib 
9 	 1566.96 	 637.492 	 1429.1 	 864.872 	 4255 	 85.143 	 65.5601 	 0.638045 	 0.901674 	 310.676 	 1356.43 	 265.749 	 0.195918 	 396.612 	 1062 	 85.6867 	 4.99064 	 13.9825 	 0.043397 	 322.2 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 6140 	 0.918337 	 336.149 	 78.0148 	 74.6976 	 10.6402 	 0.147766 	 69.8837 	 75.3117 	 12.2034 	 0.16337 	  DCIS 
10 	 1712.03 	 782.177 	 1552.06 	 936.27 	 3321 	 87.5269 	 55.9281 	 0.769222 	 0.835892 	 277.664 	 1771.88 	 441.537 	 0.249192 	 705.633 	 1477.45 	 158.241 	 59.7126 	 39.0603 	 0.0989485 	 394.754 	 64 	 64 	 179.703 	 3.19618 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 64 	 64 	 64 	 0 	 134 	 163 	 135.007 	 -4.79557 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 134 	 134 	 134 	 0 	 4467 	 0.796257 	 372.894 	 88.7748 	 88.2405 	 24.1831 	 0.307918 	 119.105 	 81.5534 	 21.1566 	 0.23976 	  DCIS 
