rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 35.7026 	 820.799 	 508.004 	 497.475 	 2892 	 89.5331 	 41.6213 	 0.885379 	 0.970144 	 234.25 	 1306.53 	 707.247 	 0.541315 	 570.736 	 1187.54 	 3936 	 0.980568 	 253.279 	 418.85 	 373.657 	 -104.272 	 0 	 0 	 0 	 70.7792 	 0.189423 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 13.9202 	 -35.4778 	 12.3967 	 0.160154 	 77.4049 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
2 	 33.6213 	 312.698 	 190.906 	 461.415 	 639 	 32.8141 	 25.5417 	 0.6278 	 0.955157 	 99.397 	 781.588 	 318.857 	 0.407961 	 589.765 	 662.594 	 1085 	 0.996327 	 120.083 	 400.473 	 372.868 	 -105.061 	 0 	 0 	 0 	 92.2095 	 0.247298 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 25.7829 	 16.2414 	 13.2683 	 0.148636 	 89.2676 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
3 	 156.852 	 167.366 	 665.099 	 410.406 	 2813 	 67.4311 	 53.2932 	 0.612674 	 0.977755 	 205.137 	 1558.53 	 1136.13 	 0.728978 	 1270.9 	 1439.54 	 3707 	 0.979651 	 226.995 	 595.019 	 401.97 	 -75.9596 	 0 	 0 	 0 	 149.436 	 0.371758 	 42 	 42 	 224.881 	 -49.2672 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 42 	 42 	 42 	 0 	 34.7869 	 28.2632 	 21.5138 	 0.218922 	 98.2716 	 105 	 116 	 255.686 	 -1.23929 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 105 	 105 	 105 	 0 	  Other 
4 	 484.142 	 415.446 	 183.371 	 292.659 	 3634 	 85.3677 	 54.9696 	 0.765097 	 0.979251 	 240.894 	 2435.2 	 1267.18 	 0.520358 	 1621.91 	 2316.21 	 19713 	 0.840138 	 699.151 	 2735.43 	 3218.79 	 2740.86 	 0.0359589 	 3554.67 	 3208.67 	 431.669 	 0.134109 	 90 	 114 	 327.656 	 53.5074 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 90 	 90 	 90 	 0 	 363.189 	 16.436 	 36.1618 	 0.0847528 	 426.674 	 185 	 234 	 378.659 	 121.734 	 2 	 1582.5 	 0.435472 	 13.8687 	 13.8687 	 13.8687 	 0 	 99 	 86 	 92.5 	 9.19239 	  Tumour 
5 	 520.254 	 705.989 	 120.934 	 109.417 	 2807 	 72.1415 	 53.1891 	 0.675578 	 0.928241 	 221.338 	 2366.72 	 906.952 	 0.38321 	 1642.07 	 2247.73 	 4030 	 0.930716 	 263.321 	 1664.36 	 1773.82 	 1295.89 	 0.127854 	 2472.04 	 1731.54 	 662.841 	 0.37368 	 45 	 45 	 315.511 	 41.363 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 161.303 	 3.1878 	 43.2271 	 0.192301 	 224.788 	 136 	 142 	 374.868 	 117.943 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 136 	 136 	 136 	 0 	  Tumour 
6 	 567.97 	 595.248 	 198.635 	 95.2103 	 7460 	 101.168 	 93.9765 	 0.370298 	 0.983131 	 330.191 	 1201.17 	 394.796 	 0.328677 	 827.022 	 1082.17 	 15592 	 0.873991 	 574.156 	 1843.66 	 2422.07 	 1944.14 	 0.172131 	 2166.23 	 2434.42 	 708.131 	 0.292366 	 40 	 42 	 273.125 	 -1.02315 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 40 	 40 	 40 	 0 	 385.654 	 220.483 	 147.093 	 0.327499 	 449.139 	 541 	 2015 	 402.305 	 145.38 	 5 	 2967.11 	 0.397736 	 60.5414 	 14.3194 	 34.531 	 16.5158 	 275 	 56 	 108.2 	 93.5238 	  Tumour 
7 	 648.989 	 494.564 	 183.371 	 178.757 	 4230 	 88.2504 	 62.203 	 0.70936 	 0.97152 	 260.35 	 1561.06 	 868.404 	 0.55629 	 1085.29 	 1442.07 	 13721 	 0.927095 	 507.269 	 2710.48 	 2926.5 	 2448.58 	 0.0533981 	 3596.64 	 2900.94 	 489.491 	 0.167261 	 121 	 196 	 327.603 	 53.4552 	 2 	 688.023 	 0.162653 	 15.5579 	 15.5579 	 15.5579 	 0 	 76 	 45 	 60.5 	 21.9203 	 204.662 	 18.5111 	 25.8967 	 0.0965766 	 268.147 	 64 	 65 	 319.609 	 62.6844 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 64 	 64 	 64 	 0 	  Tumour 
8 	 624.109 	 672.178 	 606.585 	 95.2103 	 963 	 38.1649 	 32.8648 	 0.508391 	 0.959163 	 119.983 	 699.589 	 165.711 	 0.236869 	 421.596 	 580.594 	 6009 	 0.891808 	 347.019 	 1666.18 	 2194.32 	 1716.39 	 0.387755 	 2217.98 	 2166.24 	 349.021 	 0.159057 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 153.972 	 6.30968 	 29.5671 	 0.135968 	 217.457 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
9 	 773.194 	 751.681 	 443.948 	 169.118 	 3315 	 90.9702 	 47.7961 	 0.850853 	 0.950947 	 242.836 	 1112.12 	 539.708 	 0.485294 	 775.848 	 993.129 	 4257 	 0.946421 	 274.007 	 1399.36 	 1354.24 	 876.307 	 0.0515021 	 2228.08 	 1324.7 	 499.326 	 0.368715 	 37 	 39 	 287.162 	 13.014 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 37 	 37 	 37 	 0 	 127.977 	 20.2488 	 50.6892 	 0.264749 	 191.461 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
10 	 829.143 	 511.685 	 358.377 	 175.411 	 4428 	 118.539 	 48.6813 	 0.91178 	 0.92636 	 307.622 	 1990.81 	 1032.79 	 0.51878 	 1377.38 	 1871.81 	 7875 	 0.838033 	 444.617 	 1752.41 	 1886.27 	 1408.34 	 0.223684 	 2055.42 	 1867.61 	 632.719 	 0.335434 	 45 	 45 	 335.622 	 61.4741 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 204.147 	 55.9445 	 57.059 	 0.2132 	 267.632 	 104 	 109 	 333.827 	 76.9019 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 104 	 104 	 104 	 0 	  Tumour 
