rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 130.999 	 947.339 	 515.816 	 104.077 	 1409 	 103.657 	 18.1534 	 0.984545 	 0.908446 	 237.095 	 694.911 	 163.993 	 0.235992 	 162.847 	 495.639 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Fib 
2 	 127.143 	 842.625 	 119.641 	 104.077 	 5823 	 113.549 	 67.7665 	 0.802387 	 0.937983 	 322.534 	 836.93 	 195.46 	 0.233544 	 337.455 	 637.658 	 133 	 1338 	 222.241 	 43.2985 	 3 	 1095.13 	 0.18807 	 61.4003 	 25.6244 	 48.2495 	 17.6023 	 45 	 43 	 44.3333 	 1.1547 	 167 	 415 	 101 	 -15.2699 	 4 	 2072.22 	 0.355868 	 29.1529 	 9.58741 	 17.7485 	 7.72246 	 68 	 31 	 41.75 	 17.6328 	  Tumour 
3 	 191.737 	 292.085 	 108.632 	 384.076 	 20314 	 212.311 	 152.664 	 0.69495 	 0.768713 	 782.063 	 941.414 	 282.971 	 0.300581 	 573.581 	 742.142 	 167 	 4561 	 271.743 	 92.8004 	 3 	 2395.52 	 0.117925 	 118.697 	 75.1665 	 93.7283 	 20.0901 	 77 	 45 	 55.6667 	 18.4752 	 403 	 5081 	 94.2854 	 -21.9845 	 9 	 3465.5 	 0.170596 	 112.047 	 9.38249 	 54.0366 	 27.3248 	 58 	 30 	 44.7778 	 9.89669 	  Tumour 
4 	 177.472 	 535.824 	 311.045 	 413.566 	 5762 	 108.077 	 72.0154 	 0.745651 	 0.914168 	 322.978 	 922.12 	 247.251 	 0.268133 	 517.919 	 722.848 	 45 	 45 	 408.289 	 229.347 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 64 	 66 	 110.766 	 -5.50424 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 64 	 64 	 64 	 0 	  Tumour 
5 	 232.437 	 393.222 	 462.088 	 382.205 	 7653 	 107.527 	 94.0374 	 0.484944 	 0.941792 	 385.99 	 871.447 	 211.053 	 0.242187 	 488.415 	 672.175 	 117 	 530 	 359.051 	 180.109 	 2 	 607.227 	 0.079345 	 57.8727 	 57.8727 	 57.8727 	 0 	 72 	 45 	 58.5 	 19.0919 	 84 	 99 	 108.702 	 -7.56748 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 84 	 84 	 84 	 0 	  Tumour 
6 	 244.345 	 867.606 	 119.641 	 137.877 	 8927 	 128.054 	 89.3426 	 0.716395 	 0.96623 	 418.902 	 806.317 	 165.623 	 0.205407 	 478.618 	 607.045 	 175 	 1619 	 250 	 71.0579 	 4 	 1764.08 	 0.197612 	 54.4324 	 17.2627 	 39.5168 	 13.5442 	 45 	 40 	 43.75 	 2.5 	 159 	 483 	 105.176 	 -11.0938 	 3 	 908.849 	 0.101809 	 46.9283 	 13.7263 	 31.3608 	 14.9345 	 54 	 52 	 53 	 1 	  Tumour 
7 	 327.93 	 338.446 	 543.531 	 271.592 	 6554 	 125.137 	 67.0683 	 0.844243 	 0.965954 	 337.806 	 997.535 	 294.384 	 0.295111 	 567.358 	 798.263 	 45 	 45 	 476.978 	 298.036 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 53 	 58 	 131.528 	 15.2584 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 53 	 53 	 53 	 0 	  Tumour 
8 	 394.969 	 250.536 	 649.837 	 177.054 	 14530 	 187.664 	 111.32 	 0.805065 	 0.882478 	 549.37 	 1612.14 	 651.18 	 0.403922 	 1154.83 	 1412.87 	 293 	 3895 	 362.962 	 184.02 	 6 	 2524.99 	 0.173778 	 87.023 	 13.0384 	 53.1847 	 22.2544 	 68 	 45 	 48.8333 	 9.38971 	 134 	 1055 	 113.239 	 -3.03106 	 3 	 2248.84 	 0.154772 	 75.6774 	 10.9786 	 52.2236 	 32.0484 	 52 	 31 	 44.6667 	 11.8462 	  Tumour 
9 	 395.799 	 859.456 	 269.475 	 276.024 	 15383 	 161.033 	 122.247 	 0.650927 	 0.986659 	 477.203 	 847.368 	 244.158 	 0.288137 	 533.038 	 648.096 	 135 	 1120 	 302.622 	 123.68 	 3 	 4365.97 	 0.283818 	 90.2718 	 15.1327 	 61.0621 	 36.0125 	 45 	 45 	 45 	 0 	 325 	 2396 	 96.6462 	 -19.6237 	 7 	 5773.98 	 0.375348 	 68.194 	 9.50978 	 34.4562 	 18.6183 	 76 	 31 	 46.4286 	 14.3858 	  Tumour 
10 	 431.215 	 167.411 	 741.21 	 142.338 	 10081 	 127.303 	 102.186 	 0.596382 	 0.953106 	 410.86 	 1399.62 	 514.695 	 0.367739 	 933.151 	 1200.35 	 90 	 342 	 515.167 	 336.225 	 2 	 1689.2 	 0.167562 	 36.8917 	 36.8917 	 36.8917 	 0 	 45 	 45 	 45 	 0 	 171 	 876 	 113.76 	 -2.50963 	 3 	 4889.41 	 0.485013 	 55.3388 	 14.6443 	 38.428 	 18.9618 	 81 	 38 	 57 	 21.9317 	  Tumour 
