rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 60.795 	 854.34 	 92.6175 	 605.37 	 4936 	 129.748 	 50.4176 	 0.921415 	 0.930443 	 321.605 	 3169.54 	 1074.5 	 0.339007 	 1352.67 	 2982.32 	 88 	 349 	 309.568 	 103.584 	 2 	 1434.56 	 0.290632 	 41.9829 	 41.9829 	 41.9829 	 0 	 45 	 43 	 44 	 1.41421 	 8391 	 0.865052 	 425.203 	 139.316 	 155.08 	 108.322 	 0.168975 	 173.344 	 153.083 	 42.6687 	 0.275139 	 35.8632 	 -42.5267 	 8.75543 	 0.114486 	 76.4761 	 114 	 371 	 78.307 	 -6.31309 	 2 	 1556.24 	 0.315283 	 33.5087 	 33.5087 	 33.5087 	 0 	 59 	 55 	 57 	 2.82843 	  DCIS 
2 	 84.9436 	 571.581 	 51.4198 	 377.228 	 1987 	 58.8786 	 43.3778 	 0.676185 	 0.970689 	 173.924 	 3021.55 	 1117.96 	 0.369996 	 1058.07 	 2834.33 	 130 	 162 	 345.815 	 139.831 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 130 	 130 	 130 	 0 	 3555 	 0.897501 	 269.907 	 192.044 	 205.633 	 158.874 	 0.247788 	 161.036 	 211.548 	 56.5564 	 0.275036 	 40.296 	 -53.4916 	 9.36951 	 0.115803 	 80.9089 	 109 	 397 	 87.2936 	 2.67347 	 2 	 51.1535 	 0.0257441 	 39.7899 	 39.7899 	 39.7899 	 0 	 66 	 43 	 54.5 	 16.2635 	  DCIS 
3 	 88.7326 	 737.671 	 119.331 	 493.803 	 3388 	 85.1367 	 57.2517 	 0.740126 	 0.896533 	 265.806 	 2306.03 	 573.815 	 0.248832 	 450.216 	 2118.8 	 71 	 136 	 489.169 	 283.185 	 2 	 199.266 	 0.0588152 	 15.778 	 15.778 	 15.778 	 0 	 40 	 31 	 35.5 	 6.36396 	 5028 	 0.830251 	 349.605 	 164.089 	 168.35 	 121.592 	 0.282828 	 189.226 	 165.672 	 36.3415 	 0.215868 	 55.6504 	 -43.2394 	 14.6072 	 0.151742 	 96.2633 	 82 	 86 	 95.1341 	 10.514 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 82 	 82 	 82 	 0 	  DCIS 
4 	 118.239 	 780.964 	 92.6175 	 513.3 	 2374 	 70.7136 	 43.1411 	 0.792338 	 0.962693 	 197.38 	 2735.26 	 746.585 	 0.272948 	 424.335 	 2548.04 	 45 	 45 	 501.778 	 295.794 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 3360 	 0.946212 	 241.279 	 173.796 	 176.26 	 129.501 	 0.627451 	 177.922 	 174.946 	 37.8032 	 0.214474 	 48.6398 	 -28.6034 	 10.6281 	 0.119078 	 89.2527 	 64 	 64 	 87.375 	 2.75489 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 64 	 64 	 64 	 0 	  DCIS 
5 	 134.689 	 584.046 	 279.957 	 347.225 	 4130 	 93.356 	 56.8809 	 0.792947 	 0.963378 	 260.593 	 2886.02 	 1120.27 	 0.38817 	 1027.77 	 2698.8 	 132 	 411 	 477.023 	 271.039 	 3 	 1595.9 	 0.386416 	 34.7362 	 13.917 	 23.4183 	 9.41633 	 53 	 39 	 44 	 7.81025 	 5255 	 0.94125 	 294.877 	 145.65 	 146.988 	 100.229 	 0.227642 	 161.393 	 144.555 	 37.0324 	 0.251942 	 34.3343 	 -48.2946 	 14.5438 	 0.194054 	 74.9472 	 109 	 212 	 85.3486 	 0.728512 	 2 	 249.988 	 0.0605298 	 17.9957 	 17.9957 	 17.9957 	 0 	 60 	 49 	 54.5 	 7.77817 	  DCIS 
6 	 153.187 	 669.036 	 206.613 	 400.362 	 1825 	 49.8304 	 46.7738 	 0.344846 	 0.979603 	 162.51 	 2213.3 	 778.541 	 0.351756 	 1042.55 	 2026.08 	 45 	 45 	 385.844 	 179.86 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 3307 	 0.89306 	 244.936 	 154.342 	 159.908 	 113.149 	 0 	 0 	 160.233 	 32.9864 	 0.206284 	 33.0748 	 -6.7484 	 8.1452 	 0.110537 	 73.6877 	 122 	 168 	 83.377 	 -1.24306 	 2 	 216.708 	 0.118744 	 11.4494 	 11.4494 	 11.4494 	 0 	 61 	 61 	 61 	 0 	  DCIS 
7 	 244.674 	 513.484 	 387.475 	 220.368 	 3665 	 107.259 	 44.186 	 0.911204 	 0.9789 	 265.581 	 3262.16 	 1097.74 	 0.336506 	 2071.85 	 3074.94 	 148 	 702 	 398.899 	 192.915 	 3 	 681.363 	 0.185911 	 69.1983 	 20.9233 	 46.2315 	 21.6652 	 60 	 39 	 49.3333 	 10.504 	 4652 	 0.979368 	 282.51 	 110.09 	 109.129 	 62.3704 	 0 	 0 	 0 	 25.8417 	 0.236799 	 18.5642 	 -15.6066 	 6.51732 	 0.110132 	 59.1771 	 114 	 255 	 88.0702 	 3.45006 	 2 	 722.114 	 0.19703 	 21.0665 	 21.0665 	 21.0665 	 0 	 65 	 49 	 57 	 11.3137 	  DCIS 
8 	 298.288 	 838.992 	 237.474 	 504.386 	 2190 	 62.7058 	 45.4804 	 0.688435 	 0.961792 	 182.61 	 2391.16 	 991.552 	 0.414674 	 1831.7 	 2203.94 	 57 	 60 	 355.895 	 149.911 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 57 	 57 	 57 	 0 	 2932 	 0.977008 	 207.196 	 119.138 	 102.696 	 55.9371 	 0 	 0 	 0 	 14.1767 	 0.138045 	 11.6433 	 2.51192 	 4.17268 	 0.0798505 	 52.2562 	 125 	 143 	 95.024 	 10.4039 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 125 	 125 	 125 	 0 	  DCIS 
9 	 364.06 	 256.466 	 88.295 	 163.878 	 5866 	 111.404 	 69.6906 	 0.780169 	 0.903574 	 373.664 	 2087.25 	 467.429 	 0.223945 	 1331.04 	 1900.03 	 49 	 49 	 316.551 	 110.567 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 49 	 49 	 49 	 0 	 6928 	 0.88775 	 377.12 	 267.615 	 289.599 	 242.841 	 0.397554 	 336.023 	 277.3 	 136.142 	 0.470106 	 92.1039 	 21.7067 	 20.3337 	 0.153211 	 132.717 	 45 	 45 	 78.8444 	 -5.77567 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Tumour 
10 	 370.171 	 163.643 	 82.3772 	 249.327 	 4535 	 88.174 	 66.2011 	 0.660529 	 0.956348 	 267.765 	 2914.46 	 843.692 	 0.289485 	 1979.41 	 2727.24 	 50 	 51 	 335.44 	 129.456 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 50 	 50 	 50 	 0 	 7220 	 0.937541 	 359.948 	 297.667 	 328.945 	 282.186 	 0.339806 	 403.895 	 321.982 	 118.632 	 0.360644 	 124.287 	 27.2526 	 21.3622 	 0.129546 	 164.9 	 62 	 62 	 93.9839 	 9.36376 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 62 	 62 	 62 	 0 	  Tumour 
