rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 
1	35.2785	352.672	183.848	133.795	1587	63.7577	32.2929	0.862243	0.957177	167.439	1007.78	316.929	0.314483	153.338	843.783	2175	0.917334	211.095	787.042	885.741	635.452	0.232432	1412.19	810.592	386.683	0.436565	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	185.054	-146.467	73.2007	0.304141	240.681	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Lymph 
2	68.0472	705.599	169.239	107.782	1800	75.0812	31.0125	0.910707	0.935065	188.066	1045.25	309.066	0.295687	299.524	881.257	2650	0.965392	209.137	348.733	330.619	80.3306	0	0	0	92.8821	0.280934	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	54.7802	-137.568	12.0455	0.109101	110.407	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Fib 
3	59.4765	537.32	185.559	120.839	1276	51.4168	31.9856	0.78295	0.962293	141.983	966.209	279.942	0.289732	332.207	802.217	4709	0.957503	287.563	772.062	897.165	646.877	0.0785124	1335.47	877.041	372.322	0.414998	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	202.746	-136.746	61.3668	0.237513	258.372	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Lymph 
4	161.039	307.964	140.769	85.0941	8803	209.603	72.2898	0.938643	0.742431	541.553	1031.73	269.431	0.261144	531.799	867.739	27725	0.898441	742.808	915.829	1479.1	1228.81	0.34345	1585.91	1436.78	284.327	0.19223	58	59	425.81	109.644	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	58	58	58	0	402.64	116.151	104.725	0.228525	458.266	819	4395	649.59	264.638	6	2995.07	0.340233	123.851	13.3046	66.0848	36.3097	340	38	136.5	132.352	  Tumour 
5	164.417	754.769	64.4438	107.782	4837	121.204	51.6243	0.904757	0.926451	322.919	1245.97	459.682	0.368934	633.244	1081.98	5908	0.884299	355.203	702.816	754.852	504.564	0.323024	1033.76	701.48	242.714	0.321539	113	118	454.646	138.479	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	113	113	113	0	220.033	-35.4874	80.1298	0.290684	275.659	66	66	530.515	145.563	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	66	66	66	0	  Tumour 
6	177.598	515.568	208.694	120.839	5374	95.8432	71.6314	0.664395	0.977091	288.007	905.794	182.096	0.201035	418.621	741.801	18043	0.918079	566.642	930.676	1499.64	1249.35	0.0376569	1278.06	1481.89	339.675	0.226505	47	49	317.404	1.23759	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	47	47	47	0	333.535	-22.2353	75.0892	0.192951	389.161	573	2706	475.236	90.2836	9	1210.12	0.225181	62.6323	12.5205	33.776	15.0171	118	36	63.6667	26.9026	  Tumour 
7	164.573	223.465	183.848	85.0941	1234	50.1416	31.7373	0.77419	0.950693	141.539	890.02	246.451	0.276905	240.804	726.028	1912	0.922335	181.539	1336.31	1403.92	1153.63	0.425	1659.24	1331.97	423.213	0.301451	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	319.072	-25.6934	65.3262	0.174343	374.699	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Lymph 
8	207.324	707.203	401.643	139.004	5216	92.5625	72.6855	0.619168	0.971141	288.25	1089.03	252.47	0.23183	366.506	925.038	12496	0.93589	482.014	887.499	1074.89	824.601	0.2375	1032.61	1076.47	159.631	0.148509	61	64	445.754	129.587	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	61	61	61	0	412.587	13.8397	52.977	0.113147	468.213	482	1542	705.037	320.085	4	1251.68	0.239969	58.5324	20.4206	33.694	13.5591	279	39	120.5	108.199	  Tumour 
9	256.531	847.074	547.482	235.801	4094	94.1456	57.4019	0.792622	0.934917	274.149	1169.46	405.334	0.3466	671.747	1005.46	4946	0.903214	297.664	704.957	810.82	560.531	0.0117647	1008	807.162	307.025	0.37866	98	594	391.337	75.1701	2	1260.3	0.307841	60.913	60.913	60.913	0	54	44	49	7.07107	189.771	-47.7232	78.8286	0.321229	245.397	69	71	530.855	145.903	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	69	69	69	0	  Tumour 
10	290.627	254.246	140.769	129.757	9650	143.103	90.3688	0.77538	0.917649	427.546	1074.06	337.019	0.313782	619.37	910.063	20157	0.894118	665.21	991.9	1558.53	1308.24	0.448214	1670.12	1523.26	264.684	0.169829	107	464	418.336	102.17	2	820.051	0.0849794	45.3646	45.3646	45.3646	0	57	50	53.5	4.94975	361.94	125.028	116.443	0.278862	417.567	254	1550	443.76	58.8078	4	2130.85	0.220814	48.2368	24.2594	35.4091	9.92787	70	53	63.5	7.32575	  Tumour 
