rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
11 	 893.674 	 531.186 	 721.336 	 163.441 	 7321 	 112.004 	 83.8593 	 0.662892 	 0.964813 	 347.262 	 473.773 	 126.412 	 0.266819 	 250.581 	 357.574 	 18 	 19 	 1830.28 	 1428.93 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 18 	 18 	 18 	 0 	 186 	 292 	 294.597 	 -21.7381 	 2 	 3488.21 	 0.476466 	 17.8791 	 17.8791 	 17.8791 	 0 	 96 	 90 	 93 	 4.24264 	  Tumour 
12 	 940.87 	 629.374 	 716.95 	 144.402 	 11848 	 134.414 	 113.804 	 0.532113 	 0.972104 	 439.387 	 908.224 	 329.616 	 0.362924 	 643.063 	 792.026 	 135 	 776 	 1409.79 	 1008.45 	 3 	 1166.99 	 0.0984972 	 55.0273 	 21.2603 	 38.1134 	 15.1011 	 45 	 45 	 45 	 0 	 595 	 1949 	 409.568 	 93.2332 	 5 	 2091.1 	 0.176494 	 47.8452 	 14.246 	 31.0049 	 12.0684 	 205 	 30 	 119 	 74.3539 	  Tumour 
13 	 961.773 	 440.73 	 827.834 	 139.388 	 10557 	 154.477 	 87.2803 	 0.825087 	 0.974792 	 414.759 	 625.492 	 148.95 	 0.238132 	 400.558 	 509.294 	 45 	 45 	 1600.22 	 1198.88 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 307 	 1561 	 277.583 	 -38.7518 	 4 	 2191.56 	 0.207593 	 56.3258 	 14.1566 	 41.1794 	 19.5184 	 120 	 38 	 76.75 	 35.8829 	  Tumour 
14 	 1061.91 	 140.252 	 1098.84 	 403.031 	 10503 	 128.834 	 107.64 	 0.549495 	 0.935429 	 458.759 	 975.061 	 492.208 	 0.504797 	 607.561 	 858.863 	 135 	 1309 	 2075.78 	 1674.43 	 3 	 640.195 	 0.0609536 	 68.352 	 23.3452 	 50.5685 	 21.4147 	 45 	 45 	 45 	 0 	 583 	 2561 	 439.772 	 123.437 	 5 	 2914.41 	 0.277483 	 77.7032 	 14.0955 	 42.2309 	 20.9431 	 220 	 31 	 97.1667 	 70.8503 	  Tumour 
15 	 1056.76 	 543.05 	 203.002 	 139.388 	 4885 	 103.575 	 60.5292 	 0.811466 	 0.957655 	 289.321 	 586.858 	 201.312 	 0.343034 	 348.466 	 470.659 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
16 	 1083.93 	 265.241 	 1031.41 	 279.308 	 6307 	 92.5367 	 90.139 	 0.226165 	 0.965406 	 322.309 	 1741.64 	 573.252 	 0.329145 	 975.261 	 1625.44 	 180 	 1231 	 2162.02 	 1760.67 	 3 	 1693 	 0.268432 	 53.0094 	 27.0416 	 41.5768 	 11.8592 	 90 	 45 	 60 	 25.9808 	 320 	 1093 	 633.681 	 317.346 	 4 	 3156.14 	 0.500418 	 54.3373 	 18.7093 	 31.6256 	 12.6358 	 223 	 3 	 80 	 98.0544 	  Tumour 
17 	 1077.91 	 852.577 	 284.459 	 262.574 	 4564 	 82.079 	 72.1618 	 0.476498 	 0.968591 	 264.392 	 724.227 	 269.503 	 0.372125 	 530.873 	 608.028 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
18 	 1164.7 	 367.209 	 1038.06 	 206.495 	 10789 	 157.031 	 87.9922 	 0.828256 	 0.975762 	 428.032 	 1030.42 	 374.833 	 0.363769 	 705.362 	 914.218 	 45 	 45 	 1335.93 	 934.586 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 569 	 2902 	 417.615 	 101.28 	 6 	 2640.49 	 0.24474 	 76.4415 	 11.2092 	 42.7686 	 18.8471 	 156 	 29 	 94.8333 	 48.164 	  Tumour 
19 	 1144.23 	 182.398 	 1130.64 	 371.335 	 3034 	 89.2795 	 44.2655 	 0.868432 	 0.939028 	 236.024 	 1673.2 	 775.605 	 0.463545 	 953.33 	 1557 	 90 	 520 	 2528.48 	 2127.13 	 2 	 332.629 	 0.109634 	 60.0833 	 60.0833 	 60.0833 	 0 	 45 	 45 	 45 	 0 	 231 	 731 	 865.909 	 549.574 	 2 	 822.094 	 0.27096 	 57.8705 	 57.8705 	 57.8705 	 0 	 215 	 16 	 115.5 	 140.714 	  Tumour 
20 	 1255.54 	 212.771 	 1199.58 	 385.358 	 10418 	 146.523 	 92.2965 	 0.776667 	 0.940338 	 462.943 	 851.26 	 384.623 	 0.451828 	 436.58 	 735.061 	 135 	 522 	 1870.24 	 1468.9 	 3 	 2358.47 	 0.226384 	 51.6624 	 12.2066 	 34.5645 	 18.1095 	 45 	 45 	 45 	 0 	 79 	 79 	 463.595 	 147.26 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 79 	 79 	 79 	 0 	  Tumour 
